avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,repo,text_entropy,tokens
0.0,14.0,6.0,6.0,139.0,139.0,139.0,13337f0bee44f3ccccd36139e4a4589f1b9ff14a,1.0,1447149953.0,1.0,no,meta/main.yml,100.0,1.0,14.0,119.0,139.0,139.0,139.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,1.0,0.0,0.0,CSCfi/ansible-role-cuda,4.75,galaxi info author johan guldmyr descript instal cuda compani csc center scienc licens mit min ansibl version platform name version categori system depend
0.0,2.0,6.0,6.0,5.0,5.0,5.0,13337f0bee44f3ccccd36139e4a4589f1b9ff14a,1.0,1447149953.0,1.0,no,tasks/main.yml,100.0,0.0,2.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,CSCfi/ansible-role-cuda,3.12,includ path ansibl famili red hat gpu
0.0,4.0,6.0,6.0,10.0,10.0,10.0,13337f0bee44f3ccccd36139e4a4589f1b9ff14a,1.0,1447149953.0,1.0,yes,tasks/redhat.yml,100.0,1.0,6.0,1.0,10.0,10.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,2.0,0.0,0.0,CSCfi/ansible-role-cuda,4.79,name add nvidia cuda repo templat path path ownerroot grouproot mode backupy name instal cuda softwar yum name item statepres item cuda packag default cuda packag
0.0,5.0,2.0,2.0,19.0,19.0,19.0,0c92ba7591767cedee9c0926700594fa6747c95e,1.0,1447150623.0,1.0,yes,tasks/redhat.yml,100.0,4.0,22.0,1.0,19.0,19.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,86.0,4.0,0.0,2.0,CSCfi/ansible-role-cuda,6.06,name add nvidia cuda repo templat path path ownerroot grouproot mode backupy name instal cuda softwar yum name item statepres item cuda packag default cuda packag regist cuda packag instal name restart machin cuda instal command shutdown ansibl updat trigger async poll ignor error cuda packag path cuda restart node instal regist cuda restart name restart wait min server come back reboot local action wait host inventori hostnam port statestart delay timeout sudo cuda path cuda restart node instal
0.0,5.0,1.0,1.0,0.0,0.0,0.0,aec0943766a16dee1a95c9b5470ff0bda98ece12,1.0,1447848124.0,1.0,yes,tasks/redhat.yml,100.0,4.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,90.0,4.0,0.0,2.0,CSCfi/ansible-role-cuda,6.14,name add nvidia cuda repo templat path path ownerroot grouproot mode backupy name instal cuda softwar slow yum name item statepres item cuda packag default cuda packag regist cuda packag instal name restart machin cuda instal command shutdown ansibl updat trigger async poll ignor error cuda packag path cuda restart node instal regist cuda restart name restart wait min server come back reboot local action wait host inventori hostnam port statestart delay timeout sudo cuda path cuda restart node instal
0.0,6.0,2.0,2.0,18.0,18.0,18.0,8f73088a710923d932e2e28381340eae1e392878,1.0,1447848513.0,1.0,yes,handlers/main.yml,100.0,2.0,15.0,0.0,18.0,18.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,45.0,2.0,0.0,0.0,CSCfi/ansible-role-cuda,5.08,name cuda restart server command shutdown reboot trigger ansibl async poll ignor error cuda packag path cuda restart node instal name cuda wait server restart local action modul wait host inventori hostnam port delay timeout sudo cuda path cuda restart node instal
0.0,6.0,2.0,2.0,-15.0,-15.0,-15.0,8f73088a710923d932e2e28381340eae1e392878,1.0,1447848513.0,1.0,yes,tasks/redhat.yml,100.0,1.0,10.0,1.0,4.0,4.0,4.0,19.0,19.0,19.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,51.0,2.0,0.0,1.0,CSCfi/ansible-role-cuda,5.38,name add nvidia cuda repo templat path path ownerroot grouproot mode backupy name instal cuda softwar slow restart cuda restart node instal yum name item statepres item cuda packag default cuda packag regist cuda packag instal notifi cuda restart server cuda wait server restart
0.0,6.0,2.0,2.0,0.0,0.0,0.0,2c4735a85f0f5a666d4610a41897add29ea6ef3c,1.0,1448282542.0,1.0,yes,handlers/main.yml,100.0,2.0,15.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,47.0,2.0,0.0,0.0,CSCfi/ansible-role-cuda,5.11,name cuda restart server command shutdown reboot trigger ansibl async poll ignor error cuda packag path cuda restart node instal name cuda wait server restart local action modul wait host inventori hostnam port delay timeout sudo cuda path cuda restart node instal
0.0,6.0,2.0,2.0,0.0,0.0,0.0,2c4735a85f0f5a666d4610a41897add29ea6ef3c,1.0,1448282542.0,1.0,yes,tasks/redhat.yml,100.0,1.0,10.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,53.0,2.0,0.0,1.0,CSCfi/ansible-role-cuda,5.41,name add nvidia cuda repo templat path path ownerroot grouproot mode backupy name instal cuda softwar slow restart cuda restart node instal yum name item statepres item cuda packag default cuda packag regist cuda packag instal notifi cuda restart server cuda wait server restart
0.0,4.0,1.0,1.0,4.0,4.0,4.0,f599e174e710853620e13271398facb2e91cac34,1.0,1448282976.0,1.0,yes,tasks/redhat.yml,100.0,1.0,7.0,6.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,41.0,2.0,0.0,1.0,CSCfi/ansible-role-cuda,5.21,name add nvidia cuda repo templat path path ownerroot grouproot mode backupy name instal cuda softwar slow restart cuda restart node instal yum name item statepres item cuda packag default cuda packag regist cuda packag instal
