avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,2.0,17.0,17.0,4.0,4.0,4.0,a984854956792c8d21802e9a11888cdb50936ed5,1.0,1393870131.0,1.0,no,roles/common/handlers/main.yml,100.0,1.0,2.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,ceph/ceph-ansible,2.52,name updat apt cach action apt updatecachey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,17.0,17.0,28.0,28.0,28.0,a984854956792c8d21802e9a11888cdb50936ed5,1.0,1393870131.0,1.0,no,roles/common/tasks/main.yml,100.0,5.0,20.0,7.0,28.0,28.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,62.0,5.0,0.0,0.0,ceph/ceph-ansible,5.18,name instal depend apt pkg item stateinstal updat cachey item pythonpycurl ntp name instal ceph key apt key url apt key statepres name add ceph repositori apt repositori repodeb http path ceph releas ansibl path main statepres name instal ceph apt pkg item statelatest item ceph cephcommon cephfscommon cephfus cephmd libcephf name gener ceph configur file templat path path ownerroot grouproot mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,17.0,17.0,27.0,27.0,27.0,a984854956792c8d21802e9a11888cdb50936ed5,1.0,1393870131.0,1.0,no,roles/mds/tasks/main.yml,100.0,6.0,18.0,1.0,27.0,27.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,111.0,6.0,0.0,0.0,ceph/ceph-ansible,5.73,name copi md bootstrap key copi srcfetch hostvar group mon ansibl hostnam path path ownerroot grouproot mode cephx name set md bootstrap key permiss file path mode ownerroot grouproot cephx name creat md directori action file pathvarlibcephmdsceph ansibl hostnam statedirectori ownerroot grouproot mode cephx name creat md keyr command ceph cluster ceph name path keyr path auth getorcr md ansibl hostnam osd allow rwx md allow mon allow profil md varlibcephmdsceph ansibl hostnam keyr createsvarlibcephmdsceph ansibl hostnam keyr cephx chang name set md key permiss file pathvarlibcephmdsceph ansibl hostnam keyr mode ownerroot grouproot cephx name start add md servic init sequenc servic nameceph statestart enabledy argsmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,17.0,17.0,36.0,36.0,36.0,a984854956792c8d21802e9a11888cdb50936ed5,1.0,1393870131.0,1.0,no,roles/mon/tasks/main.yml,100.0,8.0,22.0,5.0,36.0,36.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,121.0,7.0,0.0,1.0,ceph/ceph-ansible,5.99,name creat monitor initi keyr command cephauthtool path ansibl hostnam createkeyr namemon addkey monitor secret cap mon allow path ansibl hostnam name set initi monitor key permiss file path ansibl hostnam mode ownerroot grouproot name creat monitor directori action file pathvarlibcephmonceph ansibl hostnam statedirectori ownerroot grouproot mode name ceph monitor mkf command cephmon mkf ansibl hostnam keyr path ansibl hostnam createsvarlibcephmonceph ansibl hostnam keyr name start add monitor servic init sequenc servic nameceph statestart enabledy argsmon name path key exist command stat path regist result path chang name copi key ansibl server fetch src item destfetch ansibl hostnam hostvar group mon ansibl hostnam cephx item path path path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,17.0,17.0,63.0,63.0,63.0,a984854956792c8d21802e9a11888cdb50936ed5,1.0,1393870131.0,1.0,no,roles/osd/tasks/main.yml,100.0,11.0,26.0,21.0,63.0,63.0,63.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,108.0,7.0,0.0,1.0,ceph/ceph-ansible,6.03,name instal depend apt pkgpart statepres name copi osd bootstrap key copi srcfetch hostvar group mon ansibl hostnam path path ownerroot grouproot mode cephx name set osd bootstrap key permiss file path mode ownerroot grouproot cephx name partit name ceph exist shell part item print egrep ceph ignor error item devic regist part chang name prepar osd disk command cephdisk prepar item journal devic path togeth path devic name activ osd command cephdisk activ item item devic chang name start add osd servic init sequenc servic nameceph statestart enabledy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,2.0,2.0,-4.0,-4.0,-4.0,72d3f98fa64ead8ad6e7f32c80dfe8937b4a775d,1.0,1393888397.0,1.0,no,roles/mds/tasks/main.yml,100.0,5.0,15.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,98.0,5.0,0.0,0.0,ceph/ceph-ansible,5.77,name copi md bootstrap key copi srcfetch hostvar group mon ansibl hostnam path path ownerroot grouproot mode cephx name creat md directori action file pathvarlibcephmdsceph ansibl hostnam statedirectori ownerroot grouproot mode cephx name creat md keyr command ceph cluster ceph name path keyr path auth getorcr md ansibl hostnam osd allow rwx md allow mon allow profil md varlibcephmdsceph ansibl hostnam keyr createsvarlibcephmdsceph ansibl hostnam keyr cephx chang name set md key permiss file pathvarlibcephmdsceph ansibl hostnam keyr mode ownerroot grouproot cephx name start add md servic init sequenc servic nameceph statestart enabledy argsmd,0.0,0.0,-1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-13.0,-1.0,0.0,0.0,0.04
0.0,4.0,2.0,2.0,-4.0,-4.0,-4.0,72d3f98fa64ead8ad6e7f32c80dfe8937b4a775d,1.0,1393888397.0,1.0,no,roles/osd/tasks/main.yml,100.0,10.0,23.0,21.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,95.0,6.0,0.0,1.0,ceph/ceph-ansible,5.96,name instal depend apt pkgpart statepres name copi osd bootstrap key copi srcfetch hostvar group mon ansibl hostnam path path ownerroot grouproot mode cephx name partit name ceph exist shell part item print egrep ceph ignor error item devic regist part chang name prepar osd disk command cephdisk prepar item journal devic path togeth path devic name activ osd command cephdisk activ item item devic chang name start add osd servic init sequenc servic nameceph statestart enabledy,0.0,0.0,-1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-13.0,-1.0,0.0,0.0,-0.07
0.0,4.0,2.0,2.0,2.0,2.0,2.0,47c361b25591540dde2221db13619221215cc94c,1.0,1394103014.0,1.0,no,roles/osd/tasks/main.yml,100.0,11.0,28.0,21.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,113.0,7.0,0.0,1.0,ceph/ceph-ansible,6.05,name instal depend apt pkgpart statepres name copi osd bootstrap key copi srcfetch hostvar group mon ansibl hostnam path path ownerroot grouproot mode cephx name set osd bootstrap key permiss file path mode ownerroot grouproot cephx name partit name ceph exist shell part script item print egrep ceph ignor error item devic regist part chang name prepar osd disk command cephdisk prepar item journal devic path ignor error togeth path devic name activ osd command cephdisk activ item ignor error item devic chang name start add osd servic init sequenc servic nameceph statestart enabledy,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,0.09
0.0,4.0,1.0,1.0,8.0,8.0,8.0,9d06702fc2c0cb83fca501635e94c075b29ad91d,1.0,1394187648.0,1.0,no,roles/common/tasks/main.yml,100.0,7.0,26.0,7.0,8.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,96.0,7.0,0.0,0.0,ceph/ceph-ansible,5.68,name fail unsupport system fail msg system support ansibl system ansibl system linux name fail unsupport architectur fail msg architetur support ansibl architector ansibl architectur name instal depend apt pkg item stateinstal updat cachey item pythonpycurl ntp name instal ceph key apt key url apt key statepres name add ceph repositori apt repositori repodeb http path ceph releas ansibl path main statepres name instal ceph apt pkg item statelatest item ceph cephcommon cephfscommon cephfus cephmd libcephf name gener ceph configur file templat path path ownerroot grouproot mode,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,2.0,0.0,0.0,0.5
0.0,5.0,2.0,2.0,20.0,20.0,20.0,bb4796774bed2c380d787e11d267d7e6178787fa,1.0,1394197465.0,1.0,no,roles/osd/tasks/main.yml,100.0,12.0,40.0,24.0,21.0,21.0,21.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0,8.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,148.0,5.0,0.0,1.0,ceph/ceph-ansible,5.94,name instal depend apt pkgpart statepres name copi osd bootstrap key copi srcfetch hostvar group mon ansibl hostnam path path ownerroot grouproot mode cephx name partit name ceph exist shell part script item print egrep ceph ignor error item devic regist part chang name prepar osd disk command cephdisk prepar item path journal colloc ignor error togeth path devic name prepar osd disk command cephdisk prepar item journal devic path raw journal ignor error togeth path devic name prepar osd disk command cephdisk prepar dev item dev item path raw multi journal ignor error togeth path devic raw journal devic name activ osd command cephdisk activ item ignor error item devic chang name start add osd servic init sequenc servic nameceph statestart enabledy,0.0,1.0,1.0,12.0,3.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,-2.0,0.0,0.0,-0.11
