avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,20.0,6.0,6.0,22.0,22.0,22.0,f504a1a5e976640197b6afb851ba8aebeaa993ac,1.0,1431355893.0,1.0,no,meta/main.yml,100.0,1.0,20.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,3.0,0.0,0.0,elastic/ansible-elasticsearch,4.58,depend galaxi info author robin clark descript elasticsearch linux compani path licens licens apach min ansibl version platform name version name debian version name ubuntu version categori system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,6.0,6.0,30.0,30.0,30.0,f504a1a5e976640197b6afb851ba8aebeaa993ac,1.0,1431355893.0,1.0,no,tasks/java.yml,100.0,4.0,24.0,1.0,30.0,30.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,96.0,6.0,0.0,0.0,elastic/ansible-elasticsearch,5.45,name defin java packag set fact java packag java packag list java packag defin name defin java repo set fact java repo java repo list java repo defin name automat select oracl licens tag java shell echo debconf sharedacceptedoraclelicensev select sudo debconfsetselect chang ansibl famili debian name add java repo apt repositori repo item updat cachey statepres item java repo ansibl famili debian name updat apt cach apt updat cachey cach valid time ansibl famili debian name ensur java instal apt name item stateinstal item java packag ansibl famili debian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,6.0,6.0,4.0,4.0,4.0,f504a1a5e976640197b6afb851ba8aebeaa993ac,1.0,1431355893.0,1.0,no,tasks/main.yml,100.0,0.0,3.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,1.0,0.0,0.0,elastic/ansible-elasticsearch,3.32,name includ osspecif variabl includ var ansibl famili path includ path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,20.0,7.0,7.0,1.0,1.0,1.0,4b8550f6efd47db34eafc29884417e114f74ec16,1.0,1431433471.0,1.0,no,meta/main.yml,100.0,1.0,20.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,3.0,0.0,0.0,elastic/ansible-elasticsearch,4.58,depend galaxi info author robin clark descript elasticsearch linux compani path licens licens apach min ansibl version platform name version name debian version name ubuntu version categori system,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,7.0,7.0,40.0,40.0,40.0,4b8550f6efd47db34eafc29884417e114f74ec16,1.0,1431433471.0,1.0,no,tasks/elasticsearch.yml,100.0,5.0,25.0,9.0,40.0,40.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,99.0,5.0,0.0,0.0,elastic/ansible-elasticsearch,4.86,name defin elasticsearch packag debian set fact elasticsearch packag elasticsearch elasticsearch version path elasticsearch packag defin ansibl famili debian name defin elasticsearch packag redhat set fact elasticsearch packag elasticsearch elasticsearch version path elasticsearch packag defin ansibl famili red hat name defin elasticsearch packag linux set fact elasticsearch packag elasticsearch elasticsearch version path elasticsearch packag defin name defin elasticsearch url set fact elasticsearch url http path elasticsearch packag elasticsearch url defin debug varelasticsearch url name download elasticsearch packag get url url elasticsearch url destopt elasticsearch packag name ensur elasticsearch instal apt debopt elasticsearch packag stateinstal ansibl famili debian name ensur elasticsearch instal apt debopt elasticsearch packag stateinstal ansibl famili linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,7.0,7.0,3.0,3.0,3.0,4b8550f6efd47db34eafc29884417e114f74ec16,1.0,1431433471.0,1.0,no,tasks/main.yml,100.0,0.0,4.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0,0.0,0.0,elastic/ansible-elasticsearch,3.42,name includ osspecif variabl includ var ansibl famili path includ path includ path,0.0,-1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.1
0.0,3.0,11.0,11.0,8.0,8.0,8.0,3aecd58b59437070a2ed942f08a6f43669d8f777,1.0,1431503155.0,1.0,no,tasks/elasticsearch-Debian.yml,100.0,0.0,7.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.0,3.0,0.0,1.0,elastic/ansible-elasticsearch,4.64,name add elasticsearch repositori key apt key url http path statepres name add elasticsearch repositori apt repositori repo deb http path path version debian stabl main statepres name ensur elasticsearch instal apt nameelasticsearch path statepres cach valid time regist elasticsearch instal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,11.0,11.0,8.0,8.0,8.0,3aecd58b59437070a2ed942f08a6f43669d8f777,1.0,1431503155.0,1.0,yes,tasks/elasticsearch-RedHat.yml,100.0,2.0,5.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,2.0,0.0,1.0,elastic/ansible-elasticsearch,4.25,name red hat add elasticsearch repo templat path path path version path name red hat instal elasticsearch yum nameelasticsearch path statepres updat cachey regist elasticsearch instal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,11.0,11.0,-20.0,-20.0,-20.0,3aecd58b59437070a2ed942f08a6f43669d8f777,1.0,1431503155.0,1.0,no,tasks/elasticsearch.yml,100.0,3.0,13.0,3.0,16.0,16.0,16.0,36.0,36.0,36.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,51.0,4.0,0.0,1.0,elastic/ansible-elasticsearch,4.81,name includ debian specif elasticsearch includ path ansibl famili debian name includ red hat specif elasticsearch includ elasticsearchr path ansibl famili red hat name start elasticsearch servic servic nameelasticsearch statestart path servic regist elasticsearch start name restart elasticsearch servic new version instal servic nameelasticsearch staterestart path servic elasticsearch path elasticsearch path,0.0,0.0,-2.0,-12.0,-6.0,0.0,0.0,0.0,-9.0,-3.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-4.0,-48.0,-1.0,0.0,1.0,-0.05
0.0,4.0,11.0,11.0,19.0,19.0,19.0,3aecd58b59437070a2ed942f08a6f43669d8f777,1.0,1431503155.0,1.0,no,tasks/java-Debian.yml,100.0,3.0,14.0,1.0,19.0,19.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,67.0,4.0,0.0,0.0,elastic/ansible-elasticsearch,5.36,name debian defin java repo set fact java repo java repo list java repo defin name debian automat select oracl licens tag java shell echo debconf sharedacceptedoraclelicensev select sudo debconfsetselect chang name debian add java repo apt repositori repo item updat cachey statepres item java repo name debian ensur java instal apt name item statepres cach valid time item java packag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
