avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,4.0,4.0,4.0,3.0,3.0,3.0,3c544e207c51345e40736b68aa59f7005377b402,1.0,1391530380.0,1.0,no,tasks/generate.yml,100.0,0.0,2.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,1.0,0.0,0.0,jdauphant/ansible-role-ssl-certs,4.46,name gener selfsign ssl certif command openssl req new node subj ssl cert field day ssl cert day keyout ssl cert privkey path ssl cert cert path extens creat ssl cert cert path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,4.0,4.0,13.0,13.0,13.0,3c544e207c51345e40736b68aa59f7005377b402,1.0,1391530380.0,1.0,yes,tasks/main.yml,100.0,2.0,10.0,0.0,13.0,13.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.0,2.0,0.0,0.0,jdauphant/ansible-role-ssl-certs,4.81,name ensur open ssl instal apt nameopenssl statepres ansibl famili debian tag sslcert packag name ensur ssl folder exist file path ssl cert patch statedirectori owner ssl cert path owner group ssl cert path group mode tag sslcert configur includ path ssl cert local privkey path undefin ssl cert local cert path undefin tag sslcert configur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,7.0,3.0,3.0,31.0,31.0,31.0,e6c973e19587c135a8ac049e3da46eb69d5ad1df,1.0,1395690477.0,1.0,yes,tasks/main.yml,100.0,7.0,36.0,0.0,33.0,33.0,33.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,5.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,150.0,6.0,0.0,2.0,jdauphant/ansible-role-ssl-certs,5.94,name ensur open ssl instal apt nameopenssl statepres ansibl famili debian tag sslcert packag name ensur ssl folder exist file path ssl cert patch statedirectori owner ssl cert path owner group ssl cert path group mode tag sslcert configur stat path inventori dir file ssl cert local privkey path regist stat privkey connect local sudo tag sslcert configur stat path inventori dir file ssl cert local cert path regist stat cert connect local sudo tag sslcert configur name test privkey file need fail msg privkey file inventori dir file ssl cert local privkey path miss stat path stat path tag sslcert configur name test cert file need fail msg cert file inventori dir file ssl cert local cert path miss stat path stat path tag sslcert configur name gener selfsign ssl certif command openssl req new node subj ssl cert field day ssl cert day keyout ssl cert privkey path ssl cert cert path extens creat ssl cert cert path stat path stat path tag sslcert configur name copi ssl certif copi src path dest path owner ssl cert path owner group ssl cert path group mode stat path stat path item src inventori dir file ssl cert local cert path dest ssl cert cert path src inventori dir file ssl cert local privkey path dest ssl cert privkey path tag sslcert configur,0.0,1.0,5.0,26.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,108.0,4.0,0.0,2.0,1.13
0.0,3.0,3.0,3.0,5.0,5.0,5.0,81c782cbfd6d9d9f0545661dfaff97380548427a,1.0,1421252700.0,1.0,no,tasks/generate.yml,100.0,0.0,7.0,0.0,6.0,6.0,6.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,48.0,3.0,0.0,0.0,jdauphant/ansible-role-ssl-certs,4.87,name gener rsa key command openssl genrsa ssl cert privkey path ssl cert key size creat ssl cert privkey path name gener csr command openssl req new subj ssl cert field key ssl cert privkey path ssl cert csr path creat ssl cert csr path name gener selfsign ssl certif command openssl req node day ssl cert day ssl cert csr path key ssl cert privkey path ssl cert cert path extens creat ssl cert cert path ssl cert gener self sign,0.0,-1.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,2.0,0.0,0.0,0.41
0.0,7.0,3.0,3.0,-1.0,-1.0,-1.0,81c782cbfd6d9d9f0545661dfaff97380548427a,1.0,1421252700.0,1.0,yes,tasks/main.yml,100.0,7.0,35.0,0.0,7.0,7.0,7.0,8.0,8.0,8.0,6.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,130.0,5.0,0.0,2.0,jdauphant/ansible-role-ssl-certs,5.61,name ensur open ssl instal apt nameopenssl statepres ansibl famili debian tag sslcert packag name ensur ssl folder exist file path ssl cert patch statedirectori owner ssl cert path owner group ssl cert path group mode tag sslcert configur stat path ssl cert local privkey path regist stat privkey connect local sudo tag sslcert configur stat path ssl cert local cert path regist stat cert connect local sudo tag sslcert configur name test privkey file need fail msg privkey file ssl cert local privkey path miss stat path stat path tag sslcert configur name test cert file need fail msg cert file ssl cert local cert path miss stat path stat path tag sslcert configur includ path stat path stat path tag sslcert configur name copi ssl certif copi src path dest path owner ssl cert path owner group ssl cert path group mode stat path stat path item src ssl cert local cert path dest ssl cert cert path src ssl cert local privkey path dest ssl cert privkey path tag sslcert configur,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-1.0,0.0,0.0,-0.33
0.0,11.0,1.0,1.0,103.0,103.0,103.0,7aaa0aab6b92101bf55e4860ce83a8756a0db6c8,1.0,1426291599.0,1.0,no,meta/main.yml,100.0,0.0,11.0,87.0,103.0,103.0,103.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,1.0,0.0,0.0,jdauphant/ansible-role-ssl-certs,4.0,galaxi info author julien dauphant licens bsd min ansibl version platform name gener linux version categori web depend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,14.0,1.0,1.0,0.0,0.0,0.0,ea33239cdb5bb29c336c0435967b1ef3b3fc5e07,1.0,1426328189.0,1.0,no,meta/main.yml,100.0,0.0,14.0,84.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,0.0,0.0,jdauphant/ansible-role-ssl-certs,4.02,galaxi info author julien dauphant licens bsd min ansibl version platform name gener bsd version name gener linux version categori web depend,0.0,3.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.02
0.0,7.0,1.0,1.0,-2.0,-2.0,-2.0,ef619ba77fb172cea9b16fdebb9cd4c46381c6d3,1.0,1449245816.0,1.0,yes,tasks/main.yml,100.0,7.0,33.0,0.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,128.0,5.0,0.0,2.0,jdauphant/ansible-role-ssl-certs,5.58,name ensur open ssl instal apt nameopenssl statepres ansibl famili debian tag sslcert packag name ensur ssl folder exist file path ssl cert patch statedirectori owner ssl cert path owner group ssl cert path group mode tag sslcert configur local action stat path ssl cert local privkey path regist stat privkey sudo tag sslcert configur local action stat path ssl cert local cert path regist stat cert sudo tag sslcert configur name test privkey file need fail msg privkey file ssl cert local privkey path miss stat path stat path tag sslcert configur name test cert file need fail msg cert file ssl cert local cert path miss stat path stat path tag sslcert configur includ path stat path stat path tag sslcert configur name copi ssl certif copi src path dest path owner ssl cert path owner group ssl cert path group mode stat path stat path item src ssl cert local cert path dest ssl cert cert path src ssl cert local privkey path dest ssl cert privkey path tag sslcert configur,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-0.03
0.0,4.0,2.0,2.0,2.0,2.0,2.0,c455731f42cdab0957a5d0b60e13bf55edc1bdd8,1.0,1451259260.0,1.0,no,tasks/generate.yml,100.0,2.0,7.0,0.0,9.0,9.0,9.0,7.0,7.0,7.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,72.0,3.0,0.0,0.0,jdauphant/ansible-role-ssl-certs,4.65,name gener rsa key command openssl genrsa ssl cert privkey path ssl cert key size creat ssl cert privkey path name gener csr command openssl req new subj ssl cert field key ssl cert privkey path ssl cert csr path creat ssl cert csr path name gener selfsign ssl certif command openssl req node day ssl cert day ssl cert csr path key ssl cert privkey path ssl cert cert path extens creat ssl cert cert path ssl cert gener self sign,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,-0.22
0.0,9.0,3.0,3.0,27.0,27.0,27.0,bb6b7f5b3cb30c8655fe6452ac57e3d9d8dcb924,1.0,1451259349.0,1.0,yes,tasks/main.yml,100.0,8.0,59.0,0.0,67.0,67.0,67.0,40.0,40.0,40.0,1.0,0.0,0.0,0.0,0.0,11.0,13.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,59.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,240.0,6.0,0.0,2.0,jdauphant/ansible-role-ssl-certs,5.7,name ensur open ssl instal apt nameopenssl statepres ansibl famili debian tag sslcert packag name ensur ssl folder exist file path ssl cert patch state directori owner ssl cert path owner group ssl cert path group mode tag sslcert configur local action stat path ssl cert local privkey path regist stat privkey sudo tag sslcert configur local action stat path ssl cert local cert path regist stat cert sudo tag sslcert configur name test privkey file need fail msg privkey file ssl cert local privkey path miss stat path stat path tag sslcert configur name test cert file need fail msg cert file ssl cert local cert path miss stat path stat path tag sslcert configur includ path stat path stat path ssl cert local privkey data undefin ssl cert local cert data undefin tag sslcert configur name copi ssl certif copi src path dest path owner ssl cert path owner group ssl cert path group mode stat path stat path ssl cert local privkey data undefin ssl cert local cert data undefin item src ssl cert local cert path dest ssl cert cert path src ssl cert local privkey path dest ssl cert privkey path tag sslcert configur name copi ssl certif data templat src path dest path owner ssl cert path owner group ssl cert path group mode ssl cert local privkey data defin ssl cert local cert data defin item src path dest ssl cert cert path src path dest ssl cert privkey path tag sslcert configur,0.0,2.0,1.0,26.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,112.0,1.0,0.0,0.0,0.12
