avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,repo,text_entropy,tokens
0.0,4.0,10.0,10.0,6.0,6.0,6.0,f757e34b0c65f02cb4fd3bf01189af187b490de3,1.0,1473722380.0,1.0,no,handlers/main.yml,100.0,0.0,4.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,lae/ansible-role-proxmox,2.5,name restart pvedaemon servic name pvedaemon state restart
0.0,16.0,10.0,10.0,21.0,21.0,21.0,f757e34b0c65f02cb4fd3bf01189af187b490de3,1.0,1473722380.0,1.0,no,meta/main.yml,100.0,4.0,16.0,1.0,21.0,21.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,1.0,0.0,0.0,lae/ansible-role-proxmox,4.74,galaxi info author muse ullah descript instal configur proxmox compani compani option licens mit min ansibl version platform name debian version jessi sid stretch galaxi tag system virtual depend
0.0,4.0,10.0,10.0,20.0,20.0,20.0,f757e34b0c65f02cb4fd3bf01189af187b490de3,1.0,1473722380.0,1.0,yes,tasks/main.yml,100.0,3.0,15.0,1.0,20.0,20.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,35.0,3.0,0.0,0.0,lae/ansible-role-proxmox,4.88,includ ssh cluster path name trust proxmox packag key apt key keyserv path state present name add proxmox repositori apt repositori repo proxmox repositori line filenam proxmox state present name run distupgrad apt updat cach ye upgrad dist
0.0,6.0,10.0,10.0,40.0,40.0,40.0,f757e34b0c65f02cb4fd3bf01189af187b490de3,1.0,1473722380.0,1.0,no,tasks/ssh_cluster_config.yml,100.0,4.0,35.0,1.0,40.0,40.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,122.0,6.0,0.0,0.0,lae/ansible-role-proxmox,5.78,name creat ssh directori root file path path state directori mode name creat pve ssh key pair user name root gener ssh key ye ssh key file path pve ssh key type name fetch pve ssh public key fetch src path path dest proxmox fetch directori inventori hostnam path fail miss ye flat ye name author host pve ssh public key author key user root key lookup file proxmox fetch directori item path item group proxmox group name add key configur access pve host blockinfil dest path marker block ansibl default ipv address hostvar item host item hostvar item path default ipv address els host item endif ident file path pve creat ye item group proxmox group
0.0,4.0,2.0,2.0,5.0,5.0,5.0,d37212cd1fcf40378dab8f7d910655dfd65b2ee6,1.0,1473874886.0,1.0,no,handlers/main.yml,100.0,1.0,8.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,4.0,0.0,0.0,lae/ansible-role-proxmox,3.15,name restart pvedaemon servic name pvedaemon state restart name reload sshd configur servic name sshd state reload
0.0,7.0,2.0,2.0,8.0,8.0,8.0,d37212cd1fcf40378dab8f7d910655dfd65b2ee6,1.0,1473874886.0,1.0,no,tasks/ssh_cluster_config.yml,100.0,5.0,42.0,2.0,14.0,14.0,14.0,6.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,148.0,7.0,0.0,0.0,lae/ansible-role-proxmox,5.97,name creat ssh directori root file path path state directori mode name creat pve ssh key pair user name root gener ssh key ye ssh key file path pve ssh key type name fetch pve ssh public key fetch src path path dest proxmox fetch directori inventori hostnam path fail miss ye flat ye name author host pve ssh public key author key user root key lookup file proxmox fetch directori item path item group proxmox group name add key configur access pve host blockinfil dest path marker content host item hostvar item path default path ident file path pve creat ye item group proxmox group name allow root login cluster host blockinfil dest etcsshsshd config marker content match address hostvar item path default path permit root login ye valid usrsbinsshd item group proxmox group notifi reload sshd configur
0.0,6.0,4.0,4.0,31.0,31.0,31.0,77ee2c42c0839fca17ba79b0e6ed67bdec42c617,1.0,1473916399.0,1.0,yes,tasks/main.yml,100.0,9.0,40.0,1.0,31.0,31.0,31.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,114.0,8.0,0.0,1.0,lae/ansible-role-proxmox,6.36,includ ssh cluster path name trust proxmox packag key apt key keyserv path state present name add proxmox repositori apt repositori repo proxmox repositori line filenam proxmox state present name run distupgrad apt updat cach ye cach valid time upgrad dist name instal proxmox relat packag apt name item state latest item proxmoxv postfix openiscsi ksmcontroldaemon systemdsysv name check kernel updat script scriptscheck kernel path regist proxmox kernel chang proxmox path updatedtru block name reboot kernel updat command shutdown pve kernel updat detect ansibl reboot async poll ignor error name wait server come back onlin local action wait port host inventori hostnam search regexopen ssh delay becom proxmox kernelchang proxmox reboot kernel updat
0.0,6.0,1.0,1.0,7.0,7.0,7.0,b0779c1bfaeed48fd7cb88d30e36ad4d48ed11b5,1.0,1473927403.0,1.0,yes,tasks/main.yml,100.0,10.0,46.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,136.0,9.0,0.0,1.0,lae/ansible-role-proxmox,6.52,includ ssh cluster path name trust proxmox packag key apt key keyserv path state present name add proxmox repositori apt repositori repo proxmox repositori line filenam proxmox state present name run distupgrad apt updat cach ye cach valid time upgrad dist name instal proxmox relat packag apt name item state latest item proxmoxv postfix openiscsi ksmcontroldaemon systemdsysv name remov automat instal pve enterpris repo configur apt repositori repo deb http path jessi pveenterpris filenam pveenterpris state absent pvenosubscript proxmox repositori line name check kernel updat script scriptscheck kernel path regist proxmox kernel chang proxmox path updatedtru block name reboot kernel updat command shutdown pve kernel updat detect ansibl reboot async poll ignor error name wait server come back onlin local action wait port host inventori hostnam search regexopen ssh delay becom proxmox kernelchang proxmox reboot kernel updat
0.0,7.0,1.0,1.0,1.0,1.0,1.0,fbc1f5f2e6261829563f3b2d0591a0b0ab61b569,1.0,1473927602.0,1.0,no,tasks/ssh_cluster_config.yml,100.0,5.0,43.0,2.0,10.0,10.0,10.0,9.0,9.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,154.0,7.0,0.0,0.0,lae/ansible-role-proxmox,5.98,name creat ssh directori root file path path state directori mode name creat root ssh key pair pve user name root gener ssh key ye ssh key file path rsa ssh key type rsa ssh key comment root inventori hostnam short name fetch root ssh public key fetch src path path dest proxmox fetch directori inventori hostnam root path fail miss ye flat ye name author host root ssh public key author key user root key lookup file proxmox fetch directori item root path item group proxmox group name add key configur access pve host blockinfil dest path marker content host item hostvar item path default path ident file path rsa creat ye item group proxmox group name allow root login cluster host blockinfil dest etcsshsshd config marker content match address hostvar item path default path permit root login ye valid usrsbinsshd item group proxmox group notifi reload sshd configur
,,4.0,4.0,34.0,34.0,34.0,a9a5f2bd6ab108ef3950dbc66dc8424b7c9dc72d,1.0,1473929296.0,1.0,yes,tasks/main.yml,100.0,,,,41.0,41.0,41.0,7.0,7.0,7.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lae/ansible-role-proxmox,,includ ssh cluster path name trust proxmox packag key apt key keyserv path state present name add proxmox repositori apt repositori repo proxmox repositori line filenam proxmox state present name run distupgrad apt updat cach ye cach valid time upgrad dist name instal proxmox relat packag apt name item state latest item proxmoxv postfix openiscsi ksmcontroldaemon systemdsysv block name remov automat instal pve enterpris repo configur apt repositori repo deb http path jessi pveenterpris filenam pveenterpris state absent name remov subscript popup dialog web replac dest path regexp path activ replac backup ye pvenosubscript proxmox repositori line name check kernel updat script scriptscheck kernel path regist proxmox kernel chang proxmox path updatedtru proxmox check kernel updat block name reboot kernel updat command shutdown pve kernel updat detect ansibl reboot async poll ignor error name wait server come back onlin local action wait port host inventori hostnam search regexopen ssh delay becom proxmox reboot kernel updat proxmox kernel chang name remov old debian kernel apt name item state absent item linuximageamd linuximageamd proxmox remov old kernel name ldap fix authent search lineinfil line ldap bind proxmox ldap bind user password proxmox ldap bind password insertbefor ldap search dest path notifi restart pvedaemon proxmox ldap bind user defin proxmox ldap bind password defin
