avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,repo,text_entropy,tokens
0.0,5.0,3.0,3.0,59.0,59.0,59.0,ff9ee50f26becfb99bfb6b64a41bf74885b0886c,1.0,1448468053.0,1.0,no,tasks/checkout.yml,100.0,10.0,47.0,1.0,59.0,59.0,59.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,117.0,10.0,0.0,0.0,openstax/cnx-deploy,4.6,name make sourc directori file statedirectori path sourc root name clone cnxquerygrammar git repo git path path dest sourc root cnxquerygrammar version head name clone path git repo git path path dest sourc root path version head name clone cnxepub git repo git path path dest sourc root cnxepub version head name clone plpydbapi git repo git path path dest sourc root plpydbapi version head name clone plxslt git repo git path path dest sourc root plxslt version head name clone cnxarchiv git repo git path path dest sourc root cnxarchiv version head name clone openstaxaccount git repo git path path dest sourc root openstaxaccount version head name clone cnxpublish git repo git path path dest sourc root cnxpublish version head name clone cnxauthor git repo git path path dest sourc root cnxauthor version head
0.0,5.0,3.0,3.0,74.0,74.0,74.0,21adebe3ddb7732fa351c3f77559f242aeb3680e,1.0,1449368483.0,1.0,no,tasks/install_postgres.yml,100.0,18.0,57.0,23.0,78.0,78.0,78.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,12.0,6.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,11.0,225.0,13.0,0.0,2.0,openstax/cnx-deploy,5.71,name instal postgr debian ansibl famili debian becom ye apt name item state present item postgresql postgr version postgresqlserverdev postgr version postgresqlcli postgr version postgresqlcontrib postgr version postgresqlplpython postgr version name instal postgr tap darwin ansibl famili darwin command brew tap peterepostgresql name instal postgr darwin ansibl famili darwin homebrew name postgresql postgr version state present name databas directori exist darwin stat path usrlocalvarpostgr postgr version regist postgr dir name initi postgr darwin ansibl famili darwin postgr path shell usrlocaloptpostgresql postgr version bininitdb usrlocalvarpostgr postgr version utf name configur postgr debian ansibl famili debian becom ye copi src etcpostgresql postgr version mainpg path dest etcpostgresql postgr version mainpg path mode name configur postgr darwin ansibl famili darwin copi src etcpostgresql postgr version mainpg path dest usrlocalvarpostgr postgr version path mode name postgr launchd plist file exist darwin stat path usrlocalvarpostgr postgr version path regist plist file name instal postgr launchd config darwin ansibl famili darwin plist path templat src osxusrlocalvarpostgr path dest usrlocalvarpostgr postgr version path mode name link plist launchd directori darwin ansibl famili darwin file src usrlocalvarpostgr postgr version path dest librarylaunch path postgr version path state link name load postgr launchd config darwin ansibl famili darwin plist path shell launchctl load librarylaunch path postgr version path
0.0,6.0,1.0,1.0,13.0,13.0,13.0,79dbf43369e352fdd1c7d9c71f71f8c26baf0c39,1.0,1449368720.0,1.0,no,tasks/install_postgres.yml,100.0,19.0,66.0,26.0,15.0,15.0,15.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,12.0,4.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,12.0,248.0,14.0,0.0,2.0,openstax/cnx-deploy,5.77,name instal postgr debian ansibl famili debian becom ye apt name item state present item postgresql postgr version postgresqlserverdev postgr version postgresqlcli postgr version postgresqlcontrib postgr version postgresqlplpython postgr version name instal postgr tap darwin ansibl famili darwin command brew tap peterepostgresql name instal postgr darwin ansibl famili darwin homebrew name postgresql postgr version state present name databas directori exist darwin stat path usrlocalvarpostgr postgr version regist postgr dir name initi postgr darwin ansibl famili darwin postgr path shell usrlocaloptpostgresql postgr version bininitdb usrlocalvarpostgr postgr version utf name configur postgr debian ansibl famili debian becom ye copi src etcpostgresql postgr version mainpg path dest etcpostgresql postgr version mainpg path mode name configur postgr darwin ansibl famili darwin copi src etcpostgresql postgr version mainpg path dest usrlocalvarpostgr postgr version path mode name postgr launchd plist file exist darwin stat path usrlocalvarpostgr postgr version path regist plist file name instal postgr launchd config darwin ansibl famili darwin plist path templat src osxusrlocalvarpostgr path dest usrlocalvarpostgr postgr version path mode name link plist launchd directori darwin ansibl famili darwin file src usrlocalvarpostgr postgr version path dest librarylaunch path postgr version path state link name load postgr launchd config darwin ansibl famili darwin launchd domain gui ansibl user uid path librarylaunch path postgr version path state load name restart postgr darwin ansibl famili darwin launchd domain gui ansibl user uid label path postgr version state restart
0.0,5.0,3.0,3.0,6.0,6.0,6.0,5441911105543af76c523e3fdb2867c981f9388d,1.0,1449368720.0,1.0,no,tasks/checkout.yml,100.0,11.0,52.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,129.0,11.0,0.0,0.0,openstax/cnx-deploy,4.62,name make sourc directori file statedirectori path sourc root name clone cnxquerygrammar git repo git path path dest sourc root cnxquerygrammar version head name clone path git repo git path path dest sourc root path version head name clone cnxepub git repo git path path dest sourc root cnxepub version head name clone plpydbapi git repo git path path dest sourc root plpydbapi version head name clone plxslt git repo git path path dest sourc root plxslt version head name clone session exec git repo git path okbobsess path dest sourc root session exec version head name clone cnxarchiv git repo git path path dest sourc root cnxarchiv version head name clone openstaxaccount git repo git path path dest sourc root openstaxaccount version head name clone cnxpublish git repo git path path dest sourc root cnxpublish version head name clone cnxauthor git repo git path path dest sourc root cnxauthor version head
0.0,7.0,3.0,3.0,114.0,114.0,114.0,5441911105543af76c523e3fdb2867c981f9388d,1.0,1449368720.0,1.0,no,tasks/install_arclishing.yml,100.0,29.0,125.0,35.0,117.0,117.0,117.0,3.0,3.0,3.0,5.0,0.0,0.0,0.0,2.0,7.0,2.0,2.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,6.0,0.0,6.0,0.0,0.0,2.0,8.0,19.0,342.0,20.0,0.0,2.0,openstax/cnx-deploy,6.4,ansibl famili debian apt name pythonpsycopg state present ansibl famili darwin pip name psycopg state present stat pathusrlocalvarcnxvenv regist venv dir name ensur venv directori exist venv path file path usrlocalvarcnxvenv state directori mode owner ansibl user name creat archiv virtualenv pip name pip virtualenv usrlocalvarcnxvenvsarch virtualenv python python virtualenv site packag ye name creat publish virtualenv pip name pip virtualenv usrlocalvarcnxvenvspublish virtualenv python python virtualenv site packag ye name instal plxslt shell make configusrlocaloptpostgresql postgr version binpg config make configusrlocaloptpostgresql postgr version binpg config instal arg chdir sourc dir plxslt name instal session exec shell make use pgx configusrlocaloptpostgresql postgr version binpg config make use pgx configusrlocaloptpostgresql postgr version binpg config instal arg chdir sourc dir session exec name restart postgr darwin ansibl famili darwin launchd domain gui ansibl user uid label path postgr version state restart name instal local archiv packag pip name sourc dir item virtualenv usrlocalvarcnxvenvsarch state present item cnxquerygrammar path cnxepub plpydbapi cnxarchiv name instal archiv packag pip name item virtualenv usrlocalvarcnxvenvsarch state present item pyramid saw name instal local publish packag pip name sourc dir item virtualenv usrlocalvarcnxvenvspublish state present item cnxquerygrammar path cnxepub plpydbapi cnxarchiv openstaxaccount cnxpublish name instal publish packag pip name item virtualenv usrlocalvarcnxvenvspublish state present item pyramid saw name ensur etc directori exist file path usrlocaletc item state directori mode owner ansibl user item cnx cnxarchiv cnxpublish name render configur templat src path dest path mode owner ansibl user item src path dest path src path dest path name creat archiv user postgresql user postgr login user ansibl user login unix socket tmp name archiv user password archiv password role attr flag superus name creat archiv postgresql login user ansibl user login unix socket tmp name archiv name encod utf owner archiv user state present name initi archiv command usrlocalvarcnxvenvsarchivebincnxarchiveinitdb path regist archiv initdb cmd fail archiv initdb path databas alreadi initi archiv initdb path name initi publish databas alreadi initi archiv initdb path command usrlocalvarcnxvenvspublishingbincnxpublishinginitdb path
0.0,7.0,6.0,6.0,10.0,10.0,10.0,0cf30567af1507721a97f25310f0cc6cac895213,1.0,1449368720.0,1.0,no,tasks/install_arclishing.yml,100.0,31.0,133.0,35.0,13.0,13.0,13.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,2.0,7.0,2.0,2.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,6.0,0.0,6.0,0.0,0.0,2.0,8.0,21.0,362.0,22.0,0.0,2.0,openstax/cnx-deploy,6.47,ansibl famili debian apt name pythonpsycopg state present ansibl famili darwin pip name psycopg state present stat pathusrlocalvarcnxvenv regist venv dir name ensur venv directori exist venv path file path usrlocalvarcnxvenv state directori mode owner ansibl user name creat archiv virtualenv pip name pip virtualenv usrlocalvarcnxvenvsarch virtualenv python python name creat publish virtualenv pip name pip virtualenv usrlocalvarcnxvenvspublish virtualenv python python name instal plxslt shell make configusrlocaloptpostgresql postgr version binpg config make configusrlocaloptpostgresql postgr version binpg config instal arg chdir sourc dir plxslt name instal session exec shell make use pgx configusrlocaloptpostgresql postgr version binpg config make use pgx configusrlocaloptpostgresql postgr version binpg config instal arg chdir sourc dir session exec name restart postgr darwin ansibl famili darwin launchd domain gui ansibl user uid label path postgr version state restart name instal local archiv packag pip name sourc dir item virtualenv usrlocalvarcnxvenvsarch state present item cnxquerygrammar path cnxepub plpydbapi cnxarchiv name instal archiv packag pip name item virtualenv usrlocalvarcnxvenvsarch state present item pyramid saw name instal local publish packag pip name sourc dir item virtualenv usrlocalvarcnxvenvspublish state present item cnxquerygrammar path cnxepub plpydbapi cnxarchiv openstaxaccount cnxpublish name instal publish packag pip name item virtualenv usrlocalvarcnxvenvspublish state present item pyramid saw name ensur etc directori exist file path usrlocaletc item state directori mode owner ansibl user item cnx cnxarchiv cnxpublish name render configur templat src path dest path mode owner ansibl user item src path dest path src path dest path name creat archiv user postgresql user postgr login user ansibl user login unix socket tmp name archiv user password archiv password role attr flag superus name creat archiv postgresql login user ansibl user login unix socket tmp name archiv name encod utf owner archiv user state present name initi archiv command usrlocalvarcnxvenvsarchivebincnxarchiveinitdb path regist archiv initdb cmd fail archiv initdb path databas alreadi initi archiv initdb path name initi publish databas alreadi initi archiv initdb path command usrlocalvarcnxvenvspublishingbincnxpublishinginitdb path name configur archiv supervisor copi src path dest path mode name configur publish supervisor copi src path dest path mode
0.0,4.0,6.0,6.0,79.0,79.0,79.0,0cf30567af1507721a97f25310f0cc6cac895213,1.0,1449368720.0,1.0,no,tasks/install_supervisor.yml,100.0,15.0,24.0,39.0,79.0,79.0,79.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,56.0,4.0,0.0,1.0,openstax/cnx-deploy,5.37,name instal supervisor darwin ansibl famili darwin pip namesupervisor stat path regist supervisord conf name creat path supervisord path shell echo supervisord conf path file path path state touch mode name ensur path exist file path path state directori mode name configur path blockinfil dest path block includ file path insertaft eof
0.0,6.0,3.0,3.0,69.0,69.0,69.0,fb992e0e124bd030ea52b5f2fd5fcf9c777aad1a,1.0,1449368720.0,1.0,no,tasks/install_nginx.yml,100.0,10.0,42.0,16.0,69.0,69.0,69.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,125.0,8.0,0.0,0.0,openstax/cnx-deploy,5.41,name instal nginx debian ansibl famili debian apt namenginx statepres name instal nginx darwin ansibl famili darwin homebrew name nginx state present name instal path darwin ansibl famili darwin copi src path dest path mode name ensur nginxsit avail enabl path darwin ansibl famili darwin file path item state directori mode item usrlocaletcnginxsitesavail usrlocaletcnginxsitesen path name copi plist launchd directori darwin ansibl famili darwin copi src osxus librarylaunch path dest librarylaunch path mode name load nginx launchd config darwin ansibl famili darwin launchd domain gui ansibl user uid path librarylaunch path state load name restart nginx darwin ansibl famili darwin launchd domain gui ansibl user uid label path state restart
0.0,5.0,1.0,1.0,6.0,6.0,6.0,0fb783a8bab5e48f7b2ac48bfe16be15a00aca06,1.0,1449368720.0,1.0,no,tasks/checkout.yml,100.0,12.0,57.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,141.0,12.0,0.0,0.0,openstax/cnx-deploy,4.64,name make sourc directori file statedirectori path sourc root name clone cnxquerygrammar git repo git path path dest sourc root cnxquerygrammar version head name clone path git repo git path path dest sourc root path version head name clone cnxepub git repo git path path dest sourc root cnxepub version head name clone plpydbapi git repo git path path dest sourc root plpydbapi version head name clone plxslt git repo git path path dest sourc root plxslt version head name clone session exec git repo git path okbobsess path dest sourc root session exec version head name clone cnxarchiv git repo git path path dest sourc root cnxarchiv version head name clone openstaxaccount git repo git path path dest sourc root openstaxaccount version head name clone cnxpublish git repo git path path dest sourc root cnxpublish version head name clone webview git repo git path path dest sourc root webview version head name clone cnxauthor git repo git path path dest sourc root cnxauthor version head
0.0,6.0,2.0,2.0,102.0,102.0,102.0,287a2ac2528e9ac3854e7bf75accf4491e04916b,1.0,1449379956.0,1.0,no,tasks/install_webview.yml,100.0,17.0,63.0,21.0,102.0,102.0,102.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,11.0,169.0,12.0,0.0,1.0,openstax/cnx-deploy,5.86,name instal nodej npm packag debian ansibl famili debian apt name item state present item nodejsdev nodejslegaci npm name instal nodej npm packag darwin ansibl famili darwin homebrew name item state present item nodej npm name instal build tool npm name item global ye state present item bower gruntcli name new build stat path sourc dir webivewnod modul regist modul dir name instal webview modul path npm path sourc dir webview global name instal coffeelint npm path sourc dir webview name coffeelint global state present name updat webview modul path command npm runscript upgrad arg chdir sourc dir webview name configur cnx frontend nginx site templat src etcnginxsitesavailablecnx dest usrlocaletcnginxsitesavailablecnx name enabl nginx site file src usrlocaletcnginxsitesavailablecnx dest usrlocaletcnginxsitesenabledcnx state link name build webview dist command npm runscript dist arg chdir sourc dir webview name restart nginx darwin ansibl famili darwin launchd domain gui ansibl user uid label path state restart
