avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,repo,text_entropy,tokens
4.0,4.0,13.0,13.0,6.0,6.0,6.0,ae58dcf42e7d664d3ccf9959c8d63473c4cf3f6a,1.0,1458562186.0,1.0,no,ansible/playbooks/analysis.yml,100.0,0.0,4.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,rocknsm/rock,1.92,host analysi role common analysi
4.0,4.0,13.0,13.0,6.0,6.0,6.0,ae58dcf42e7d664d3ccf9959c8d63473c4cf3f6a,1.0,1458562186.0,1.0,no,ansible/playbooks/data.yml,100.0,0.0,4.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,rocknsm/rock,2.32,host datastor role common datastor
4.0,4.0,13.0,13.0,6.0,6.0,6.0,ae58dcf42e7d664d3ccf9959c8d63473c4cf3f6a,1.0,1458562186.0,1.0,no,ansible/playbooks/sensor.yml,100.0,0.0,4.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,rocknsm/rock,2.32,host sensor role common sensor
0.0,1.0,13.0,13.0,5.0,5.0,5.0,ae58dcf42e7d664d3ccf9959c8d63473c4cf3f6a,1.0,1458562186.0,1.0,no,ansible/site.yml,100.0,0.0,3.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,rocknsm/rock,1.79,includ path includ path includ path
0.0,28.0,10.0,10.0,34.0,34.0,34.0,053142ed12bca921e1a74bf11e3fcb45930c637d,1.0,1458563150.0,1.0,no,ansible/.kitchen.yml,100.0,5.0,28.0,0.0,34.0,34.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.0,5.0,0.0,0.0,rocknsm/rock,5.16,driver name vagrant custom memori provision name ansibl playbook role path role host allinon requir ansibl repo ansibl verbos ansibl version requir chef busser requir chef omnibu idempot test ansibl extra flag env ansibl extra flag platform name cento driver plugin vagrant driver config box ddikitchen box url http path suit name default verifi name busser plugin ansiblespec rubi bindir usrbin
0.0,6.0,10.0,10.0,8.0,8.0,8.0,053142ed12bca921e1a74bf11e3fcb45930c637d,1.0,1458563150.0,1.0,no,ansible/roles/common/tasks/epel.yml,100.0,0.0,6.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,rocknsm/rock,3.32,name instal epel yum nameepelreleas stateinstal tag epel pkginstal onlin repo
0.0,5.0,10.0,10.0,10.0,10.0,10.0,053142ed12bca921e1a74bf11e3fcb45930c637d,1.0,1458563150.0,1.0,no,ansible/roles/common/tasks/hostname.yml,100.0,1.0,9.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,2.0,0.0,0.0,rocknsm/rock,4.48,name set hostnam fqdn hostnam name hostnam name static entri host file lineinfil arg dest etchost insertbefor state present line ansibl default path hostnam ansibl hostnam
0.0,1.0,10.0,10.0,6.0,6.0,6.0,053142ed12bca921e1a74bf11e3fcb45930c637d,1.0,1458563150.0,1.0,no,ansible/roles/common/tasks/main.yml,100.0,0.0,4.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,rocknsm/rock,2.0,includ path includ path includ path includ path
0.0,9.0,10.0,10.0,11.0,11.0,11.0,053142ed12bca921e1a74bf11e3fcb45930c637d,1.0,1458563150.0,1.0,no,ansible/roles/common/tasks/pkginstall.yml,100.0,0.0,9.0,1.0,11.0,11.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1.0,0.0,0.0,rocknsm/rock,3.91,name conveni packag yum name item stateinstal item vim tmux git facter tag pkginstal
0.0,4.0,10.0,10.0,34.0,34.0,34.0,053142ed12bca921e1a74bf11e3fcb45930c637d,1.0,1458563150.0,1.0,no,ansible/roles/common/tasks/timedatectl.yml,100.0,6.0,26.0,1.0,34.0,34.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,99.0,9.0,0.0,2.0,rocknsm/rock,5.67,name instal chroni yum name chroni state instal name enabl start chroni servic name chronyd enabl ye state start name set system timezon command usrbintimedatectl settimezon utc ansibl date path utc name check rtc set utc shell timedatectl awk rtc local print chang regist chroni local utc name set system hardwar clock utc command usrbintimedatectl setlocalrtc chroni local utc ye name check ntp enabl shell timedatectl awk ntp enabl print chang regist chroni ntp enabl name set ntp enabl command usrbintimedatectl setntp ye chroni ntp enabl
