author,repository,link
alexey-medvedchikov,ansible-galera,https://github.com/alexey-medvedchikov/ansible-galera
willshersystems,ansible-sshd,https://github.com/willshersystems/ansible-sshd
ktosiek,ansible-nix,https://github.com/ktosiek/ansible-nix
dresden-weekly,ansible-network-interfaces,https://github.com/dresden-weekly/ansible-network-interfaces
migibert,terraform-role,https://github.com/migibert/terraform-role
AerisCloud,ansible-repos,https://github.com/AerisCloud/ansible-repos
elnappo,ansible-role-check-mk-agent,https://github.com/elnappo/ansible-role-check-mk-agent
UnderGreen,ansible-role-mongodb,https://github.com/UnderGreen/ansible-role-mongodb
threatstack,threatstack-ansible,https://github.com/threatstack/threatstack-ansible
nusenu,ansible-relayor,https://github.com/nusenu/ansible-relayor
awailly,cis-ubuntu-ansible,https://github.com/awailly/cis-ubuntu-ansible
Capgemini,Apollo,https://github.com/Capgemini/Apollo
ansiblebit,oracle-java,https://github.com/ansiblebit/oracle-java
mikolak-net,ansible-raspi-config,https://github.com/mikolak-net/ansible-raspi-config
cmprescott,ansible-role-chrome,https://github.com/cmprescott/ansible-role-chrome
StackStorm,ansible-st2,https://github.com/StackStorm/ansible-st2
AerisCloud,ansible-disk,https://github.com/AerisCloud/ansible-disk
sensu,sensu-ansible,https://github.com/sensu/sensu-ansible
Oefenweb,ansible-r,https://github.com/Oefenweb/ansible-r
jriguera,ansible-ironic-standalone,https://github.com/jriguera/ansible-ironic-standalone
jaytaylor,ansible-kafka,https://github.com/jaytaylor/ansible-kafka
dev-sec,ansible-mysql-hardening,https://github.com/dev-sec/ansible-mysql-hardening
brianshumate,ansible-consul,https://github.com/brianshumate/ansible-consul
nowait-tools,ansible-rabbitmq,https://github.com/nowait-tools/ansible-rabbitmq
arknoll,ansible-role-selenium,https://github.com/arknoll/ansible-role-selenium
HanXHX,ansible-debian-bootstrap,https://github.com/HanXHX/ansible-debian-bootstrap
HanXHX,ansible-mysql,https://github.com/HanXHX/ansible-mysql
inkatze,wildfly,https://github.com/inkatze/wildfly
galaxyproject,ansible-galaxy-tools,https://github.com/galaxyproject/ansible-galaxy-tools
fubarhouse,ansible-role-nodejs,https://github.com/fubarhouse/ansible-role-nodejs
evrardjp,ansible-keepalived,https://github.com/evrardjp/ansible-keepalived
bngsudheer,ansible-role-redmine,https://github.com/bngsudheer/ansible-role-redmine
CSCfi,fgci-ansible,https://github.com/CSCfi/fgci-ansible
mrlesmithjr,vagrant-box-templates,https://github.com/mrlesmithjr/vagrant-box-templates
CSCfi,ansible-role-slurm,https://github.com/CSCfi/ansible-role-slurm
CSCfi,ansible-role-pxe_config,https://github.com/CSCfi/ansible-role-pxe_config
mrlesmithjr,ansible-manage-lvm,https://github.com/mrlesmithjr/ansible-manage-lvm
infOpen,ansible-role-jenkins,https://github.com/infOpen/ansible-role-jenkins
