url,default_branch,commits,releases,issues,contributors,stars,watchers
https://github.com/dockpack/ansible-consul,master,893.0,151,158,69.0,254,20
https://github.com/ceph/ceph-ansible,master,5161.0,255,1098,199.0,1122,157
https://github.com/CentOS-PaaS-SIG/linchpin,develop,4178.0,76,689,39.0,95,17
https://github.com/OpenConext/OpenConext-deploy,master,3176.0,280,61,21.0,9,12
https://github.com/PGBlitz/PGBlitz.com,v90,21597.0,589,230,59.0,1444,71
https://github.com/openstack/kolla-ansible,master,11073,62,0,355,302,59
https://github.com/openstack/openstack-ansible,master,6612,323,0,198,1100,193
https://github.com/netbootxyz/netboot.xyz,development,1577,30,187,52,1900,79
https://github.com/splunk/splunk-ansible,develop,1187,20,80,33,147,39
https://github.com/wazuh/wazuh-ansible,master,1139,25,167,33,75,28
https://github.com/openstack/openstack-ansible-os_nova,master,1119,126,0,87,18,6
https://github.com/openstack/openstack-ansible-os_neutron,master,1114,126,80,18,5
https://github.com/openstack/tripleo-validations,master,831,70,0,72,20,7
https://github.com/openstack/tripleo-quickstart,master,2736,6,0,118,111,28
https://github.com/openstack/tripleo-quickstart-extras,master,3014,5,0,96,20,9
https://github.com/openstack/openstack-ansible-rabbitmq_server,master,416,126,0,40,18,5
https://github.com/dj-wasabi/ansible-telegraf,master,262,24,34,74,8
https://github.com/redhat-openstack/infrared,master,6055.0,145,154,119.0,73,35
https://github.com/ansible-community/molecule,master,2052.0,156,1174,191.0,2638,122
https://github.com/ComplianceAsCode/content,master,15133.0,44,1874,132.0,869,130
https://github.com/ansible/galaxy,devel,2842.0,42,1105,45.0,682,96
https://github.com/openstax/cnx-deploy,master,2075.0,247,150,28.0,3,13
https://github.com/stellar/go,master,2027.0,88,987,80.0,679,73
https://github.com/integr8ly/installation,master,1976.0,90,71,53.0,83,18
https://github.com/Cloudbox/Cloudbox,master,1487.0,27,123,14.0,1006,58
https://github.com/roots/trellis,master,1399.0,22,450,81.0,2052,140
https://github.com/gluster/gdeploy,master,1236.0,46,103,20.0,89,22
https://github.com/pingcap/tidb-ansible,master,1184.0,46,176,85.0,266,82
https://github.com/wazuh/wazuh-ansible,master,1068.0,24,162,33.0,73,28
https://github.com/elastic/ansible-elasticsearch,master,1030.0,27,293,84.0,1087,333
https://github.com/easzlab/kubeasz,master,887.0,33,676,42.0,4830,312
https://github.com/liip/drifter,master,847.0,32,88,39.0,57,26
https://github.com/StackStorm/ansible-st2,master,830.0,39,83,28.0,74,30
https://github.com/PaloAltoNetworks/ansible-pan,develop,756.0,35,208,35.0,176,58
https://github.com/dj-wasabi/ansible-zabbix-agent,master,632.0,29,134,62.0,282,26
https://github.com/Juniper/ansible-junos-stdlib,master,627.0,22,238,34.0,235,68
https://github.com/kubevirt/kubevirt-ansible,master,587.0,24,162,43.0,60,24
https://github.com/plone/ansible-playbook,master,552.0,34,54,17.0,74,188
https://github.com/ansistrano/deploy,master,547.0,41,145,81.0,1870,67
https://github.com/cloudalchemy/ansible-prometheus,master,513.0,117,69,34.0,524,20
https://github.com/fboender/ansible-cmdb,master,510.0,32,167,19.0,1665,148
https://github.com/sensu/sensu-ansible,master,500.0,21,96,38.0,126,16
https://github.com/dev-sec/ansible-ssh-hardening,master,491.0,28,89,53.0,623,56
https://github.com/ANXS/postgresql,master,475.0,29,200,63.0,625,46
https://github.com/UnderGreen/ansible-role-mongodb,master,472.0,39,93,43.0,236,17
https://github.com/dockpack/ansible-vault,master,440.0,93,45,36.0,117,7
https://github.com/plone/ansible.plone_server,master,396.0,45,49,15.0,8,180
https://github.com/redhat-cop/casl-ansible,master,367.0,23,137,33.0,113,31
https://github.com/cloudalchemy/ansible-grafana,master,365.0,66,64,42.0,239,11
https://github.com/oVirt/ovirt-ansible-hosted-engine-setup,master,363.0,33,37,15.0,17,12
https://github.com/openwisp/ansible-openwisp2,master,334.0,33,88,30.0,386,24
https://github.com/lae/ansible-role-netbox,master,301.0,59,37,11.0,87,11
https://github.com/DavidWittman/ansible-redis,master,292.0,21,89,46.0,529,24
https://github.com/volanja/ansible_spec,master,284.0,36,46,20.0,215,9
https://github.com/DataDog/ansible-datadog,master,281.0,29,88,51.0,188,115
