atss_count,bloc_count,bloc_count_relative,cloc_count,cloc_count_relative,commits_count,contributors_count,defective,dpt_count,etp_count,filepath,highest_experience,history_complexity,loc_count,median_hunks_count,minor_contributors_count,nbeh_count,nbeh_count_relative,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count,nemd_count_relative,nfl_count,nfmd_count,nfmd_count_relative,nicd_count,nierr_count,nimpp_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nmo_count,nnnv_count,nnnv_count_relative,nnwv_count,nnwv_count_relative,nscm_count,nsh_count,ntkn_count,ntnn_count,ntnn_count_relative,nts_count,ntun_count,ntun_count_relative,ntvr_count,nun_count,nun_count_relative,release_date,release_end,release_start,repo,total_added_loc,total_removed_loc,apls_count,niu_count,npl_count,npnn_count,npnn_count_relative,npun_count,npun_count_relative,npvr_count,nrgv_count,nrl_count,nrvr_count,nvr_count
6.0,4.0,0.15,0.0,0.0,7.0,1.0,yes,2.0,5.1,tasks/main.yml,100.0,1.4,26.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,2.0,3.0,0.0,4.0,0.8,1.0,0.2,0.0,0.0,73.0,0.0,0.0,4.0,4.0,1.0,10.0,5.0,1.0,2014-12-25 12:16:54+00:00,db123d088453088a8975dcbe4497bca4bc5718ba,220a5cdb5496ad7acdc1f39ce788063c6e58454e,willshersystems/ansible-sshd,44.0,13.0,,,,,,,,,,,,
4.0,1.0,0.14,0.0,0.0,1.0,1.0,no,2.0,3.73,handlers/main.yml,100.0,0.22,7.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,2.0,0.67,1.0,0.33,0.0,0.0,23.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,1.0,2014-12-25 12:16:54+00:00,db123d088453088a8975dcbe4497bca4bc5718ba,220a5cdb5496ad7acdc1f39ce788063c6e58454e,willshersystems/ansible-sshd,9.0,0.0,,,,,,,,,,,,
8.0,3.0,0.09,0.0,0.0,2.0,1.0,yes,2.0,5.11,tasks/main.yml,100.0,2.48,35.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,2.0,3.0,0.0,4.0,0.8,1.0,0.2,0.0,0.0,86.0,0.0,0.0,4.0,4.0,1.0,10.0,5.0,1.0,2015-01-04 15:50:45+00:00,8bd74efb4abe1a36d16fcf41c653fa2bb8f106cd,1aecc3831685a52f0918267781157ae161a38926,willshersystems/ansible-sshd,10.0,2.0,,,,,,,,,,,,
4.0,1.0,0.14,0.0,0.0,0.0,0.0,no,2.0,3.73,handlers/main.yml,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,2.0,0.67,1.0,0.33,0.0,0.0,23.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,1.0,2015-01-04 15:50:45+00:00,8bd74efb4abe1a36d16fcf41c653fa2bb8f106cd,1aecc3831685a52f0918267781157ae161a38926,willshersystems/ansible-sshd,0.0,0.0,,,,,,,,,,,,
8.0,3.0,0.09,0.0,0.0,0.0,0.0,yes,2.0,5.11,tasks/main.yml,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,2.0,3.0,0.0,4.0,0.8,1.0,0.2,0.0,0.0,86.0,0.0,0.0,4.0,4.0,1.0,10.0,5.0,1.0,2015-01-12 21:43:47+00:00,284a07de60b4368d5c61c98278e4aa33a6aff217,2d1aa4933cc63a70b9e42677551283b169cb6ae6,willshersystems/ansible-sshd,0.0,0.0,,,,,,,,,,,,
4.0,1.0,0.14,0.0,0.0,0.0,0.0,no,2.0,3.73,handlers/main.yml,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,2.0,0.67,1.0,0.33,0.0,0.0,23.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,1.0,2015-01-12 21:43:47+00:00,284a07de60b4368d5c61c98278e4aa33a6aff217,2d1aa4933cc63a70b9e42677551283b169cb6ae6,willshersystems/ansible-sshd,0.0,0.0,,,,,,,,,,,,
8.0,4.0,0.11,0.0,0.0,1.0,1.0,yes,2.0,5.11,tasks/main.yml,100.0,16.44,35.0,4.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,2.0,3.0,0.0,4.0,0.8,1.0,0.2,0.0,0.0,84.0,0.0,0.0,4.0,4.0,1.0,10.0,5.0,1.0,2015-01-13 13:31:52+00:00,bd4fd564aa5ba5bb528b4c72ed0708eaa3903d4e,c050ac80577ac1ddae20f0f4a97d1fe949167d10,willshersystems/ansible-sshd,4.0,3.0,,,,,,,,,,,,
4.0,1.0,0.14,0.0,0.0,1.0,1.0,no,2.0,3.57,handlers/main.yml,100.0,14.1,7.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,2.0,0.67,1.0,0.33,0.0,0.0,18.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,1.0,2015-01-13 13:31:52+00:00,bd4fd564aa5ba5bb528b4c72ed0708eaa3903d4e,c050ac80577ac1ddae20f0f4a97d1fe949167d10,willshersystems/ansible-sshd,3.0,3.0,,,,,,,,,,,,
8.0,4.0,0.11,0.0,0.0,0.0,0.0,yes,2.0,5.11,tasks/main.yml,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,2.0,3.0,0.0,4.0,0.8,1.0,0.2,0.0,0.0,84.0,0.0,0.0,4.0,4.0,1.0,10.0,5.0,1.0,2015-01-13 14:32:35+00:00,5a79303a84dfcefe27b819fa15837eaff55308f7,a3b5c2a4f0a3831ebfa8f563ab42d0a9c78e3854,willshersystems/ansible-sshd,0.0,0.0,,,,,,,,,,,,
4.0,1.0,0.14,0.0,0.0,0.0,0.0,no,2.0,3.57,handlers/main.yml,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,2.0,0.67,1.0,0.33,0.0,0.0,18.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,1.0,2015-01-13 14:32:35+00:00,5a79303a84dfcefe27b819fa15837eaff55308f7,a3b5c2a4f0a3831ebfa8f563ab42d0a9c78e3854,willshersystems/ansible-sshd,0.0,0.0,,,,,,,,,,,,
