atss_count,bloc_count,bloc_count_relative,cloc_count,cloc_count_relative,commits_count,contributors_count,defective,dpt_count,etp_count,filepath,highest_experience,loc_count,median_hunks_count,minor_contributors_count,nbeh_count,nbeh_count_relative,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count,nemd_count_relative,nfl_count,nfmd_count,nfmd_count_relative,nicd_count,nierr_count,nimpp_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nmo_count,nnnv_count,nnnv_count_relative,nnwv_count,nnwv_count_relative,nscm_count,nsh_count,ntkn_count,ntnn_count,ntnn_count_relative,nts_count,ntun_count,ntun_count_relative,ntvr_count,nun_count,nun_count_relative,release_date,release_end,release_start,repo,total_added_loc,total_removed_loc,apls_count,niu_count,npl_count,npnn_count,npnn_count_relative,npun_count,npun_count_relative,npvr_count,nrgv_count,nrl_count,nrvr_count,nvr_count
4.0,1.0,0.12,0.0,0.0,1.0,1.0,yes,2.0,3.97,handlers/main.yml,0.71,8.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,2.0,0.67,1.0,0.33,0.0,0.0,22.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,1.0,2015-01-13 17:45:20+00:00,34490a292753ea91381908e4084d5bd71572acc9,62f5919da376638df300155f300a14d2faa68696,willshersystems/ansible-sshd,1.0,0.0,,,,,,,,,,,,
7.0,4.0,0.11,0.0,0.0,1.0,1.0,no,2.0,5.27,tasks/main.yml,4.28,37.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,0.0,0.0,2.0,4.0,0.0,5.0,0.83,1.0,0.17,0.0,0.0,92.0,0.0,0.0,5.0,5.0,1.0,10.0,6.0,1.0,2015-01-13 17:45:20+00:00,34490a292753ea91381908e4084d5bd71572acc9,62f5919da376638df300155f300a14d2faa68696,willshersystems/ansible-sshd,4.0,2.0,,,,,,,,,,,,
2.0,0.0,0.0,0.0,0.0,0.0,0.0,no,3.0,4.95,meta/main.yml,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,40.0,2.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,2015-01-13 17:45:20+00:00,34490a292753ea91381908e4084d5bd71572acc9,62f5919da376638df300155f300a14d2faa68696,willshersystems/ansible-sshd,0.0,0.0,,,,,,,,,,,,
6.0,4.0,0.15,0.0,0.0,7.0,1.0,yes,2.0,5.1,tasks/main.yml,1.4,26.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,2.0,3.0,0.0,4.0,0.8,1.0,0.2,0.0,0.0,73.0,0.0,0.0,4.0,4.0,1.0,10.0,5.0,1.0,2014-12-25 12:16:54+00:00,db123d088453088a8975dcbe4497bca4bc5718ba,220a5cdb5496ad7acdc1f39ce788063c6e58454e,willshersystems/ansible-sshd,44.0,13.0,,,,,,,,,,,,
4.0,1.0,0.14,0.0,0.0,1.0,1.0,no,2.0,3.73,handlers/main.yml,0.22,7.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,2.0,0.67,1.0,0.33,0.0,0.0,23.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,1.0,2014-12-25 12:16:54+00:00,db123d088453088a8975dcbe4497bca4bc5718ba,220a5cdb5496ad7acdc1f39ce788063c6e58454e,willshersystems/ansible-sshd,9.0,0.0,,,,,,,,,,,,
2.0,0.0,0.0,0.0,0.0,4.0,1.0,no,3.0,4.81,meta/main.yml,0.98,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,37.0,2.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,2014-12-25 12:16:54+00:00,db123d088453088a8975dcbe4497bca4bc5718ba,220a5cdb5496ad7acdc1f39ce788063c6e58454e,willshersystems/ansible-sshd,32.0,8.0,,,,,,,,,,,,
9.0,6.0,0.11,0.0,0.0,6.0,1.0,yes,2.0,5.39,tasks/auth_initialization.yml,3.43,56.0,4.0,0.0,0.0,0.0,0.0,28.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,0.0,3.0,3.0,4.0,0.0,5.0,0.5,5.0,0.5,0.0,0.0,164.0,1.0,0.17,6.0,5.0,0.83,13.0,7.0,0.7,2015-02-25 21:39:36+05:00,54a10b07177c983b111969ce2065d8abb786523f,d98d1a78ef5c00a731975c4612dcf7914bed65cb,UnderGreen/ansible-role-mongodb,93.0,30.0,,,,,,,,,,,,
2.0,4.0,0.5,0.0,0.0,5.0,3.0,no,1.0,3.85,handlers/main.yml,0.59,8.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,28.0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,1.0,2015-02-25 21:39:36+05:00,54a10b07177c983b111969ce2065d8abb786523f,d98d1a78ef5c00a731975c4612dcf7914bed65cb,UnderGreen/ansible-role-mongodb,17.0,4.0,,,,,,,,,,,,
2.0,4.0,0.57,0.0,0.0,2.0,2.0,no,1.0,3.48,tasks/main.yml,0.5,7.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2015-02-25 21:39:36+05:00,54a10b07177c983b111969ce2065d8abb786523f,d98d1a78ef5c00a731975c4612dcf7914bed65cb,UnderGreen/ansible-role-mongodb,15.0,3.0,,,,,,,,,,,,
12.0,2.0,0.05,0.0,0.0,2.0,1.0,no,2.0,4.41,tasks/auth_initialization_ald.yml,1.48,41.0,3.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,3.0,1.0,0.0,3.0,0.38,5.0,0.62,0.0,0.0,119.0,0.0,0.0,3.0,3.0,1.0,11.0,5.0,0.62,2015-02-25 21:39:36+05:00,54a10b07177c983b111969ce2065d8abb786523f,d98d1a78ef5c00a731975c4612dcf7914bed65cb,UnderGreen/ansible-role-mongodb,48.0,5.0,,,,,,,,,,,,
