avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_authorized_key,num_block_error_handling,num_blocks,num_command_calls,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_regex,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_authorized_key,delta_num_block_error_handling,delta_num_blocks,delta_num_command_calls,delta_num_commands,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_file_exists,delta_num_file_mode,delta_num_file_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_parameters,delta_num_paths,delta_num_plays,delta_num_regex,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_uri,delta_num_user_interaction,delta_num_vars,delta_text_entropy
8.0,8.0,11.0,139.0,1.0,0.0,3.0,212a286d3ecebc4df906c7d550cd7f34819b7cea,6.0,1511887322.0,3.0,0.0,playbooks/kibana.yml,44.44,7.0,33.0,5.0,5.0,1.0,3.0,4.0,1.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,96.0,4.0,0.0,0.0,9.0,kibana.yml,AlbanAndrieu/ansible-nabla,5.94,host gather fact task name group host distribut group key ansibl distribut ansibl distribut version host red hat red hat cent ubuntu ubuntu gather fact task name group host support distribut group key support host support gather fact task name fail unsupport distribut fail msg ansibl distribut ansibl distribut version support tower instal support ose includ red hat enterpris linux cent ubuntu name add kibana configur host logstash remot user root role path var kibana usernam kibana kibana password microsoft nginx user root kibana domain localhost kibana server name localhost kibana elasticsearch port address http kibana domain nginx worker process nginx worker connect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,6.0,11.0,139.0,-2.0,0.0,0.0,212a286d3ecebc4df906c7d550cd7f34819b7cea,5.0,1511887322.0,3.0,1.0,playbooks/supervisor.yml,50.0,4.0,27.0,4.0,3.0,1.0,2.0,5.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,86.0,5.0,0.0,0.0,0.0,supervisor.yml,AlbanAndrieu/ansible-nabla,5.71,host gather fact task name group host distribut group key ansibl distribut ansibl distribut version host red hat red hat cent ubuntu ubuntu gather fact task name group host support distribut group key support host support gather fact task name fail unsupport distribut fail msg ansibl distribut ansibl distribut version support tower instal support ose includ red hat enterpris linux cent ubuntu name configur supervisor host supervisor remot user root role role supervisor name webserv command python simpl httpserver directori optweb user ubuntu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,9.0,11.0,139.0,-515.0,-47.0,179.0,212a286d3ecebc4df906c7d550cd7f34819b7cea,11.0,1511887322.0,4.0,0.0,playbooks/workstation.yml,89.0,26.0,99.0,28.0,611.0,56.0,246.0,1126.0,102.0,870.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,0.0,1.0,11.0,305.0,17.0,0.0,0.0,16.0,jenkins-slave-job.sh,AlbanAndrieu/ansible-nabla,6.89,host gather fact task name group host distribut group key ansibl distribut ansibl distribut version host red hat red hat red hat cent cent ubuntu ubuntu ubuntu ubuntu ubuntu gather fact task name group host support distribut group key support host support gather fact task name fail unsupport distribut fail msg ansibl distribut ansibl distribut version support tower instal support ose includ red hat enterpris linux cent ubuntu debug msg version ansibl distribut ansibl distribut version ansibl architectur host localhost task name instal ansiblegalaxi depend shell ansiblegalaxi instal path path ignor error ye name determin ssh port host gather fact var custom ssh port task name test default ssh port local action wait port timeout host inventori hostnam regist default ssh ignor error name set ansibl ssh port default set fact ansibl ssh port default path name test ssh high port local action wait port custom ssh port timeout host inventori hostnam regist high ssh default path ignor error name set ansibl ssh port high set fact ansibl ssh port custom ssh port default path high path name bootstrap python onto server host ubuntu ubuntu ubuntu ubuntu ubuntu pre task name instal python raw test usrbinpython apt updat apt instal pythonsimplejson regist output chang path name instal sudo becom ye raw test usrbinsudo apt instal sudo regist output chang path name add repo configur node host red hat red hat cent cent becom ye role path path name appli hostnam configur host workstat becom ye role path name instal git host workstat remot user root role role path name appli common configur jenkin slave host workstat remot user albandri connect local role path var dropbox user directori workspacedropbox dropbox user host dash enabl webapp enabl ansigenom enabl apach creat vhost nodej enabl varieti owner user varieti group group dropbox owner user dropbox group group name instal xvbf host workstat remot user root role path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,10.0,11.0,139.0,186.0,17.0,154.0,212a286d3ecebc4df906c7d550cd7f34819b7cea,11.0,1511887322.0,2.0,0.0,playbooks/jenkins-slave.yml,97.16,26.0,115.0,44.0,234.0,21.0,154.0,48.0,4.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,0.0,1.0,11.0,336.0,17.0,0.0,0.0,19.0,playbooks/jenkins-slave.yml,AlbanAndrieu/ansible-nabla,7.19,host gather fact task name group host distribut group key ansibl distribut ansibl distribut version host red hat red hat red hat cent cent ubuntu ubuntu ubuntu ubuntu ubuntu gather fact task name group host support distribut group key support host support gather fact task name fail unsupport distribut fail msg ansibl distribut ansibl distribut version support tower instal support ose includ red hat enterpris linux cent ubuntu debug msg version ansibl distribut ansibl distribut version ansibl architectur host localhost task name instal ansiblegalaxi depend shell ansiblegalaxi instal path path ignor error ye name determin ssh port host gather fact var custom ssh port task name test default ssh port local action wait port timeout host inventori hostnam regist default ssh ignor error name set ansibl ssh port default set fact ansibl ssh port default path name test ssh high port local action wait port custom ssh port timeout host inventori hostnam regist high ssh default path ignor error name set ansibl ssh port high set fact ansibl ssh port custom ssh port default path high path name bootstrap python onto server host ubuntu ubuntu ubuntu ubuntu ubuntu pre task name instal python raw test usrbinpython apt updat apt instal pythonsimplejson regist output chang path name instal sudo becom ye raw test usrbinsudo apt instal sudo regist output chang path name add repo configur node host red hat red hat cent cent becom ye role path path name appli hostnam configur host jenkinsslav becom ye role path name instal git host jenkinsslav remot user root role role path name appli common configur jenkin slave host jenkinsslav remot user albandri connect local role path var docker file enabl shell git shell git machin shell git login alban andrieu shell git email path path shell git password microsoft shell git name andrieu alban shell git path usrbin shell git ssl jenkin http port jenkin prefix jenkin jenkin home homejenkin jenkin group docker jenkin url http localhost jenkin prefix home url http path nexu url home url bower url http path npm phantomj cdnurl home url downloadphantomj jenkin ssh key file path rsa jenkin ssh author key fingerprint sshrsa aaaabnza cyceaaaabjqaaaieaiosoqy kqf sfnki tasuzj stx wev gvzwg jix pfkbxo mapdjbzjlcdrswi nvlxvjb wplneako nxudxafsz wbtri dugkdu lvgqncmlu ifdhdieqirefquuu bnetztftvc alban jenkin ssh fingerprint path sshrsa aaaabnza cyceaaaabiw aaaqeaubi dcafrg lza fpswk ecq tklvq latma zyyr jztnqw oovbw kzyki eoovq nebx jjel cqd txwtpb dxchqdxca hop ohgpuyyba gqrgu su measyi wun ynv caiqa wmxnmd fpj hajh dsoi lpbl bptnmr yin mzgzbiik wwvkdckzjzwyj orujccnpsk dasinfvxnf xeuk jnmevlj peom ntfztmzli pwcalsqn mnnhwr nirbfgrdip llep sbnese fvbo gqz hmi path sshrsa aaaabnza cyceaaaabiw aaaqeaqah rgmdnmt udb oidsw bktb qapxypcpyrb ttwphkcc krppi vhphd eic krp vdbf olxqusi covwzfj ijnl geysdl ljiz hhbnm ujv sahqq zetyp lqnn phtevvuhvf desukezm dql xlmv mfsexh htv ksczifim wwo gmb wfnzp ioa bweqq uumpaaa xvaljuxbrpwrc qgql jlrkr tjvdsj ejeav gql ghszxygskuasm viwi cegb odqn twlgw cyd gxavji sapjxi uffaa path sshrsa aaaabnza cyceaaaadaqabaaabaqcpzk dreu wgkankl oidkkmgb hdl qqkj vswi lnuld ycv lfqcuhnf sbf jyhiy zkudywk xymb venta bcf ocuztrn hwunz ufcwpwxgz nqin vnycaya bnbwf xntwi wcyqa ukaqwa pequagwphgf gct gmfhihb fklglgluw vxvm ffhm xe iild hja omctz mvttp kmvxojpttbeh xdxuwebkqyulc qyd bbgp vqoxbwwa jxwwn lra cxfkmqoblgxt qcba dmsb dkd hcxrckspi chal name instal xvbf host jenkinsslav remot user root role path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,10.0,11.0,139.0,45.0,45.0,45.0,212a286d3ecebc4df906c7d550cd7f34819b7cea,1.0,1511887322.0,1.0,0.0,playbooks/opencl.yml,100.0,12.0,18.0,15.0,45.0,45.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,43.0,1.0,0.0,0.0,3.0,playbooks/opencl.yml,AlbanAndrieu/ansible-nabla,4.94,host jenkinsslav becom ye remot user root pre task set fact cpu driver genuin intel ansibl processor intel elif authent amd ansibl processor amd els unknown endif debug msg cpu driver command dkm statu name configur opencl host jenkinsslav becom ye remot user root role opencl var nvidia driver version base url http kgrwebdownloadopencl kmod instal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,8.0,11.0,139.0,-1.0,0.0,1.0,212a286d3ecebc4df906c7d550cd7f34819b7cea,5.0,1511887322.0,3.0,0.0,playbooks/hostname.yml,44.44,2.0,9.0,6.0,13.0,3.0,5.0,14.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,17.0,1.0,0.0,0.0,0.0,hostname.yml,AlbanAndrieu/ansible-nabla,3.97,name appli common hostnam connect local host workstat sudo ye role role path hostnam enabl ye inventori hostnam path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,7.0,11.0,139.0,12.0,2.0,9.0,212a286d3ecebc4df906c7d550cd7f34819b7cea,5.0,1511887322.0,2.0,0.0,playbooks/evasive.yml,81.25,3.0,7.0,2.0,14.0,3.0,9.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,13.0,1.0,0.0,0.0,1.0,evasive.yml,AlbanAndrieu/ansible-nabla,3.7,name instal evas host apacheserv remot user root role role path var apach listen port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,20.0,11.0,139.0,28.0,4.0,39.0,212a286d3ecebc4df906c7d550cd7f34819b7cea,8.0,1511887322.0,4.0,0.0,playbooks/web.yml,52.7,2.0,21.0,5.0,51.0,6.0,39.0,23.0,3.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,49.0,1.0,0.0,0.0,0.0,web.yml,AlbanAndrieu/ansible-nabla,5.49,name configur deploy nabla php sampl applic code apach host workstat remot user albandri becom ye role role path apach listen port web base dir varwwwsampl phpmyadmin mysql user root phpmyadmin mysql password microsoft phpmyadmin mysql port apach listen port php date timezon europepari mysql innodb log file size mysql root usernam root mysql root password microsoft php enabl repositori http path path repositori version ghpage docker file enabl docker file gener directori path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,22.0,11.0,139.0,50.0,10.0,50.0,212a286d3ecebc4df906c7d550cd7f34819b7cea,5.0,1511887322.0,1.0,0.0,playbooks/wordpress.yml,100.0,3.0,23.0,23.0,52.0,10.0,50.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,52.0,1.0,0.0,0.0,0.0,wordpress.yml,AlbanAndrieu/ansible-nabla,5.02,name instal wordpress connect local host workstat role role path apach listen port phpmyadmin mysql user root phpmyadmin mysql password microsoft phpmyadmin mysql port apach listen port php date timezon europepari mysql innodb log file size mysql root usernam root mysql root password microsoft instal dir varwwwwordpress name wordpress user mysql root usernam password mysql root password host localhost apach listen port apach listen port apach hostnam wordpress apach alia localhost apach admin email admin path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,9.0,11.0,139.0,20.0,10.0,20.0,212a286d3ecebc4df906c7d550cd7f34819b7cea,2.0,1511887322.0,1.0,0.0,playbooks/inventory.yml,100.0,1.0,18.0,1.0,25.0,12.0,20.0,5.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,2.0,0.0,0.0,0.0,playbooks/inventory.yml,AlbanAndrieu/ansible-nabla,4.18,name master box ubuntutrusti check updat net privat network forward host ssh port forward host port forward guest port mem name master box ubuntutrusti check updat net privat network forward host ssh port forward host port forward guest port mem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
