avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,14.0,2.0,7.0,138.0,69.0,139.0,5634be4ab079bc722f32ad5a9c322f4b93d7921f,2.0,1448539361.0,1.0,no,meta/main.yml,100.0,0.0,14.0,119.0,139.0,70.0,139.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,1.0,0.0,0.0,meta/main.yml,CSCfi/ansible-role-nis,4.81,galaxi info author johan guldmyr descript configur ni compani csc center scienc ltd licens mit min ansibl version platform name version categori cluster packag depend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,2.0,7.0,79.0,13.0,62.0,5634be4ab079bc722f32ad5a9c322f4b93d7921f,6.0,1448539361.0,1.0,yes,tasks/install.yml,100.0,12.0,63.0,3.0,86.0,14.0,62.0,7.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,197.0,12.0,0.0,0.0,tasks/install.yml,CSCfi/ansible-role-nis,5.66,name templat path nonserv templat path path ni server notifi restart rpcbind restart ypbind name instal ni server packag yum name item statelatest item ni server packag ni server notifi restart rpcbind restart ypbind restart ypserv name instal ni common packag yum name item statelatest item ni packag notifi restart ypbind restart ypserv name templat nsswitch condit insid templat templat path path ni server notifi restart rpcbind restart ypbind name templat varypsecurenet templat path destvarypsecurenet ni server notifi restart rpcbind restart ypserv name add nisdomain sysconfignetwork lineinfil destetcsysconfignetwork line nisdomain ni domain backupy insertbeforeeof regexp nisdomain ni domain notifi restart rpcbind restart ypbind restart ypserv name templat make cronjob templat path path mode ownerroot grouproot backupno ni server name enabl start rheldomainnam servic namerheldomainnam enabledy statestart notifi restart ypserv restart ypbind name network manag caus timeout dbu servic namenetwork manag enabledno statestop notifi restart rpcbind restart ypbind restart ypserv name enabl start server daemon servic name item enabledy statestart ni server item ni server daemon notifi restart ypserv name enabl start ypbind servic nameypbind enabledy statestart ni server name enabl start nscd servic namenscd enabledy statestart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,2.0,7.0,17.0,2.0,13.0,5634be4ab079bc722f32ad5a9c322f4b93d7921f,11.0,1448539361.0,2.0,yes,tasks/initialize.yml,87.01,3.0,11.0,1.0,47.0,4.0,13.0,30.0,3.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,69.0,3.0,0.0,0.0,tasks/initialize.yml,CSCfi/ansible-role-nis,5.45,name templat patch ypinit script ctrl prompt disabl creat path templat srcypinit path destusrlibypypinit csc mode ownerroot grouproot backupno ni initi ni server name templat makefil templat destvarypmakefil path backupy ni server ni initi notifi restart ypserv name initi master ni server ypinit csc path exist command usrlibypypinit csc path ni server ni initi ansibl virtual type docker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,2.0,7.0,18.0,4.0,6.0,5634be4ab079bc722f32ad5a9c322f4b93d7921f,5.0,1448539361.0,1.0,yes,handlers/main.yml,100.0,4.0,8.0,5.0,21.0,4.0,6.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,23.0,3.0,0.0,0.0,handlers/main.yml,CSCfi/ansible-role-nis,3.52,name restart rpcbind servic namerpcbind staterestart name restart ypbind servic nameypbind staterestart ni server name restart ypserv servic nameypserv staterestart ni server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,2.0,7.0,7.0,1.0,26.0,5634be4ab079bc722f32ad5a9c322f4b93d7921f,10.0,1448539361.0,1.0,yes,tasks/main.yml,100.0,1.0,4.0,1.0,81.0,8.0,26.0,74.0,7.0,59.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,tasks/main.yml,CSCfi/ansible-role-nis,3.25,includ path ni enabl ansibl famili red hat includ path ni initi ansibl famili red hat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,14.0,2.0,4.0,0.0,0.0,0.0,eb8c2d54c3c4d3193c956b2d1450a86d17bc588c,1.0,1456390314.0,1.0,no,meta/main.yml,100.0,0.0,14.0,119.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,1.0,0.0,0.0,meta/main.yml,CSCfi/ansible-role-nis,4.81,galaxi info author johan guldmyr descript configur ni compani csc center scienc ltd licens mit min ansibl version platform name version categori cluster system depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,2.0,4.0,12.0,3.0,6.0,eb8c2d54c3c4d3193c956b2d1450a86d17bc588c,4.0,1456390314.0,3.0,yes,tasks/install.yml,47.06,13.0,74.0,3.0,23.0,6.0,10.0,11.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,233.0,13.0,0.0,1.0,tasks/install.yml,CSCfi/ansible-role-nis,5.99,name templat path nonserv templat path path ni server notifi restart rpcbind restart ypbind name instal ni server packag yum name item statelatest item ni server packag ni server notifi restart rpcbind restart ypbind restart ypserv name instal ni common packag yum name item statelatest item ni packag notifi restart ypbind restart ypserv name templat nsswitch condit insid templat templat path path ni server ni manag nsswitch notifi restart rpcbind restart ypbind name templat varypsecurenet templat path destvarypsecurenet ni server notifi restart rpcbind restart ypserv name add nisdomain sysconfignetwork lineinfil destetcsysconfignetwork line nisdomain ni domain regexp nisdomain ni domain backupy insertbeforeeof notifi restart rpcbind restart ypbind restart ypserv name templat make cronjob templat path path mode ownerroot grouproot backupno ni server name enabl start rheldomainnam servic namerheldomainnam enabledy statestart notifi restart ypserv restart ypbind ansibl virtual type docker name check network manag instal stat pathusrlibsystemdsystemnetwork path regist name network manag caus timeout dbu servic namenetwork manag enabl ni enabl state ni state notifi restart rpcbind restart ypbind restart ypserv ansibl virtual type docker ni manag networkmanag path name enabl start server daemon servic name item enabledy statestart ni server item ni server daemon notifi restart ypserv name enabl start ypbind servic nameypbind enabledy statestart ni server name enabl start nscd servic namenscd enabl ni nscd enabl state ni nscd state ni manag nscd,0.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,1.0,0.0,1.0,0.33
0.0,4.0,2.0,4.0,0.0,0.0,0.0,eb8c2d54c3c4d3193c956b2d1450a86d17bc588c,0.0,1456390314.0,0.0,yes,tasks/initialize.yml,0.0,3.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,69.0,3.0,0.0,0.0,tasks/initialize.yml,CSCfi/ansible-role-nis,5.45,name templat patch ypinit script ctrl prompt disabl creat path templat srcypinit path destusrlibypypinit csc mode ownerroot grouproot backupno ni initi ni server name templat makefil templat destvarypmakefil path backupy ni server ni initi notifi restart ypserv name initi master ni server ypinit csc path exist command usrlibypypinit csc path ni server ni initi ansibl virtual type docker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,2.0,4.0,0.0,0.0,0.0,eb8c2d54c3c4d3193c956b2d1450a86d17bc588c,0.0,1456390314.0,0.0,yes,handlers/main.yml,0.0,4.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,23.0,3.0,0.0,0.0,handlers/main.yml,CSCfi/ansible-role-nis,3.52,name restart rpcbind servic namerpcbind staterestart name restart ypbind servic nameypbind staterestart ni server name restart ypserv servic nameypserv staterestart ni server,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,2.0,4.0,0.0,0.0,0.0,eb8c2d54c3c4d3193c956b2d1450a86d17bc588c,0.0,1456390314.0,0.0,yes,tasks/main.yml,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,tasks/main.yml,CSCfi/ansible-role-nis,3.25,includ path ni enabl ansibl famili red hat includ path ni initi ansibl famili red hat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
