avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,13.0,2.0,6.0,139.0,46.0,139.0,15bd554ace22c763d6292249ddfe1d12d60b3189,3.0,1449650320.0,2.0,no,meta/main.yml,86.34,1.0,13.0,120.0,150.0,50.0,139.0,11.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,1.0,0.0,0.0,meta/main.yml,CSCfi/ansible-role-pxe_config,4.75,galaxi info author luí alv descript configur pxe compani csc center scienc ltd licens mit min ansibl version platform name version categori system depend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,2.0,6.0,56.0,4.0,38.0,15bd554ace22c763d6292249ddfe1d12d60b3189,13.0,1449650320.0,3.0,no,tasks/redhat.yml,72.92,8.0,44.0,3.0,100.0,8.0,38.0,44.0,3.0,38.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,187.0,10.0,0.0,0.0,tasks/redhat.yml,CSCfi/ansible-role-pxe_config,6.03,name make sure dhcp dir exist file path statedirectori name instal dhcp server yum pkgdhcp stateinstal name creat dhcp config templat srcdhcp path dest path notifi restart dhcpd name creat pxe directori structur file pathvarwwwprovisionnod statedirectori ownerapach groupapach mode name creat pxe boot data templat srcpxe path dest varwwwprovisionnod hostvar item path name path item path bootabl node name popul etchost file pxe host lineinfil destetchost regexp item line hostvar item path address hostvar item path name item statepres hostvar item path address defin item path bootabl node notifi restart dnsmasq tag dn updat name popul etchost file pxe path lineinfil destetchost regexp item path line hostvar item path address hostvar item path name path item path statepres hostvar item path address defin item path bootabl node notifi restart dnsmasq tag dn updat name popul etchost file pxe hostsib address lineinfil destetchost regexp item line hostvar item path addr hostvar item path name item statepres hostvar item path addr defin item path bootabl node notifi restart dnsmasq tag dn updat name popul etchost file admin host intern address lineinfil destetchost regexp item line hostvar item path addr site name admin item statepres hostvar item path addr defin item path notifi restart dnsmasq tag dn updat name copi kickstart file templat src path dest boot srv dir hostvar item path profil ownerapach groupapach mode item path bootabl node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,2.0,6.0,6.0,3.0,3.0,15bd554ace22c763d6292249ddfe1d12d60b3189,2.0,1449650320.0,2.0,no,handlers/main.yml,50.0,1.0,4.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,2.0,0.0,0.0,handlers/main.yml,CSCfi/ansible-role-pxe_config,2.92,name restart dhcpd servic namedhcpd staterestart name restart dnsmasq servic namednsmasq staterestart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,2.0,6.0,3.0,0.0,9.0,15bd554ace22c763d6292249ddfe1d12d60b3189,11.0,1449650320.0,2.0,no,tasks/main.yml,52.38,0.0,2.0,0.0,33.0,3.0,9.0,30.0,3.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,tasks/main.yml,CSCfi/ansible-role-pxe_config,2.58,includ path ansibl famili red hat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,13.0,1.0,8.0,0.0,0.0,0.0,7ce34420b7addbe541bb11368a73fa072b6030bb,0.0,1457094754.0,0.0,no,meta/main.yml,0.0,1.0,13.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,1.0,0.0,0.0,meta/main.yml,CSCfi/ansible-role-pxe_config,4.75,galaxi info author luí alv descript configur pxe compani csc center scienc ltd licens mit min ansibl version platform name version categori system depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,1.0,8.0,25.0,3.0,7.0,7ce34420b7addbe541bb11368a73fa072b6030bb,9.0,1457094754.0,2.0,no,tasks/redhat.yml,92.94,9.0,64.0,7.0,55.0,6.0,15.0,30.0,3.0,11.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,280.0,12.0,0.0,0.0,tasks/redhat.yml,CSCfi/ansible-role-pxe_config,6.02,name make sure dhcp dir exist file path statedirectori name instal dhcp server yum pkgdhcp stateinstal name instal httpd server yum pkghttpd stateinstal name instal dnsmasq server yum pkgdnsmasq stateinstal name creat dhcp config templat srcdhcp path dest path notifi restart dhcpd name creat pxe directori structur file pathvarwwwprovisionnod statedirectori ownerapach groupapach mode name creat pxe boot data templat srcpxe path dest varwwwprovisionnod hostvar item path name path item path bootabl node name popul host file pxe host lineinfil dest host file popul regexp hostvar item path addr hostvar item path name hostvar item path name int domain site domain line hostvar item path addr hostvar item path name hostvar item path name int domain site domain statepres hostvar item path addr defin item path bootabl node notifi restart dnsmasq tag dn updat name popul host file pxe hostsib address lineinfil dest host file popul regexp hostvar item path addr hostvar item path name hostvar item path name int domain site domain line hostvar item path addr hostvar item path name hostvar item path name int domain site domain statepres hostvar item path addr defin item path bootabl node notifi restart dnsmasq tag dn updat name popul host file admin host intern address lineinfil dest host file popul regexp hostvar item path addr site name admin item site name admin int domain site domain line hostvar item path addr site name admin item site name admin int domain site domain statepres hostvar item path addr defin item path notifi restart dnsmasq tag dn updat name popul host file grid host intern address lineinfil dest host file popul regexp hostvar item path addr site name grid item site name grid int domain site domain line hostvar item path addr site name grid item site name grid int domain site domain statepres hostvar item path addr defin item path notifi restart dnsmasq tag dn updat name copi kickstart file templat src path dest boot srv dir hostvar item path profil ownerapach groupapach mode item path bootabl node,0.0,0.0,1.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,93.0,2.0,0.0,0.0,-0.01
0.0,3.0,1.0,8.0,2.0,2.0,2.0,7ce34420b7addbe541bb11368a73fa072b6030bb,1.0,1457094754.0,1.0,no,handlers/main.yml,100.0,1.0,6.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,2.0,0.0,0.0,handlers/main.yml,CSCfi/ansible-role-pxe_config,3.52,name restart dhcpd servic namedhcpd staterestart ansibl virtual type docker name restart dnsmasq servic namednsmasq staterestart ansibl virtual type docker,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.6
0.0,2.0,1.0,8.0,0.0,0.0,0.0,7ce34420b7addbe541bb11368a73fa072b6030bb,0.0,1457094754.0,0.0,no,tasks/main.yml,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,tasks/main.yml,CSCfi/ansible-role-pxe_config,2.58,includ path ansibl famili red hat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,13.0,2.0,2.0,0.0,0.0,0.0,51bc1af22e46b93c5f495aa73243107ee4ffc95c,0.0,1459156441.0,0.0,no,meta/main.yml,0.0,1.0,13.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,1.0,0.0,0.0,meta/main.yml,CSCfi/ansible-role-pxe_config,4.75,galaxi info author luí alv descript configur pxe compani csc center scienc ltd licens mit min ansibl version platform name version categori system depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,2.0,2.0,0.0,0.0,0.0,51bc1af22e46b93c5f495aa73243107ee4ffc95c,0.0,1459156441.0,0.0,no,tasks/redhat.yml,0.0,9.0,64.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,280.0,12.0,0.0,0.0,tasks/redhat.yml,CSCfi/ansible-role-pxe_config,6.02,name make sure dhcp dir exist file path statedirectori name instal dhcp server yum pkgdhcp stateinstal name instal httpd server yum pkghttpd stateinstal name instal dnsmasq server yum pkgdnsmasq stateinstal name creat dhcp config templat srcdhcp path dest path notifi restart dhcpd name creat pxe directori structur file pathvarwwwprovisionnod statedirectori ownerapach groupapach mode name creat pxe boot data templat srcpxe path dest varwwwprovisionnod hostvar item path name path item path bootabl node name popul host file pxe host lineinfil dest host file popul regexp hostvar item path addr hostvar item path name hostvar item path name int domain site domain line hostvar item path addr hostvar item path name hostvar item path name int domain site domain statepres hostvar item path addr defin item path bootabl node notifi restart dnsmasq tag dn updat name popul host file pxe hostsib address lineinfil dest host file popul regexp hostvar item path addr hostvar item path name hostvar item path name int domain site domain line hostvar item path addr hostvar item path name hostvar item path name int domain site domain statepres hostvar item path addr defin item path bootabl node notifi restart dnsmasq tag dn updat name popul host file admin host intern address lineinfil dest host file popul regexp hostvar item path addr site name admin item site name admin int domain site domain line hostvar item path addr site name admin item site name admin int domain site domain statepres hostvar item path addr defin item path notifi restart dnsmasq tag dn updat name popul host file grid host intern address lineinfil dest host file popul regexp hostvar item path addr site name grid item site name grid int domain site domain line hostvar item path addr site name grid item site name grid int domain site domain statepres hostvar item path addr defin item path notifi restart dnsmasq tag dn updat name copi kickstart file templat src path dest boot srv dir hostvar item path profil ownerapach groupapach mode item path bootabl node,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
