avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_authorized_key,num_block_error_handling,num_blocks,num_command_calls,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_regex,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_authorized_key,delta_num_block_error_handling,delta_num_blocks,delta_num_command_calls,delta_num_commands,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_file_exists,delta_num_file_mode,delta_num_file_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_parameters,delta_num_paths,delta_num_plays,delta_num_regex,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_uri,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,2.0,21.0,21.0,15.0,15.0,15.0,e43a5954524442e901644426181daf8c67f996dd,1.0,1442815261.0,1.0,0.0,roles/slurm_compute/tasks/main.yml,100.0,4.0,10.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,3.0,0.0,0.0,0.0,roles/slurm_compute/tasks/main.yml,CSCfi/ansible-role-slurm,4.21,name get mung key distribut node copi srcrolesslurm path path ownermung groupmung mode name start mung servic namemung staterestart name start slurm servic nameslurm staterestart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,21.0,21.0,65.0,65.0,65.0,e43a5954524442e901644426181daf8c67f996dd,1.0,1442815261.0,1.0,0.0,roles/common/tasks/main.yml,100.0,11.0,48.0,5.0,65.0,65.0,65.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,101.0,7.0,0.0,0.0,0.0,roles/common/tasks/main.yml,CSCfi/ansible-role-slurm,6.16,name updat packag first yum pkg statelatest name remov duplic cent repo file path stateabs name instal epel yum namehttp path statepres major relas name instal softwar yum name item statepres item xterm sssd gcc make gccc wget vim man rpmbuild pam pamdevel hwloc mung mungedevel mungelib readlinedevel openssldevel perlext utilsmak maker lua luadevel luaposix luafilesystem debug msg group tag debug name add cluster host local etchost sudo ye action lineinfil statepres destetchost line hostvar item ssh host item hostvar item ssh host defin item path tag debug name copi iptabl set copi srciptabl destetcsysconfigipt ownerroot mode name restart iptabl servic nameipt staterestart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,21.0,21.0,12.0,12.0,12.0,e43a5954524442e901644426181daf8c67f996dd,1.0,1442815261.0,1.0,0.0,roles/slurm_login/tasks/main.yml,100.0,3.0,8.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,2.0,0.0,0.0,0.0,roles/slurm_login/tasks/main.yml,CSCfi/ansible-role-slurm,4.12,name get mung key distribut node copi srcrolesslurm path path ownermung groupmung mode name start mung servic namemung staterestart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,21.0,21.0,161.0,161.0,161.0,e43a5954524442e901644426181daf8c67f996dd,1.0,1442815261.0,1.0,1.0,roles/slurm_service/tasks/main.yml,100.0,42.0,112.0,6.0,161.0,161.0,161.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,7.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,361.0,22.0,0.0,0.0,1.0,roles/slurm_service/tasks/main.yml,CSCfi/ansible-role-slurm,6.41,name name instal servic specif packag yum name item statepres item mysql mysqlserv mysqldevel luadevel sqlpython major relas name start mysql servic namemysqld statestart regist mysql start name creat slurm acct mysql nameslurm acct statepres name creat slurm user mysql user nameslurm password eod privslurm acct statepres name creat mung key command usrsbincreatemungekey path name get mung key distribut node fetch path destrolesslurm path fail missingy flaty name creat build dir file path rootrpmbuild item statedirectori item build rpm sourc spec srpm name download slurm sourc get url url http path slurm version path dest rootrpmbuildsourcesslurm slurm version path tag slurm name extract slurm sourc command tar xjf rootrpmbuildsourcesslurm slurm version path rootrpmbuildsourc createsrootrpmbuildsourcesslurm slurm version tag slurm name build slurm command item chdirrootrpmbuildsourcesslurm slurm version createsrootrpmbuildrpmsx slurm slurm version path major releas path path item rpmbuild lua path tag slurm name get slurm rpm distribut node fetch src item destrolesslurm commonfil fail missingy flaty item rootrpmbuildrpmsx slurmplugin slurm version path path rootrpmbuildrpmsx slurm slurm version path path rootrpmbuildrpmsx slurmperlapi slurm version path path rootrpmbuildrpmsx slurmslurmdbdirect slurm version path path rootrpmbuildrpmsx slurmsql slurm version path path rootrpmbuildrpmsx slurmlua slurm version path path rootrpmbuildrpmsx slurmdevel slurm version path path rootrpmbuildrpmsx slurmpam slurm slurm version path path rootrpmbuildrpmsx slurmsjstat slurm version path path rootrpmbuildrpmsx slurmslurmdbd slurm version path path rootrpmbuildrpmsx slurmtorqu slurm version path path rootrpmbuildrpmsx slurmmung slurm version path path rootrpmbuildrpmsx slurmsjobexit slurm version path path name add slurm etc dir file path etcslurm statedirectori ownerroot grouproot mode tag slurm name path templat path path ownerroot mode tag slurm name start mung servic namemung staterestart name instal slurm yum name item statepres tag slurm item rootrpmbuildrpmsx slurmplugin slurm version path path rootrpmbuildrpmsx slurm slurm version path path rootrpmbuildrpmsx slurmperlapi slurm version path path rootrpmbuildrpmsx slurmslurmdbdirect slurm version path path rootrpmbuildrpmsx slurmsql slurm version path path rootrpmbuildrpmsx slurmlua slurm version path path rootrpmbuildrpmsx slurmdevel slurm version path path rootrpmbuildrpmsx slurmpam slurm slurm version path path rootrpmbuildrpmsx slurmsjstat slurm version path path rootrpmbuildrpmsx slurmslurmdbd slurm version path path rootrpmbuildrpmsx slurmtorqu slurm version path path rootrpmbuildrpmsx slurmmung slurm version path path rootrpmbuildrpmsx slurmsjobexit slurm version path path name path copi srcslurm path ownerroot mode tag slurm name path templat path path ownerroot mode tag slurm name add slurm user user nameslurm shellsbinnologin createhomeno homenonexixt systemy appendy tag slurm name add slurm log dir file path varlogslurm statedirectori ownerslurm groupslurm mode tag slurm name add slurm tmp dir file path tmpslurmd statedirectori ownerslurm groupslurm mode tag slurm name add slurm tmp dir file path tmpslurmstat statedirectori ownerslurm groupslurm mode tag slurm name start slurmdbd servic nameslurmdbd staterestart name add cluster account command sacctmgr add cluster test cluster ignor error ye name start slurmctld servic nameslurm staterestart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,21.0,21.0,91.0,91.0,91.0,e43a5954524442e901644426181daf8c67f996dd,1.0,1442815261.0,1.0,0.0,roles/slurm_common/tasks/main.yml,100.0,17.0,52.0,21.0,91.0,91.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,173.0,6.0,0.0,0.0,0.0,roles/slurm_common/tasks/main.yml,CSCfi/ansible-role-slurm,5.21,name distribut slurm rpm node copi src item destrootrpmbuildrpmsx item rolesslurm commonfilesslurmplugin slurm version path path rolesslurm commonfilesslurm slurm version path path rolesslurm commonfilesslurmperlapi slurm version path path rolesslurm commonfilesslurmslurmdbdirect slurm version path path rolesslurm commonfilesslurmsql slurm version path path rolesslurm commonfilesslurmlua slurm version path path rolesslurm commonfilesslurmdevel slurm version path path rolesslurm commonfilesslurmpam slurm slurm version path path rolesslurm commonfilesslurmsjstat slurm version path path rolesslurm commonfilesslurmslurmdbd slurm version path path rolesslurm commonfilesslurmtorqu slurm version path path rolesslurm commonfilesslurmmung slurm version path path rolesslurm commonfilesslurmsjobexit slurm version path path name instal slurm yum name item statepres tag slurm item rootrpmbuildrpmsx slurmplugin slurm version path path rootrpmbuildrpmsx slurm slurm version path path rootrpmbuildrpmsx slurmperlapi slurm version path path rootrpmbuildrpmsx slurmslurmdbdirect slurm version path path rootrpmbuildrpmsx slurmsql slurm version path path rootrpmbuildrpmsx slurmlua slurm version path path rootrpmbuildrpmsx slurmdevel slurm version path path rootrpmbuildrpmsx slurmpam slurm slurm version path path rootrpmbuildrpmsx slurmsjstat slurm version path path rootrpmbuildrpmsx slurmslurmdbd slurm version path path rootrpmbuildrpmsx slurmtorqu slurm version path path rootrpmbuildrpmsx slurmmung slurm version path path rootrpmbuildrpmsx slurmsjobexit slurm version path path name path copi srcslurm path ownerroot mode tag slurm name path templat path path ownerroot mode tag slurm name add slurm user user nameslurm shellsbinnologin createhomeno homenonexixt systemy appendy tag slurm name add slurm log dir file path varlogslurm statedirectori ownerslurm groupslurm mode tag slurm name add slurm tmp dir file path tmpslurmd statedirectori ownerslurm groupslurm mode tag slurm name add slurm tmp dir file path tmpslurmstat statedirectori ownerslurm groupslurm mode tag slurm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,2.0,12.0,13.0,1.0,11.0,6596d6936f34a88d0f25985939b1aba0e4712a1d,10.0,1449057039.0,1.0,0.0,tasks/compute.yml,100.0,6.0,21.0,0.0,26.0,3.0,11.0,13.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,94.0,6.0,0.0,0.0,0.0,roles/slurm_compute/tasks/main.yml,CSCfi/ansible-role-slurm,5.43,name get mung key distribut node copi path path ownermung groupmung mode slurm mung key nf name copi mung key nf command slurm mung key nf path path slurm mung key nf name set permiss mung key nf file path mode ownermung groupmung slurm mung key nf name start enabl mung servic namemung staterestart enabledy name start enabl slurm servic nameslurm staterestart enabledy ansibl distribut major version name start enabl slurm servic nameslurmd staterestart enabledy ansibl distribut major version,0.0,1.0,2.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,68.0,3.0,0.0,0.0,0.0,1.22
0.0,3.0,2.0,12.0,52.0,4.0,48.0,6596d6936f34a88d0f25985939b1aba0e4712a1d,13.0,1449057039.0,1.0,1.0,tasks/common.yml,100.0,15.0,34.0,2.0,92.0,7.0,48.0,40.0,3.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,13.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,182.0,13.0,0.0,0.0,0.0,roles/slurm_common/tasks/main.yml,CSCfi/ansible-role-slurm,6.08,name add fgi slurm repo templat path path ownerroot grouproot mode backupy fgci instal name import fgi slurm repo key rpm key keyhttp path statepres fgci instal name instal fgci repo yum pkghttp path path ansibl distribut major version fgci instal name instal slurm noncomput node yum name item statepres item slurm packag slurm type comput slurm packag name instal slurm comput node yum name item statepres item slurm node packag slurm type comput slurm node packag name instal fgci slurm addon yum nameslurmfgiaddon statepres fgci instal ansibl distribut major version name path copi srcpam slurm path ownerroot mode name path templat path path ownerroot mode backupy name add slurm unix user user nameslurm shellsbinnologin createhomeno homenonexixt systemy appendy name write slurm log handl rsyslog one file templat srcslurm path path slurm path ownerroot mode backupy name add slurm log dir file path slurm log dir statedirectori ownerslurm groupslurm mode name add slurm tmp dir file path slurmd tmp dir statedirectori ownerslurm groupslurm mode name add slurm state dir file path slurm state dir statedirectori ownerslurm groupslurm mode,0.0,-3.0,-2.0,-18.0,-19.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,7.0,0.0,0.0,0.0,0.87
0.0,14.0,2.0,12.0,139.0,35.0,139.0,6596d6936f34a88d0f25985939b1aba0e4712a1d,4.0,1449057039.0,1.0,0.0,meta/main.yml,100.0,1.0,14.0,119.0,142.0,36.0,139.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,1.0,0.0,0.0,0.0,meta/main.yml,CSCfi/ansible-role-slurm,5.04,galaxi info author johan guldmyr descript instal configur slurm cluster compani csc center scienc ltd licens mit min ansibl version platform name version categori cluster system depend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,2.0,12.0,19.0,4.0,6.0,6596d6936f34a88d0f25985939b1aba0e4712a1d,5.0,1449057039.0,1.0,0.0,tasks/main.yml,100.0,5.0,10.0,2.0,24.0,5.0,6.0,5.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,50.0,0.0,0.0,0.0,0.0,roles/common/files/iptables,CSCfi/ansible-role-slurm,3.62,includ path slurm build slurm type servic ansibl famili red hat includ path ansibl famili red hat includ path slurm type servic ansibl famili red hat includ path slurm type comput ansibl famili red hat includ path slurm type submit ansibl famili red hat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,2.0,12.0,-43.0,-7.0,1.0,6596d6936f34a88d0f25985939b1aba0e4712a1d,6.0,1449057039.0,1.0,0.0,tasks/build.yml,100.0,5.0,16.0,0.0,9.0,2.0,5.0,52.0,9.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,57.0,5.0,0.0,0.0,0.0,roles/common/tasks/main.yml,CSCfi/ansible-role-slurm,5.0,name build updat packag first yum pkg statelatest name remov duplic cent repo file path stateabs major relas name instal epel yum namehttp path statepres major relas name instal epel yum nameepelreleas statepres major relas name instal softwar requir build slurm yum name item statepres item slurm dep packag debug msg group tag debug,0.0,-3.0,-6.0,-32.0,-5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-44.0,-2.0,0.0,0.0,0.0,-1.16
