avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,14.0,2.0,8.0,139.0,70.0,139.0,07ce79f9714ae1a4fc5e0bba626bc55a9c8a181c,2.0,1448449467.0,1.0,no,meta/main.yml,100.0,1.0,13.0,120.0,140.0,70.0,139.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.0,1.0,0.0,0.0,meta/main.yml,CSCfi/ansible-role-yum,5.55,galaxi info author johan guldmyr descript add repo instal softwar repo requir extra configur softwar configur new role compani csc center scienc ltd licens mit min ansibl version platform name version categori system depend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,2.0,8.0,5.0,1.0,14.0,07ce79f9714ae1a4fc5e0bba626bc55a9c8a181c,5.0,1448449467.0,1.0,no,tasks/main.yml,100.0,1.0,2.0,1.0,25.0,5.0,14.0,20.0,4.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,tasks/main.yml,CSCfi/ansible-role-yum,2.58,includ path ansibl famili red hat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,2.0,8.0,33.0,4.0,22.0,07ce79f9714ae1a4fc5e0bba626bc55a9c8a181c,8.0,1448449467.0,2.0,no,tasks/redhat.yml,91.84,7.0,24.0,1.0,41.0,5.0,22.0,8.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,143.0,7.0,0.0,0.0,tasks/redhat.yml,CSCfi/ansible-role-yum,5.89,name instal repo repo cent yum name item statepres item cento releas default name templat path cent yum conf templat templat path path mode ownerroot grouproot backupy yum conf templat ansibl distribut cent ansibl distribut major version name updat thing yum name statelatest name instal softwar need extra configur node interfac yum name item statepres item unconfigur packag default infiniband avail unconfigur packag name instal softwar need extra configur yum name item statepres item unconfigur packag default unconfigur packag name remov softwar yum name item stateabs item remov packag default remov packag name disabl stop servic servic name item enabledno statestop item disabl packag default disabl packag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,14.0,2.0,4.0,0.0,0.0,0.0,2806be9439c828c3acb9994e2df14e05820f5c01,0.0,1455092186.0,0.0,no,meta/main.yml,0.0,1.0,13.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.0,1.0,0.0,0.0,meta/main.yml,CSCfi/ansible-role-yum,5.55,galaxi info author johan guldmyr descript add repo instal softwar repo requir extra configur softwar configur new role compani csc center scienc ltd licens mit min ansibl version platform name version categori system depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,2.0,4.0,3.0,2.0,4.0,2806be9439c828c3acb9994e2df14e05820f5c01,2.0,1455092186.0,1.0,no,tasks/redhat.yml,100.0,8.0,26.0,1.0,5.0,2.0,4.0,2.0,1.0,2.0,1.5,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,160.0,8.0,0.0,0.0,tasks/redhat.yml,CSCfi/ansible-role-yum,6.07,name instal repo repo cent yum name item statepres item cento releas default name alway instal libselinuxpython without ansibl fact tell selinux enabl yum namelibselinuxpython statepres name templat path cent yum conf templat templat path path mode ownerroot grouproot backupy yum conf templat ansibl distribut cent ansibl distribut major version name updat thing yum name statelatest name instal softwar need extra configur node interfac yum name item statepres item unconfigur packag default infiniband avail unconfigur packag name instal softwar need extra configur yum name item statepres item unconfigur packag default unconfigur packag name remov softwar yum name item stateabs item remov packag default remov packag name disabl stop servic servic name item enabledno statestop item disabl packag default disabl packag,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,1.0,0.0,0.0,0.18
0.0,2.0,2.0,4.0,0.0,0.0,0.0,2806be9439c828c3acb9994e2df14e05820f5c01,0.0,1455092186.0,0.0,no,tasks/main.yml,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,tasks/main.yml,CSCfi/ansible-role-yum,2.58,includ path ansibl famili red hat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,14.0,1.0,2.0,0.0,0.0,0.0,20435a6262634fb2b50388e10c3d79aa7d1c25cf,0.0,1459833490.0,0.0,no,meta/main.yml,0.0,1.0,13.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.0,1.0,0.0,0.0,meta/main.yml,CSCfi/ansible-role-yum,5.55,galaxi info author johan guldmyr descript add repo instal softwar repo requir extra configur softwar configur new role compani csc center scienc ltd licens mit min ansibl version platform name version categori system depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,1.0,2.0,0.0,0.0,0.0,20435a6262634fb2b50388e10c3d79aa7d1c25cf,0.0,1459833490.0,0.0,no,tasks/main.yml,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,tasks/main.yml,CSCfi/ansible-role-yum,2.58,includ path ansibl famili red hat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,1.0,2.0,5.0,5.0,5.0,20435a6262634fb2b50388e10c3d79aa7d1c25cf,1.0,1459833490.0,1.0,no,tasks/redhat.yml,100.0,9.0,30.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,183.0,9.0,0.0,0.0,tasks/redhat.yml,CSCfi/ansible-role-yum,6.03,name instal repo repo cent yum name item statepres item cento releas default name alway instal libselinuxpython without ansibl fact tell selinux enabl yum namelibselinuxpython statepres name templat path cent yum conf templat templat path path mode ownerroot grouproot backupy yum conf templat ansibl distribut cent ansibl distribut major version name updat thing yum name statelatest name instal softwar need extra configur node interfac yum name item statepres item unconfigur packag default infiniband avail unconfigur packag name instal softwar need extra configur yum name item statepres item unconfigur packag default unconfigur packag name instal global softwar need extra configur yum name item statepres item unconfigur packag global default unconfigur packag global name remov softwar yum name item stateabs item remov packag default remov packag name disabl stop servic servic name item enabledno statestop item disabl packag default disabl packag,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,0.0,0.0,-0.04
0.0,14.0,1.0,1.0,0.0,0.0,0.0,41423c3bbe5645fae7cb4d60b55bd8bfeef6e117,0.0,1460832043.0,0.0,no,meta/main.yml,0.0,1.0,13.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.0,1.0,0.0,0.0,meta/main.yml,CSCfi/ansible-role-yum,5.55,galaxi info author johan guldmyr descript add repo instal softwar repo requir extra configur softwar configur new role compani csc center scienc ltd licens mit min ansibl version platform name version categori system depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
