avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,17.0,2.0,2.0,5.0,2.0,4.0,42246a7cf6320488b58a70deebec9802d7b50df1,2.0,1522862631.0,1.0,no,meta/main.yml,100.0,0.0,17.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,1.0,0.0,0.0,meta/main.yml,ChromaticHQ/ansible-deploy-drupal,4.81,galaxi info author mark dorison descript manag drupal site deploy compani chromat issu tracker url http path hqansibledeploydrupalissu licens mit min ansibl version platform name ubuntu version xenial galaxi tag drupal devop deploy cm depend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,2.0,2.0,0.0,0.0,0.0,42246a7cf6320488b58a70deebec9802d7b50df1,1.0,1522862631.0,1.0,no,handlers/main.yml,100.0,0.0,11.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,0.0,0.0,handlers/main.yml,ChromaticHQ/ansible-deploy-drupal,4.26,name clear opcach command deploydrup drush path eval function exist apc clear cach apc clear cach function exist opcach reset opcach reset arg chdir deploydrup core path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,2.0,2.0,15.0,2.0,9.0,42246a7cf6320488b58a70deebec9802d7b50df1,6.0,1522862631.0,1.0,yes,tasks/main.yml,100.0,18.0,103.0,7.0,22.0,4.0,9.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,6.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,19.0,349.0,17.0,0.0,4.0,tasks/main.yml,ChromaticHQ/ansible-deploy-drupal,6.03,name creat file directori exist file path deploydrup file path state directori owner deploydrup apach user group deploydrup checkout user mode name open permiss default directori file path deploydrup core path sitesdefault state directori owner deploydrup checkout user group deploydrup checkout user mode ugw name open permiss set file file path deploydrup core path path state file owner deploydrup checkout user group deploydrup checkout user mode ugw name get latest code git repo deploydrup repo dest deploydrup dir version deploydrup version updat forc deploydrup git forc accept hostkey deploydrup code notifi clear opcach name check path file present stat path deploydrup dir path regist deploydrup compos file name run compos instal path present compos command instal work dir deploydrup dir dev deploydrup compos dev depend regist compos output deploydrup compos path deploydrup compos instal name print compos output debug varcompos path line name close permiss default directori file path deploydrup core path sitesdefault state directori owner deploydrup checkout user group deploydrup checkout user mode ugw name close permiss set file file path deploydrup core path path state file owner deploydrup checkout user group deploydrup checkout user mode ugw name updat file directori owner permiss file path deploydrup file path state directori owner deploydrup apach user group deploydrup checkout user mode name clear drush cach shell deploydrup drush path cacheclear drush arg chdir deploydrup core path name run databas updat shell deploydrup drush path updatedb arg chdir deploydrup core path name import configur shell deploydrup drush path configimport arg chdir deploydrup core path regist drush output name print drush output debug vardrush path line name import configur shell deploydrup drush path configimport arg chdir deploydrup core path regist drush output name print drush output debug vardrush path line name run npm theme build task shell item arg chdir deploydrup npm theme path item deploydrup npm theme run command deploydrup npm theme build deploydrup npm theme path defin name clear cach shell deploydrup drush path cacherebuild arg chdir deploydrup core path name save redi data disk command rediscli deploydrup redi host save deploydrup redi flush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,17.0,2.0,2.0,0.0,0.0,0.0,7505941aee5a44b0be663cab12e2ad2ddf9099ec,0.0,1538749832.0,0.0,no,meta/main.yml,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,1.0,0.0,0.0,meta/main.yml,ChromaticHQ/ansible-deploy-drupal,4.81,galaxi info author mark dorison descript manag drupal site deploy compani chromat issu tracker url http path hqansibledeploydrupalissu licens mit min ansibl version platform name ubuntu version xenial galaxi tag drupal devop deploy cm depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,2.0,2.0,0.0,0.0,0.0,7505941aee5a44b0be663cab12e2ad2ddf9099ec,0.0,1538749832.0,0.0,no,handlers/main.yml,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,0.0,0.0,handlers/main.yml,ChromaticHQ/ansible-deploy-drupal,4.26,name clear opcach command deploydrup drush path eval function exist apc clear cach apc clear cach function exist opcach reset opcach reset arg chdir deploydrup core path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,2.0,2.0,7.0,4.0,5.0,7505941aee5a44b0be663cab12e2ad2ddf9099ec,2.0,1538749832.0,1.0,yes,tasks/main.yml,100.0,19.0,109.0,7.0,18.0,9.0,13.0,11.0,6.0,11.0,7.0,0.0,0.0,0.0,1.0,3.0,2.0,7.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,20.0,394.0,16.0,0.0,4.0,tasks/main.yml,ChromaticHQ/ansible-deploy-drupal,6.01,name creat file directori exist file path deploydrup core path site deploydrup site name file state directori owner deploydrup apach user group deploydrup checkout user mode becom deploydrup file becom name open permiss default directori file path deploydrup core path site deploydrup site name state directori owner deploydrup checkout user group deploydrup checkout user mode ugw name open permiss set file file path deploydrup core path site deploydrup site name path state file owner deploydrup checkout user group deploydrup checkout user mode ugw name get latest code git repo deploydrup repo dest deploydrup dir version deploydrup version updat forc deploydrup git forc accept hostkey deploydrup code notifi clear opcach name check path file present stat path deploydrup dir path regist deploydrup compos file name run compos instal path present compos command instal work dir deploydrup dir dev deploydrup compos dev depend regist compos output deploydrup compos path deploydrup compos instal name print compos output debug varcompos path line name close permiss default directori file path deploydrup core path site deploydrup site name state directori owner deploydrup checkout user group deploydrup checkout user mode ugw name close permiss set file file path deploydrup core path site deploydrup site name path state file owner deploydrup checkout user group deploydrup checkout user mode ugw name updat file directori owner permiss file path deploydrup core path site deploydrup site name file state directori owner deploydrup apach user group deploydrup checkout user mode becom deploydrup file becom name clear drush cach shell deploydrup drush path cacheclear drush arg chdir deploydrup core path site deploydrup site name name clear cach shell deploydrup drush path cacherebuild arg chdir deploydrup core path site deploydrup site name name run databas updat shell deploydrup drush path updatedb arg chdir deploydrup core path site deploydrup site name name import configur shell deploydrup drush path configimport arg chdir deploydrup core path site deploydrup site name regist drush output name print drush output debug vardrush path line name import configur shell deploydrup drush path configimport arg chdir deploydrup core path site deploydrup site name regist drush output name print drush output debug vardrush path line name run npm theme build task shell item arg chdir deploydrup npm theme path item deploydrup npm theme run command deploydrup npm theme build deploydrup npm theme path defin name clear cach shell deploydrup drush path cacherebuild arg chdir deploydrup core path site deploydrup site name name save redi data disk command rediscli deploydrup redi host save deploydrup redi flush,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,45.0,-1.0,0.0,0.0,-0.02
0.0,17.0,2.0,2.0,0.0,0.0,0.0,b41fa665add8641f06bcda99d9ef92acc628ab5e,0.0,1544627589.0,0.0,no,meta/main.yml,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,1.0,0.0,0.0,meta/main.yml,ChromaticHQ/ansible-deploy-drupal,4.81,galaxi info author mark dorison descript manag drupal site deploy compani chromat issu tracker url http path hqansibledeploydrupalissu licens mit min ansibl version platform name ubuntu version xenial galaxi tag drupal devop deploy cm depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,2.0,2.0,0.0,0.0,0.0,b41fa665add8641f06bcda99d9ef92acc628ab5e,0.0,1544627589.0,0.0,no,handlers/main.yml,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,0.0,0.0,handlers/main.yml,ChromaticHQ/ansible-deploy-drupal,4.26,name clear opcach command deploydrup drush path eval function exist apc clear cach apc clear cach function exist opcach reset opcach reset arg chdir deploydrup core path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,2.0,2.0,14.0,14.0,14.0,b41fa665add8641f06bcda99d9ef92acc628ab5e,1.0,1544627589.0,1.0,yes,tasks/main.yml,100.0,20.0,121.0,8.0,14.0,14.0,14.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,2.0,8.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,21.0,425.0,17.0,0.0,4.0,tasks/main.yml,ChromaticHQ/ansible-deploy-drupal,6.07,name creat file directori exist file path deploydrup core path site deploydrup site name file state directori owner deploydrup apach user group deploydrup checkout user mode becom deploydrup file becom name open permiss default directori file path deploydrup core path site deploydrup site name state directori owner deploydrup checkout user group deploydrup checkout user mode ugw name open permiss set file file path deploydrup core path site deploydrup site name path state file owner deploydrup checkout user group deploydrup checkout user mode ugw name get latest code git repo deploydrup repo dest deploydrup dir version deploydrup version updat forc deploydrup git forc accept hostkey deploydrup code notifi clear opcach name check path file present stat path deploydrup dir path regist deploydrup compos file name run compos instal path present compos command instal work dir deploydrup dir dev deploydrup compos dev depend regist compos output deploydrup compos path deploydrup compos instal name print compos output debug varcompos path line name close permiss default directori file path deploydrup core path site deploydrup site name state directori owner deploydrup checkout user group deploydrup checkout user mode ugw name close permiss set file file path deploydrup core path site deploydrup site name path state file owner deploydrup checkout user group deploydrup checkout user mode ugw name updat file directori owner permiss file path deploydrup core path site deploydrup site name file state directori owner deploydrup apach user group deploydrup checkout user mode becom deploydrup file becom name clear drush cach shell deploydrup drush path cacheclear drush arg chdir deploydrup core path site deploydrup site name name clear cach shell deploydrup drush path cacherebuild arg chdir deploydrup core path site deploydrup site name name run databas updat shell deploydrup drush path updatedb arg chdir deploydrup core path site deploydrup site name name instal site shell deploydrup drush path siteinstal deploydrup site instal config ternari existingconfig verbos ye arg chdir deploydrup core path site deploydrup site name deploydrup site instal name import configur shell deploydrup drush path configimport arg chdir deploydrup core path site deploydrup site name regist drush output deploydrup config import name print drush output debug vardrush path line deploydrup config import name import configur shell deploydrup drush path configimport arg chdir deploydrup core path site deploydrup site name regist drush output deploydrup config import name print drush output debug vardrush path line name run npm theme build task shell item arg chdir deploydrup npm theme path item deploydrup npm theme run command deploydrup npm theme build deploydrup npm theme path defin name clear cach shell deploydrup drush path cacherebuild arg chdir deploydrup core path site deploydrup site name name save redi data disk command rediscli deploydrup redi host save deploydrup redi flush,0.0,1.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,31.0,1.0,0.0,0.0,0.06
0.0,17.0,1.0,1.0,0.0,0.0,0.0,c701324132c55045485ba7c22ca37259212eb08c,0.0,1546897176.0,0.0,no,meta/main.yml,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,1.0,0.0,0.0,meta/main.yml,ChromaticHQ/ansible-deploy-drupal,4.81,galaxi info author mark dorison descript manag drupal site deploy compani chromat issu tracker url http path hqansibledeploydrupalissu licens mit min ansibl version platform name ubuntu version xenial galaxi tag drupal devop deploy cm depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
