avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,33.0,1.0,6.0,9.0,1.0,4.0,21ce769fa97d0d39e5a3d57c31847aeec24f43c7,8.0,1465377011.0,4.0,no,meta/main.yml,36.84,0.0,33.0,0.0,14.0,2.0,4.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,3.0,0.0,0.0,meta/main.yml,DataDog/ansible-datadog,5.41,galaxi info author brian akin dustin brown datadog descript instal datadog agent configur check licens apach min ansibl version platform name ubuntu version lucid maverick natti oneir precis quantal rare sauci trusti utop vivid xenial name debian version squeez wheezi jessi name version categori monitor depend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,1.0,6.0,36.0,6.0,18.0,21ce769fa97d0d39e5a3d57c31847aeec24f43c7,6.0,1465377011.0,5.0,yes,tasks/main.yml,42.86,7.0,29.0,1.0,46.0,8.0,21.0,10.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,97.0,2.0,0.0,0.0,tasks/main.yml,DataDog/ansible-datadog,5.75,includ path ansibl famili debian includ path ansibl famili red hat name creat main datadog agent configur file templat path path owner datadog user group datadog group notifi restart datadogag templat path path datadog process check defin notifi restart datadog debug msg deprec notic use datadog process check deprec use process datadog check instead datadog process check defin servic namedatadogag statestart enabledy datadog enabl servic namedatadogag statestop enabledno datadog enabl name creat configur file datadog check templat path path item path owner datadog user group datadog group item datadog path notifi restart datadogag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,1.0,6.0,0.0,0.0,0.0,21ce769fa97d0d39e5a3d57c31847aeec24f43c7,2.0,1465377011.0,2.0,no,handlers/main.yml,50.0,1.0,3.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,handlers/main.yml,DataDog/ansible-datadog,3.17,name restart datadogag action servic namedatadogag staterestart datadog enabl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,1.0,6.0,6.0,2.0,6.0,21ce769fa97d0d39e5a3d57c31847aeec24f43c7,4.0,1465377011.0,2.0,no,tasks/pkg-redhat.yml,50.0,1.0,4.0,0.0,11.0,3.0,6.0,5.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,2.0,0.0,0.0,tasks/pkg-redhat.yml,DataDog/ansible-datadog,4.14,name copi repo file place templat path path ownerroot grouproot mode name instal datadogag packag yum namedatadogag statelatest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,1.0,6.0,12.0,3.0,6.0,21ce769fa97d0d39e5a3d57c31847aeec24f43c7,4.0,1465377011.0,4.0,yes,tasks/pkg-debian.yml,37.5,3.0,4.0,0.0,14.0,4.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,0.0,0.0,0.0,tasks/debian.yml,DataDog/ansible-datadog,3.73,apt nameapttransporthttp statelatest apt key idcada keyserverhkp path statepres apt repositori repodeb http path stabl main statepres updat cachey apt namedatadogag statelatest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,33.0,1.0,2.0,0.0,0.0,0.0,abad62a5213fba2528f57b1134a826c698eef230,0.0,1466762039.0,0.0,no,meta/main.yml,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,3.0,0.0,0.0,meta/main.yml,DataDog/ansible-datadog,5.41,galaxi info author brian akin dustin brown datadog descript instal datadog agent configur check licens apach min ansibl version platform name ubuntu version lucid maverick natti oneir precis quantal rare sauci trusti utop vivid xenial name debian version squeez wheezi jessi name version categori monitor depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,1.0,2.0,0.0,0.0,0.0,abad62a5213fba2528f57b1134a826c698eef230,0.0,1466762039.0,0.0,yes,tasks/main.yml,0.0,7.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,97.0,2.0,0.0,0.0,tasks/main.yml,DataDog/ansible-datadog,5.75,includ path ansibl famili debian includ path ansibl famili red hat name creat main datadog agent configur file templat path path owner datadog user group datadog group notifi restart datadogag templat path path datadog process check defin notifi restart datadog debug msg deprec notic use datadog process check deprec use process datadog check instead datadog process check defin servic namedatadogag statestart enabledy datadog enabl servic namedatadogag statestop enabledno datadog enabl name creat configur file datadog check templat path path item path owner datadog user group datadog group item datadog path notifi restart datadogag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,1.0,2.0,0.0,0.0,0.0,abad62a5213fba2528f57b1134a826c698eef230,0.0,1466762039.0,0.0,no,handlers/main.yml,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,handlers/main.yml,DataDog/ansible-datadog,3.17,name restart datadogag action servic namedatadogag staterestart datadog enabl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,1.0,2.0,0.0,0.0,0.0,abad62a5213fba2528f57b1134a826c698eef230,0.0,1466762039.0,0.0,no,tasks/pkg-redhat.yml,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,2.0,0.0,0.0,tasks/pkg-redhat.yml,DataDog/ansible-datadog,4.14,name copi repo file place templat path path ownerroot grouproot mode name instal datadogag packag yum namedatadogag statelatest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,2.0,0.0,0.0,0.0,abad62a5213fba2528f57b1134a826c698eef230,0.0,1466762039.0,0.0,yes,tasks/pkg-debian.yml,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,31.0,0.0,0.0,0.0,tasks/debian.yml,DataDog/ansible-datadog,4.2,apt nameapttransporthttp statelatest apt key idcada keyserverhkp path statepres datadog apt key url defin apt key idcada url datadog apt key url statepres datadog apt key url defin apt repositori repo datadog apt repo statepres updat cachey apt namedatadogag statelatest,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.47
