avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,4.0,3.0,26.0,40.0,8.0,17.0,d9921b30e1935ff921d869620409ed21301f1a5b,5.0,1438892578.0,2.0,no,roles/openvpn-exit/tasks/main.yml,51.32,7.0,32.0,0.0,58.0,12.0,20.0,18.0,4.0,11.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,91.0,8.0,0.0,0.0,roles/openvpn-exit/tasks/main.yml,FreifunkBremen/ansible,5.54,name set group group nameopenvpn systemy name set user user nameopenvpn systemy groupopenvpn createhomeno shellbinfals name instal packag apt name item item openvpn iptablespersist name instal configur templat src item destetcopenvpn item mode item path exitauth openvpn exit hidem notifi restart openvpn name instal script templat path destetcopenvpn mode openvpn exit hidem notifi restart openvpn name flush iptabl nat command iptabl nat name instal iptabl nat command iptabl nat postrout vpn uplink masquerad name save iptabl ipv shell iptablessav path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,3.0,26.0,40.0,13.0,32.0,d9921b30e1935ff921d869620409ed21301f1a5b,3.0,1438892578.0,2.0,no,roles/omd/tasks/main.yml,92.31,7.0,31.0,1.0,46.0,15.0,32.0,6.0,2.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,77.0,8.0,0.0,0.0,roles/omd/tasks/main.yml,FreifunkBremen/ansible,5.48,name get omd get url url omd packag path name instal depenc packag apt name item forcey item php phpsqlite phpmcrypt phpcgi phpgd phppear name instal omd apt path name creat site monitor command omd creat monitor name copi run script templat src item desttmp item mode item runomdadminpw name creat omdadmin user shell cat tmprunomdadminpw monitor htpasswd etchtpasswd omdadmin name start site monitor command omd start monitor name cleanup file file path item stateabs item path tmprunomdadminpw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,7.0,3.0,26.0,8.0,3.0,8.0,d9921b30e1935ff921d869620409ed21301f1a5b,3.0,1438892578.0,1.0,no,playbooks/serviceserver-web.yml,100.0,0.0,7.0,0.0,10.0,3.0,8.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,playbooks/serviceserver-web.yml,FreifunkBremen/ansible,3.0,host serviceserv role batmanadv fastd alfredannounc webserverapach toolsnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,3.0,26.0,3.0,3.0,3.0,d9921b30e1935ff921d869620409ed21301f1a5b,1.0,1438892578.0,1.0,no,roles/ntp-chrony/handlers/main.yml,100.0,0.0,2.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,roles/ntp-chrony/handlers/main.yml,FreifunkBremen/ansible,2.58,name restart chroni servic namechroni staterestart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,13.0,3.0,26.0,14.0,7.0,13.0,d9921b30e1935ff921d869620409ed21301f1a5b,2.0,1438892578.0,2.0,no,roles/batman-adv-14/meta/main.yml,92.86,0.0,13.0,0.0,14.0,7.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,roles/batman-adv-14/meta/main.yml,FreifunkBremen/ansible,4.39,galaxi info author kaleng descript instal batmanadv compat licens gplv min ansibl version platform name debian version wheezi jessi categori network depend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,3.0,26.0,2.0,2.0,2.0,d9921b30e1935ff921d869620409ed21301f1a5b,1.0,1438892578.0,1.0,no,roles/dhcp-dnsmasq/defaults/main.yml,100.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,roles/dhcp-dnsmasq/defaults/main.yml,FreifunkBremen/ansible,1.0,dhcp dn batman ipv address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,3.0,26.0,6.0,3.0,7.0,d9921b30e1935ff921d869620409ed21301f1a5b,2.0,1438892578.0,2.0,no,roles/webserver-apache/tasks/main.yml,70.0,1.0,4.0,0.0,8.0,4.0,7.0,2.0,1.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,2.0,0.0,0.0,roles/webserver-apache/tasks/main.yml,FreifunkBremen/ansible,3.08,name instal apach apt nameapach name start apach servic nameapach statestart enabledy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,3.0,26.0,3.0,1.0,4.0,d9921b30e1935ff921d869620409ed21301f1a5b,5.0,1438892578.0,2.0,no,roles/openvpn-exit/defaults/main.yml,84.62,0.0,1.0,1.0,8.0,2.0,4.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,roles/openvpn-exit/defaults/main.yml,FreifunkBremen/ansible,1.0,openvpn exit hidem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,7.0,3.0,26.0,9.0,2.0,17.0,d9921b30e1935ff921d869620409ed21301f1a5b,6.0,1438892578.0,1.0,no,roles/icvpn/defaults/main.yml,100.0,1.0,7.0,0.0,26.0,4.0,17.0,17.0,3.0,6.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,roles/icvpn/defaults/main.yml,FreifunkBremen/ansible,3.81,icvpn subnetmask icvpn subnet icvpn port icvpn interfac icvpn icvpn git root http path icvpn git meta http path icvpn git script http path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,3.0,26.0,4.0,2.0,6.0,d9921b30e1935ff921d869620409ed21301f1a5b,2.0,1438892578.0,2.0,no,roles/ipv6-exit/tasks/main.yml,75.0,0.0,3.0,0.0,6.0,3.0,6.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,0.0,0.0,roles/ipv6-exit/tasks/main.yml,FreifunkBremen/ansible,3.58,name instal radv protocol bird templat path path notifi reload bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
