avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_authorized_key,num_block_error_handling,num_blocks,num_command_calls,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_regex,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_authorized_key,delta_num_block_error_handling,delta_num_blocks,delta_num_command_calls,delta_num_commands,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_file_exists,delta_num_file_mode,delta_num_file_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_parameters,delta_num_paths,delta_num_plays,delta_num_regex,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_uri,delta_num_user_interaction,delta_num_vars,delta_text_entropy
40.0,40.0,12.0,287.0,96.0,96.0,96.0,7fd50033b115e84c7e52321515065b76177a112b,1.0,1530810369.0,1.0,0.0,ansible/playbooks/setup_deepops_user.yml,100.0,14.0,78.0,3.0,96.0,96.0,96.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,217.0,12.0,0.0,0.0,6.0,ansible/playbooks/setup_deepops_user.yml,NVIDIA/deepops,6.41,host becom ye gather fact var ansibl python interpret usrbinpython role role localapt airgap ssh task name instal python ansibl raw test usrbinpython apt updat apt instal pythonminim regist output chang path name set sudo without password lineinfil destetcsudo regexp sudo line sudo nopasswd name creat local file path local state directori name creat optdeepop file path optdeepop state directori name creat deepop user user name deepop uid home localdeepop shell binbash state present group sudo name set author key deepop user author key user deepop state present key lookup file path host becom ye gather fact var ansibl user deepop ansibl ssh privat key file path task name check state file stat path path user regist run name get list local user home find path home file type directori regist local user name delet local user user name path state absent remov ye item local path delet local user path name move local user block command killal path ignor error item local path user name path home local path move home ye state present item local path delet local user path name gener state file file path path user state touch mode path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,11.0,12.0,287.0,12.0,12.0,12.0,7fd50033b115e84c7e52321515065b76177a112b,1.0,1530810369.0,1.0,0.0,ansible/playbooks/filesystems.yml,100.0,0.0,11.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,0.0,0.0,0.0,ansible/playbooks/filesystems.yml,NVIDIA/deepops,4.14,host becom ye task name mount tmp ramdisk mount path tmp src tmpf fstype tmpf state mount opt nosuid nodev tag tmpf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,13.0,12.0,287.0,15.0,15.0,15.0,7fd50033b115e84c7e52321515065b76177a112b,1.0,1530810369.0,1.0,0.0,ansible/roles/ssh/.travis.yml,100.0,1.0,13.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.0,0.0,0.0,0.0,0.0,ansible/roles/ssh/.travis.yml,NVIDIA/deepops,4.92,languag python python instal sudo aptget updat sudo aptget instal pythonapt pythonpycurl git instal pip instal ansibl git clone http path librarysshknownhost script echo localhost inventori ansiblessh path ansibleplaybook syntaxcheck inventori path ansibleplaybook inventori path connectionloc sudo vvvv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,7.0,12.0,287.0,333.0,333.0,333.0,7fd50033b115e84c7e52321515065b76177a112b,1.0,1530810369.0,1.0,0.0,ansible/roles/docker/tasks/main.yml,100.0,40.0,284.0,8.0,333.0,333.0,333.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,25.0,0.0,0.0,41.0,0.0,0.0,0.0,5.0,3.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,253.0,0.0,5.0,0.0,6.0,104.0,13.0,0.0,5.0,0.0,1.0,0.0,41.0,977.0,45.0,0.0,0.0,5.0,ansible/roles/docker/tasks/main.yml,NVIDIA/deepops,7.45,name includ proper python var file includ var python var file name fail support releas ubuntu fail msg ansibl distribut version accept version ubuntu role ansibl path ubuntu ansibl distribut versionvers compar name fail new releas debian fail msg ansibl distribut version accept version debian role ansibl path debian ansibl distribut versionvers compar name fail use python ansibl fail msg ansibl requir use python interpret ansibl path version compar ansibl python interpret defin python ansibl python interpret name updat kernel kernel extra xorg pkg relat task includ kernel check path kernel updat reboot permit instal kernel extra name uninstal old version docker apt name item state absent item docker dockerengin path uninstal previou docker version name instal linuximageextra packag enabl driver apt pkg item state present updat cach ye cach valid time docker apt cach valid time item linuximageextra ansibl kernel linuximageextravirtu docker auf enabl ansibl distribut versionvers compar regist linux imag extra instal ignor error ye name tri instal linuximageextra previou attempt fail apt pkg linuximageextra ansibl path join state present updat cach ye cach valid time docker apt cach valid time linux imag extra installfail name ensur dirmngr avail apt pkg apt dirmngr pkg state present updat cach ye cach valid time docker apt cach valid time name add docker repositori key apt key apt key sig keyserv apt key url state present regist add repositori key ignor error name altern add docker repositori key shell aptkey adv fetchkey apt key url add repositori keyfail name http apt transport docker repositori apt name apttransporthttp state present name add docker repositori updat apt cach apt repositori repo apt repositori mode updat cach ye state present name instal updat docker packag apt name docker pkg name state latest updat docker packag els present updat cach updat docker packag cach valid time docker apt cach valid time name set systemd playbook var set fact systemd chang tag alway name set systemd playbook var set fact systemd ansibl distribut ubuntu ansibl distribut versionvers compar ansibl distribut debian tag alway name set docker http proxi defin flag set fact docker http proxi defin docker http proxi defin docker http proxi none docker http proxi tag proxi name set docker http proxi defin flag set fact docker http proxi defin docker http proxi defin docker http proxi none docker http proxi tag proxi name creat overrid directori systemd file path path state daemon json none docker http proxi defin docker http proxi defin ternari directori absent owner root group root mode systemd tag proxi name set docker daemon overrid systemd copi content servic exec start exec startusrbindockerd dest path owner root group root mode notifi reload systemd restart docker daemon json none systemd name ensur etcdock present file path etcdock state directori owner root group root mode name set path copi content daemon json nice json dest path owner root group root mode notifi restart docker daemon json none name fix dn path lineinfil dest docker default file path regexp docker opt line docker opt dn ansibl path regist dn fix notifi restart dockerio docker pkg name path meta flush handler dn fixchang paus second dn fixchang name instal python packag join packag apt apt pkg item state latest updat cach ye cach valid time docker apt cach valid time item python packag name dockercompos version downgrad debug msg downgrad dockercompos version pip version docker compos dockercompos requir docker python packag instead dockerpi one incompat docker contain modul ansibl pip instal docker compos pip version docker compos pip version docker compos name clean previou dockerpi packag instal docker pip name dockerpi state absent execut pip execut pip instal docker pip instal docker compos pip docker packag name docker name clean previou docker packag instal dockerpi pip name docker state absent execut pip execut pip instal docker pip instal docker compos pip docker packag name dockerpi name instal pip setuptool dockerpi dockercompos pip pip name path state latest path els present version path path latest els omit execut pip execut item name pip version pip version pip instal pip instal pip name setuptool version pip version setuptool instal pip instal setuptool name pip docker packag name version pip version docker instal pip instal docker name dockercompos version pip version docker compos instal pip instal docker compos path name check path exist stat path path regist updatedb conf exist name ensur updatedb index varlibdock lineinfil dest path state present backref ye regexp prunepath varlibdock line prunepath varlibdock updatedb conf path name check etcdefaultufw exist stat path etcdefaultufw regist ufw default exist name chang ufw default forward polici drop accept lineinfil dest etcdefaultufw regexp default forward polici line default forward polici accept ufw default path name set docker http proxi docker http proxi defin lineinfil dest etcdefaultdock regexp export http proxi line export http proxi docker http proxi state docker http proxi defin ternari present absent systemd notifi restart docker tag proxi name set docker http proxi docker http proxi defin lineinfil dest etcdefaultdock regexp export http proxi line export http proxi docker http proxi state docker http proxi defin ternari present absent systemd notifi restart docker tag proxi name set docker http proxi docker http proxi defin systemd copi content servic environ docker http proxi defin http proxi docker http proxi endif environ docker http proxi defin http proxi docker http proxi endif environ proxi docker proxi default dest path owner root group root mode notifi reload systemd restart docker systemd docker http proxi defin docker http proxi defin tag proxi name remov docker http proxi docker http proxi undefin systemd file path path state absent notifi reload systemd restart docker systemd docker http proxi defin docker http proxi defin tag proxi name start docker servic name docker state start start docker daemon name add user docker group user name item group docker append ye item docker group member docker group member defin name updat fact docker defin setup filter ansibl docker ansibl docker defin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,7.0,12.0,287.0,9.0,9.0,9.0,7fd50033b115e84c7e52321515065b76177a112b,1.0,1530810369.0,1.0,0.0,ansible/roles/gpu-driver/defaults/main.yml,100.0,0.0,7.0,1.0,9.0,9.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,ansible/roles/gpu-driver/defaults/main.yml,NVIDIA/deepops,3.7,use intern repo use latest gpu driver driver version apt key url http path path apt key faaf apt repo url http path cudarepoubuntu path apt repo name cudarepoubuntu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,9.0,12.0,287.0,10.0,10.0,10.0,7fd50033b115e84c7e52321515065b76177a112b,1.0,1530810369.0,1.0,0.0,ansible/roles/ssh/tasks/config.yml,100.0,1.0,9.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,1.0,0.0,0.0,0.0,ansible/roles/ssh/tasks/config.yml,NVIDIA/deepops,4.14,name configur sshd templat src etcsshsshd path dest etcsshsshd config backup ye owner root group root mode notifi restart ssh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,103.0,12.0,287.0,110.0,110.0,110.0,7fd50033b115e84c7e52321515065b76177a112b,1.0,1530810369.0,1.0,0.0,ansible/roles/dgx-software/defaults/main.yml,100.0,1.0,103.0,6.0,110.0,110.0,110.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,103.0,0.0,0.0,0.0,0.0,ansible/roles/dgx-software/defaults/main.yml,NVIDIA/deepops,6.69,default ubuntu packag linuxgener linuxtoolsgener ubuntuminim dgxoemconfigeula dgxoemconfigbmc ipmitool nfscommon ssh gdisk ethtool psmisc apttransporthttp ifenslav daplutil ibacmdev ibsim ibsimdoc ibutil ibverbsutil infinibanddiag iserdkm kernelmftdkm mft libdapldev libibcmdev libibmaddevel libibmadstat libibumaddevel libibumadstat libibverbsdbg libmlxdbg libmlxdev libmlxdbg libmlxdev librdmacmdev librdmacmutil knem knemdkm mlnxethtool mlnxfwupdat mstflint ofedscript opensm perftest srpdkm srptool gfortran chrpath bison swig quilt automak dpatch graphviz flex cmake curl vim failban cachefilesd apparmor cryptsetup dbusx dgxraidconfig diffutil efsprog ecryptfsutil file findutil fuse grubefiamdsign gzip hostnam init installationreport iscdhcpcommon libatm libfribidi login logrot ncursesbas ncursesbin ncursesterm osprob shimsign usbutil wget git man htop emac buildessenti libtool valgrind strace libssldev gdb sysstat libarchivedev direnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,8.0,12.0,287.0,8.0,8.0,8.0,7fd50033b115e84c7e52321515065b76177a112b,1.0,1530810369.0,1.0,0.0,ansible/playbooks/authentication.yml,100.0,0.0,7.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,ansible/playbooks/authentication.yml,NVIDIA/deepops,3.58,host becom ye role role user mod ansibl ssh user root kerberoscli ypclient autof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,7.0,12.0,287.0,33.0,33.0,33.0,7fd50033b115e84c7e52321515065b76177a112b,1.0,1530810369.0,1.0,0.0,ansible/roles/users/tasks/head.yml,100.0,4.0,28.0,0.0,33.0,33.0,33.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,102.0,4.0,0.0,0.0,1.0,ansible/roles/users/tasks/head.yml,NVIDIA/deepops,5.19,name creat public key exist shell sshkeygen home path path rsa home path path path arg creat home path path path path defin item user list name get pub key content command cat home path path path regist pub key path defin item user list name set permiss public key file path home path path path owner path group path mode path defin item user list name set ssh auth key newli gener author key user path key path item pub path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,10.0,12.0,287.0,64.0,64.0,64.0,7fd50033b115e84c7e52321515065b76177a112b,1.0,1530810369.0,1.0,0.0,ansible/roles/dgx-software/tasks/main.yml,100.0,5.0,38.0,17.0,64.0,64.0,64.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,4.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,78.0,4.0,0.0,0.0,0.0,ansible/roles/dgx-software/tasks/main.yml,NVIDIA/deepops,4.76,name instal default softwar apt name item state latest item default ubuntu packag tag packag name instal smart monitor tool apt name item state latest item lshw smartmontool tag packag name instal nvidia driver datacent manag apt name item state latest item cudadriv cudadriversdiagnost datacentergpumanag nvidiasysinfodgx tag packag offici name instal nvidia peer memori apt name item state latest item nvidiapeermemori nvidiapeermemorydkm tag packag offici,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
