avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,14.0,3.0,16.0,16.0,8.0,16.0,d29867187188da9b383b2fc2d0fab2f88db2ce86,2.0,1431986383.0,1.0,no,meta/main.yml,100.0,0.0,14.0,1.0,17.0,8.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,1.0,0.0,0.0,Oefenweb/ansible-r,4.94,galaxi info author mischa ter smitten compani path path descript set latest version ubuntu system licens mit min ansibl version platform name ubuntu version precis trusti categori system depend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,3.0,16.0,4.0,4.0,4.0,d29867187188da9b383b2fc2d0fab2f88db2ce86,1.0,1431986383.0,1.0,no,tasks/main.yml,100.0,0.0,2.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,Oefenweb/ansible-r,1.5,includ path includ path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,10.0,3.0,16.0,16.0,16.0,16.0,d29867187188da9b383b2fc2d0fab2f88db2ce86,1.0,1431986383.0,1.0,yes,tasks/repository.yml,100.0,1.0,13.0,1.0,16.0,16.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,37.0,2.0,0.0,0.0,Oefenweb/ansible-r,4.72,name add public key apt key edab keyserv path state present tag configur rpublickey name add cranr repositori apt repositori repo path path state present updat cach ye item repositori tag configur rrepositori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,10.0,3.0,16.0,16.0,16.0,16.0,d29867187188da9b383b2fc2d0fab2f88db2ce86,1.0,1431986383.0,1.0,no,tasks/install.yml,100.0,1.0,13.0,1.0,16.0,16.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,37.0,2.0,0.0,0.0,Oefenweb/ansible-r,4.32,name instal depend apt name item state latest item depend item trim tag configur rdepend name instal apt name item state latest item instal tag configur rinstal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,2.0,9.0,15.0,8.0,9.0,684ff0c7a2d070ffd715cf09d98909f2e946cc47,2.0,1441224510.0,1.0,no,tasks/main.yml,100.0,2.0,15.0,1.0,15.0,8.0,9.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,0.0,Oefenweb/ansible-r,3.11,includ path tag configur rrepositori includ path tag configur rinstal includ path tag configur rpackag,0.0,4.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,1.61
0.0,14.0,2.0,9.0,0.0,0.0,0.0,684ff0c7a2d070ffd715cf09d98909f2e946cc47,1.0,1441224510.0,1.0,no,meta/main.yml,100.0,0.0,14.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,1.0,0.0,0.0,Oefenweb/ansible-r,4.94,galaxi info author mischa ter smitten compani path path descript set latest version ubuntu system licens mit min ansibl version platform name ubuntu version precis trusti categori system depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,2.0,9.0,2.0,2.0,2.0,684ff0c7a2d070ffd715cf09d98909f2e946cc47,1.0,1441224510.0,1.0,yes,tasks/repository.yml,100.0,1.0,15.0,1.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.0,2.0,0.0,0.0,Oefenweb/ansible-r,4.67,name repositori add public key apt key edab keyserv path state present tag rrepositorypublickey name repositori add cranr apt repositori repo path path state present updat cach ye item repositori tag rrepositoryadd,0.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.05
0.0,11.0,2.0,9.0,32.0,16.0,32.0,684ff0c7a2d070ffd715cf09d98909f2e946cc47,2.0,1441224510.0,1.0,yes,tasks/packages.yml,100.0,2.0,28.0,1.0,33.0,16.0,32.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,122.0,3.0,0.0,2.0,Oefenweb/ansible-r,5.56,name packag copi littler script templat src usrlocalbin path dest usrlocalbin path owner root group root mode item src path dest rinstallpackag src path dest rremovepackag name packag instal command rinstallpackag path path defin path endif path defin path endif regist instal packag chang instal path line defin instal path line chang item packag path undefin path present tag rpackagesinstal name packag remov command rremovepackag path path defin path endif regist remov packag chang remov path line defin remov path line chang item packag path defin path absent tag rpackagesremov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,8.0,2.0,9.0,4.0,2.0,2.0,684ff0c7a2d070ffd715cf09d98909f2e946cc47,2.0,1441224510.0,1.0,no,tasks/install.yml,100.0,1.0,17.0,1.0,8.0,4.0,6.0,4.0,2.0,4.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,40.0,2.0,0.0,0.0,Oefenweb/ansible-r,4.48,name instal depend apt name item state latest updat cach cach valid time item depend item trim tag rinstalldepend name instal addit apt name item state latest item instal tag rinstalladdit,0.0,-2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.16
0.0,5.0,2.0,10.0,0.0,0.0,0.0,75f13e71f4c67ef363b0e955efc1cb5975aff0c4,0.0,1461531615.0,0.0,no,tasks/main.yml,0.0,2.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,0.0,Oefenweb/ansible-r,3.11,includ path tag configur rrepositori includ path tag configur rinstal includ path tag configur rpackag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
