avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,26.0,2.0,11.0,1.0,0.0,1.0,74b8ad34f0cdc23bb3777917246b0b0fee4d1671,7.0,1471376163.0,2.0,no,meta/main.yml,75.86,0.0,26.0,109.0,15.0,2.0,4.0,14.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,3.0,0.0,0.0,RocketChat/Rocket.Chat.Ansible,4.86,galaxi info author calum mac rae descript deploy path licens mit min ansibl version platform name version name ubuntu version trusti xenial name debian version jessi galaxi tag cloud databas databas nosql network packag system web chat depend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,2.0,11.0,34.0,1.0,29.0,74b8ad34f0cdc23bb3777917246b0b0fee4d1671,33.0,1471376163.0,2.0,yes,tasks/main.yml,96.08,32.0,173.0,1.0,310.0,9.0,83.0,276.0,8.0,54.0,2.0,1.0,0.0,0.0,0.0,18.0,11.0,1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,157.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,32.0,603.0,31.0,0.0,4.0,RocketChat/Rocket.Chat.Ansible,6.71,includ var item first found ansibl distribut path ansibl famili path tag var includ repo red path ansibl famili red hat tag repo name ensur apt cach updat recent apt updat cachey cach valid time ansibl famili debian includ path rocket chat includ mongodbbool tag mongodb name ensur path servic group present group name rocket chat servic group state present system name ensur path servic user present user comment path servic user name rocket chat servic user group rocket chat servic group home rocket chat applic path createhom shell binfals state present system name ensur path depend instal packag name rocket chat dep packag state present name ensur link binnod binnodej exist file src binnod dest binnodej state link ansibl famili red hat name ensur node instal npm name global execut rocket chat origin npm name ensur forev node instal ubuntu npm name forev global ye execut rocket chat origin npm ansibl distribut ubuntu ansibl distribut major version name check see instal requir node binari stat path rocket chat node path node regist node bin name instal node environ via shell node path name configur etchost lineinfil dest etchost line ansibl fqdn ansibl hostnam regexp name check see initi path deploy stat path rocket chat applic path bundl regist rocket chat deploy state name set initi path upgrad statu set fact rocket chat upgrad name ensur acltool present ubuntu packag name acl state present ansibl distribut ubuntu ansibl distribut major version name fetch path binari tarbal get url url rocket chat tarbal remot shasum rocket chat tarbal shasum dest rocket chat applic path path rocket chat version path timeout rocket chat tarbal fetch timeout valid cert rocket chat tarbal valid remot cert notifi upgrad path becom becom user rocket chat servic user meta flush handler name unpack path binari tarbal unarch copi src rocket chat applic path path rocket chat version path dest rocket chat applic path creat rocket chat applic path bundl becom becom user rocket chat servic user tag build name instal path via npm npm state present path rocket chat applic path bundleprogramsserv execut rocket chat origin npm becom becom user rocket chat servic user tag build name check see path log file present ubuntu stat path regist rocket chat log file state ansibl distribut ubuntu ansibl distribut major version name ensur path log file present ubuntu file path path state touch owner rocket chat servic user group rocket chat servic group ansibl distribut ubuntu ansibl distribut major version rocket chat log file path name check see path pid file present ubuntu stat path regist rocket chat pid file state ansibl distribut ubuntu ansibl distribut major version name ensur path pid file present ubuntu file path path state touch owner rocket chat servic user group rocket chat servic group ansibl distribut ubuntu ansibl distribut major version rocket chat pid file path name ensur path applic data permiss correct file path rocket chat applic path state directori owner rocket chat servic user group rocket chat servic user recurs tag build includ var item first found ansibl distribut ansibl distribut major version path ansibl famili ansibl distribut major version path ansibl distribut path ansibl famili path tag servic name deploy path servic file templat src rocket chat servic path dest rocket chat servic path notifi updat path servic configur tag servic meta flush handler name ensur mongo repl set initi shell mongo eval path touch path initialis becom ye becom user mongodb arg chdir varlibmongodb creat path initialis rocket chat includ mongodbbool name restart path servic upgrad servic namerocketchat staterestart rocket chat upgradedbool name ensur path servic runningen servic namerocketchat statestart enabledtru tag servic includ path rocket chat includ nginxbool tag nginx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,2.0,11.0,38.0,2.0,47.0,74b8ad34f0cdc23bb3777917246b0b0fee4d1671,16.0,1471376163.0,1.0,no,tasks/mongodb.yml,100.0,6.0,30.0,1.0,112.0,7.0,47.0,74.0,5.0,29.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,108.0,6.0,0.0,0.0,RocketChat/Rocket.Chat.Ansible,5.32,includ var item first found ansibl distribut ansibl distribut major version path ansibl famili ansibl distribut major version path ansibl distribut path ansibl famili path name ensur mongo repositori key import apt key keyserv rocket chat mongodb keyserv rocket chat mongodb gpg key ansibl famili debian tag repo name ensur mongo repositori present apt repositori repo rocket chat mongodb apt repo state present ansibl famili debian tag repo name ensur mongo server present packag name rocket chat mongodb packag state present name deploy mongo servic configur templat src rocket chat mongodb config templat dest path notifi restart mongo servic meta flush handler name ensur mongo servic starteden servic namemongod statestart enabledy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,2.0,11.0,9.0,2.0,6.0,74b8ad34f0cdc23bb3777917246b0b0fee4d1671,5.0,1471376163.0,2.0,no,tasks/upgrade.yml,86.05,5.0,25.0,1.0,26.0,5.0,13.0,17.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,99.0,5.0,0.0,0.0,RocketChat/Rocket.Chat.Ansible,5.67,name ensur automat upgrad permit upgrad fail msg look like permit automat upgrad new version path releas permit automat upgrad set rocket chat automat upgrad rocket chat automat upgradesbool name ensur back directori exist upgrad file path rocket chat upgrad backup path state directori rocket chat upgrad backupbool name back current path instanc upgrad shell rocket chat applic path bundl rocket chat upgrad backup path backup ansibl date path rocket chat upgrad backupbool name delet current path instanc upgrad file path rocket chat applic path bundl state absent rocket chat upgrad backupbool name set path upgrad statu upgrad set fact rocket chat upgrad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,2.0,11.0,11.0,3.0,4.0,74b8ad34f0cdc23bb3777917246b0b0fee4d1671,4.0,1471376163.0,1.0,no,handlers/main.yml,100.0,4.0,14.0,1.0,13.0,3.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,47.0,5.0,0.0,0.0,RocketChat/Rocket.Chat.Ansible,4.45,name reload nginx servic servic namenginx statereload name restart mongo servic servic namemongod staterestart name upgrad path includ path rocket chat deploy path tag upgrad name updat path servic configur shell rocket chat servic updat command rocket chat servic updat command defin name restart path servic servic namerocketchat staterestart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,2.0,11.0,8.0,4.0,8.0,74b8ad34f0cdc23bb3777917246b0b0fee4d1671,2.0,1471376163.0,1.0,no,tasks/repo_RedHat.yml,100.0,2.0,4.0,1.0,9.0,4.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,2.0,0.0,0.0,RocketChat/Rocket.Chat.Ansible,3.82,name ensur epel repositori present yum nameepelreleas statepres name ensur epel repositori gpg key import rpm key keyetcpkirpmgpgrpmgpgkeyepel statepres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,2.0,11.0,21.0,3.0,16.0,74b8ad34f0cdc23bb3777917246b0b0fee4d1671,8.0,1471376163.0,1.0,no,tasks/nginx.yml,100.0,8.0,55.0,1.0,33.0,4.0,16.0,12.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,216.0,8.0,0.0,0.0,RocketChat/Rocket.Chat.Ansible,5.98,name grant nginx permiss proxi request upstream selinux shell setsebool httpd network connect chang ansibl selinux defin ansibl path disabl name ensur nginx present packag namenginx statepres name deploy nginx configur templat src path dest path item src path dest path src rocket path dest path path notifi reload nginx servic name ensur provid ssl cert deploy copi src path dest path rocket chat ssl gener certsbool rocket chat ssl deploy databool item src rocket chat ssl key file dest rocket chat ssl key path src rocket chat ssl cert file dest rocket chat ssl cert path notifi reload nginx servic name ensur ssl cert gener shell openssl req newkey rsa node subj rocket chat servic host cnastnalnaonaouna keyout rocket chat ssl key path rocket chat ssl cert path day rocket chat ssl gener certsbool arg creat rocket chat ssl key path notifi reload nginx servic name ensur provid pf key deploy copi src rocket chat nginx pf file dest rocket chat nginx pf key path rocket chat nginx gener pf key notifi reload nginx servic name ensur pf key gener take shell openssl dhparam rocket chat nginx pf key path rocket chat nginx pf key numbit rocket chat nginx gener pf keybool arg creat rocket chat nginx pf key path notifi reload nginx servic name ensur nginx servic runningen servic namenginx statestart enabledtru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,26.0,1.0,1.0,0.0,0.0,0.0,fd90707b12e7a1a0868a50e971f00194c87e3547,0.0,1471422870.0,0.0,no,meta/main.yml,0.0,0.0,26.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,3.0,0.0,0.0,RocketChat/Rocket.Chat.Ansible,4.86,galaxi info author calum mac rae descript deploy path licens mit min ansibl version platform name version name ubuntu version trusti xenial name debian version jessi galaxi tag cloud databas databas nosql network packag system web chat depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,1.0,1.0,12.0,6.0,11.0,fd90707b12e7a1a0868a50e971f00194c87e3547,2.0,1471422870.0,1.0,yes,tasks/main.yml,100.0,33.0,181.0,4.0,13.0,6.0,12.0,1.0,0.0,1.0,1.5,0.0,0.0,0.0,0.0,18.0,12.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,163.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,33.0,621.0,32.0,0.0,5.0,RocketChat/Rocket.Chat.Ansible,6.77,includ var item first found ansibl distribut path ansibl famili path tag var includ repo red path ansibl famili red hat tag repo name ensur apt cach updat recent apt updat cachey cach valid time ansibl famili debian includ path rocket chat includ mongodbbool tag mongodb name ensur path servic group present group name rocket chat servic group state present system name ensur path servic user present user comment path servic user name rocket chat servic user group rocket chat servic group home rocket chat applic path createhom shell binfals state present system name ensur path depend instal packag name rocket chat dep packag state present retri name ensur link binnod binnodej exist file src binnod dest binnodej state link ansibl famili red hat name ensur node instal npm name global execut rocket chat origin npm name ensur forev node instal ubuntu npm name forev global ye execut rocket chat origin npm ansibl distribut ubuntu ansibl distribut major version name check see instal requir node binari stat path rocket chat node path node regist node bin name instal node environ via shell node path name configur etchost lineinfil dest etchost line ansibl fqdn ansibl hostnam regexp name check see initi path deploy stat path rocket chat applic path bundl regist rocket chat deploy state name set initi path upgrad statu set fact rocket chat upgrad name ensur acltool present ubuntu packag name acl state present ansibl distribut ubuntu ansibl distribut major version name fetch path binari tarbal get url url rocket chat tarbal remot shasum rocket chat tarbal shasum dest rocket chat applic path path rocket chat version path timeout rocket chat tarbal fetch timeout valid cert rocket chat tarbal valid remot cert becom becom user rocket chat servic user regist result retri name upgrad path includ path resultchang rocket chat deploy path tag upgrad meta flush handler name unpack path binari tarbal unarch copi src rocket chat applic path path rocket chat version path dest rocket chat applic path creat rocket chat applic path bundl becom becom user rocket chat servic user tag build name instal path via npm npm state present path rocket chat applic path bundleprogramsserv execut rocket chat origin npm becom becom user rocket chat servic user tag build name check see path log file present ubuntu stat path regist rocket chat log file state ansibl distribut ubuntu ansibl distribut major version name ensur path log file present ubuntu file path path state touch owner rocket chat servic user group rocket chat servic group ansibl distribut ubuntu ansibl distribut major version rocket chat log file path name check see path pid file present ubuntu stat path regist rocket chat pid file state ansibl distribut ubuntu ansibl distribut major version name ensur path pid file present ubuntu file path path state touch owner rocket chat servic user group rocket chat servic group ansibl distribut ubuntu ansibl distribut major version rocket chat pid file path name ensur path applic data permiss correct file path rocket chat applic path state directori owner rocket chat servic user group rocket chat servic user recurs tag build includ var item first found ansibl distribut ansibl distribut major version path ansibl famili ansibl distribut major version path ansibl distribut path ansibl famili path tag servic name deploy path servic file templat src rocket chat servic path dest rocket chat servic path notifi updat path servic configur tag servic meta flush handler name ensur mongo repl set initi shell mongo eval path touch path initialis becom ye becom user mongodb arg chdir varlibmongodb creat path initialis rocket chat includ mongodbbool name restart path servic upgrad servic namerocketchat staterestart rocket chat upgradedbool name ensur path servic runningen servic namerocketchat statestart enabledtru tag servic includ path rocket chat includ nginxbool tag nginx,0.0,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,1.0,0.0,1.0,0.06
0.0,4.0,1.0,1.0,0.0,0.0,0.0,fd90707b12e7a1a0868a50e971f00194c87e3547,0.0,1471422870.0,0.0,no,tasks/mongodb.yml,0.0,6.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,108.0,6.0,0.0,0.0,RocketChat/Rocket.Chat.Ansible,5.32,includ var item first found ansibl distribut ansibl distribut major version path ansibl famili ansibl distribut major version path ansibl distribut path ansibl famili path name ensur mongo repositori key import apt key keyserv rocket chat mongodb keyserv rocket chat mongodb gpg key ansibl famili debian tag repo name ensur mongo repositori present apt repositori repo rocket chat mongodb apt repo state present ansibl famili debian tag repo name ensur mongo server present packag name rocket chat mongodb packag state present name deploy mongo servic configur templat src rocket chat mongodb config templat dest path notifi restart mongo servic meta flush handler name ensur mongo servic starteden servic namemongod statestart enabledy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
