avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,5.0,10.0,34.0,24.0,12.0,14.0,808e7ffc48320a4bf77ac162d3e3cde48fbe08c1,2.0,1504288373.0,1.0,no,roles/initalisation/tasks/main.yml,100.0,0.0,14.0,0.0,24.0,12.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,34.0,5.0,0.0,0.0,roles/initalisation/tasks/main.yml,UKCloud/openshift-deployment-ansible,4.51,name instal bindutil yum name bindutil state latest name includ environ vairabl infrastructur host includ var file etcansiblegroup path name env detail name configur ansibl host file templat src path dest path forc ye backup ye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,10.0,34.0,42.0,21.0,42.0,808e7ffc48320a4bf77ac162d3e3cde48fbe08c1,2.0,1504288373.0,2.0,no,roles/common/tasks/main.yml,100.0,0.0,42.0,1.0,42.0,21.0,42.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,156.0,9.0,0.0,1.0,roles/common/tasks/main.yml,UKCloud/openshift-deployment-ansible,6.5,name includ environ vairabl infrastructur host includ var file etcansiblegroup path name env detail name check alreadi set path stat path path conf set regist statu name set network manag dn shell nmcli modifi system eth path ye path hostvar path path default path hostvar path path default path nmcli system eth touch path network manag dn arg creat path network manag dn becom ye becom method sudo name tidi host file bastion blockinfil block localhost path localhost path localhost path localhost path path etchost backup ye inventori hostnam localhost path becom ye becom method sudo name disabl tti sudo host lineinfil path etcsudo regexp default requiretti line backup ye becom ye becom method sudo name creat file run file path path conf set state touch name restart keepaliv network reload bring vip systemd name keepaliv state restart daemon reload ye inventori hostnam path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,10.0,34.0,44.0,44.0,44.0,808e7ffc48320a4bf77ac162d3e3cde48fbe08c1,1.0,1504288373.0,1.0,no,roles/dns/tasks/dns_master.yml,100.0,0.0,44.0,0.0,44.0,44.0,44.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,132.0,11.0,0.0,2.0,roles/dns/tasks/dns_master.yml,UKCloud/openshift-deployment-ansible,5.92,name load vairabl includ var file etcansiblegroup path name env detail name inv hostnam debug var inventori hostnam name group hostnam debug var path name gener dn sign key shell dnsseckeygen hmacmd host devurandom openshift dn key touch path key creat arg creat path key creat regist dn key file inventori hostnam path name extract dn key shell cat dn key path path regist dn key outout inventori hostnam path dn key path set fact dn key dn key outout name setup master key templat src templatesmast key path dest path inventori hostnam path dn key path set fact name add master dn configur blockinfil block lookup templat templatesmast zone path dest path backup ye inventori hostnam path name copi across zone templat src path dest varnam env path domain suffix path inventori hostnam path name restart bind systemd name name state restart inventori hostnam path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,10.0,34.0,80.0,40.0,47.0,808e7ffc48320a4bf77ac162d3e3cde48fbe08c1,2.0,1504288373.0,1.0,no,roles/keepalived/tasks/main.yml,100.0,0.0,47.0,0.0,80.0,40.0,47.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,123.0,14.0,0.0,1.0,roles/keepalived/tasks/main.yml,UKCloud/openshift-deployment-ansible,5.86,name setup kernal bind paramet sysctl name path nonloc bind valu state present name setup kernal forward paramet sysctl name path forward valu state present name instal kill util keepaliv yum name psmisc state latest name setup firewal allow vrrp advert firewalld rich rule rule protocol valu vrrp accept immedi perman state enabl zone public name creat uniqu shell openssl rand base regist keepaliv password output inventori hostnam path name store keepaliv password set fact keepaliv password keepaliv password output name includ environ vairabl infrastructur host includ var file etcansiblegroup path name env detail name instal keepaliv yum name keepaliv state latest name configur keepaliv templat src path dest path forc ye backup ye name enabl keepaliv systemd name keepaliv enabl state restart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,10.0,34.0,119.0,60.0,68.0,808e7ffc48320a4bf77ac162d3e3cde48fbe08c1,2.0,1504288373.0,1.0,no,roles/haproxy/tasks/main.yml,100.0,0.0,50.0,1.0,119.0,60.0,68.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,126.0,12.0,0.0,0.0,roles/haproxy/tasks/main.yml,UKCloud/openshift-deployment-ansible,5.61,name includ environ vairabl infrastructur host includ var file etcansiblegroup path name env detail name instal haproxi yum name haproxi state latest name configur haproxi templat src path dest path forc ye backup ye name updat rsyslog config blockinfil dest path creat ye block mod load imudp udpserv run udpserv address local path name enabl haproxi command systemctl enabl haproxi name restart haproxi command systemctl restart haproxi name restart rsyslog command systemctl restart rsyslog name setup firewal http firewalld servic http immedi perman zone public state enabl name setup firewal http firewalld servic http immedi perman zone public state enabl name setup firewal open shift api firewalld port tcp immedi perman state enabl zone public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,10.0,34.0,3.0,3.0,3.0,808e7ffc48320a4bf77ac162d3e3cde48fbe08c1,1.0,1504288373.0,1.0,no,roles/dns/tasks/main.yml,100.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,roles/dns/tasks/main.yml,UKCloud/openshift-deployment-ansible,1.79,includ dn path includ dn path includ dn path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,10.0,34.0,13.0,13.0,13.0,808e7ffc48320a4bf77ac162d3e3cde48fbe08c1,1.0,1504288373.0,1.0,no,roles/firewalld/tasks/main.yml,100.0,0.0,13.0,0.0,13.0,13.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,4.0,0.0,0.0,roles/firewalld/tasks/main.yml,UKCloud/openshift-deployment-ansible,3.73,name instal firewalld yum name firewalld state latest name start firewalld systemd name firewalld state start enabl ye name fix bug nmcli systemd name network manag state restart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,10.0,34.0,35.0,35.0,35.0,808e7ffc48320a4bf77ac162d3e3cde48fbe08c1,1.0,1504288373.0,1.0,no,roles/dns/tasks/dns_common.yml,100.0,0.0,35.0,0.0,35.0,35.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,99.0,9.0,0.0,0.0,roles/dns/tasks/dns_common.yml,UKCloud/openshift-deployment-ansible,5.57,name load vairabl includ var file etcansiblegroup path name env detail name instal bind packag yum name item state latest item bind bindutil name setup firewal dn firewalld servic dn immedi perman zone public state enabl name configur bind listen address replac path path regexp listenon port replac listenon port backup ye name configur bind allow queri replac path path regexp allowqueri localhost replac allowqueri backup ye name enabl bind start servic systemd name name state start enabl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,10.0,34.0,26.0,26.0,26.0,808e7ffc48320a4bf77ac162d3e3cde48fbe08c1,1.0,1504288373.0,1.0,no,roles/dns/tasks/dns_slave.yml,100.0,0.0,26.0,0.0,26.0,26.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,70.0,8.0,0.0,0.0,roles/dns/tasks/dns_slave.yml,UKCloud/openshift-deployment-ansible,5.18,name load vairabl includ var file etcansiblegroup path name env detail name setup slave key templat src templatesslav key path dest path inventori hostnam path hostvar path path key path name add slave dn configur blockinfil block lookup templat templatesslav zone path dest path backup ye inventori hostnam path name set corect selinux permiss seboolean name name write master zone state ye persist ye inventori hostnam path name restart bind systemd name name state restart inventori hostnam path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,10.0,34.0,32.0,16.0,16.0,808e7ffc48320a4bf77ac162d3e3cde48fbe08c1,2.0,1504288373.0,1.0,no,roles/openshiftpostdeployment/tasks/main.yml,100.0,0.0,16.0,0.0,32.0,16.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,48.0,4.0,0.0,0.0,roles/openshiftpostdeployment/tasks/main.yml,UKCloud/openshift-deployment-ansible,4.29,name setup tier storag class file templat src path dest path forc ye backup ye name setup tier storag class file templat src path dest path forc ye backup ye name creat tier class command usrlocalbinoc creat path name creat tier class command usrlocalbinoc creat path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
