avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_authorized_key,num_block_error_handling,num_blocks,num_command_calls,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_regex,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_authorized_key,delta_num_block_error_handling,delta_num_blocks,delta_num_command_calls,delta_num_commands,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_file_exists,delta_num_file_mode,delta_num_file_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_parameters,delta_num_paths,delta_num_plays,delta_num_regex,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_uri,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,4.0,4.0,23.0,11.0,11.0,11.0,38fdb0b6833a5e82fba9f01aa1e24bbdfa78ffd4,1.0,1541332688.0,1.0,0.0,tasks/install.yml,100.0,2.0,8.0,0.0,11.0,11.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,32.0,3.0,0.0,0.0,0.0,tasks/install.yml,anmoel/ansible-role-kubernetes,4.43,name ensur depend instal packag namecurl statepres name instal kubernet packag packag name path default item state path default present notifi restart kubelet item kubernet packag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,4.0,23.0,42.0,8.0,27.0,38fdb0b6833a5e82fba9f01aa1e24bbdfa78ffd4,5.0,1541332688.0,1.0,0.0,tasks/master.yml,100.0,7.0,34.0,0.0,55.0,11.0,27.0,13.0,3.0,8.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,2.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,123.0,6.0,0.0,0.0,3.0,tasks/master.yml,anmoel/ansible-role-kubernetes,6.03,name ensur folder pkietcd exist file state directori path etckubernetespkietcd name get path file first etcd node deleg path slurp src item item path path regist etcd apiserv cert regist name copi etcd cert file master node copi content path bdecod dest path item etcd cert path etcd apiserv cert path name run preflight check command kubeadm alpha phase preflight master config path inventori hostnam path master regist master preflight regist chang fail name initi first master command kubeadm init config path inventori hostnam path master master preflight path regist init output debug varinit output inventori hostnam path master name inclus cent prepar task includ path path master length inventori hostnam path master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,24.0,4.0,23.0,29.0,10.0,49.0,38fdb0b6833a5e82fba9f01aa1e24bbdfa78ffd4,3.0,1541332688.0,1.0,0.0,meta/main.yml,100.0,3.0,23.0,1.0,57.0,19.0,49.0,28.0,9.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.0,1.0,0.0,0.0,0.0,meta/main.yml,anmoel/ansible-role-kubernetes,5.36,galaxi info author andré möller descript role instal high avail non high avail kubernet cluster kubeadm licens apach licens min ansibl version github branch master platform name ubuntu version xenial bionic galaxi tag kubeadm kubernet kubectl docker develop web system orchestr depend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,4.0,23.0,105.0,21.0,60.0,38fdb0b6833a5e82fba9f01aa1e24bbdfa78ffd4,5.0,1541332688.0,1.0,0.0,tasks/master-ha.yml,100.0,14.0,87.0,3.0,132.0,26.0,60.0,27.0,5.0,17.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,13.0,10.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,0.0,5.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0,300.0,15.0,0.0,0.0,4.0,tasks/master-ha.yml,anmoel/ansible-role-kubernetes,6.24,name get config file primari master deleg path master slurp src item item path path path path path path path regist master cert config regist name copi config file master copi content path bdecod dest path item master cert config path name check master cert exist stat path item regist master cert result item path path path path path path name gen cert master node command kubeadm alpha phase cert config path master cert path path master cert path path master cert path path master cert path path master cert path path master cert path path name write kubelet config master node command kubeadm alpha phase kubelet config writetodisk config path chang name inclus bug work around includ path name write kubelet systemd file master node command kubeadm alpha phase kubeconfig kubelet config path chang name ensur kubelet start enabl boot servic name kubelet state start enabl name check master admin conf exist stat path item regist master conf result item path path path path name write kubeconfig file controlplan master node command kubeadm alpha phase kubeconfig config path master conf path path master conf path path master conf path path master conf path path name check master manifest exist stat path item regist master manifest result item path path path name write controleplan manifest master node command kubeadm alpha phase controlplan config path master manifest path path master manifest path path master manifest path path name annot cri master node command kubeadm alpha phase kubelet config annotatecri config path chang name mark master master node command kubeadm alpha phase markmast config path chang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,4.0,23.0,19.0,10.0,16.0,38fdb0b6833a5e82fba9f01aa1e24bbdfa78ffd4,2.0,1541332688.0,1.0,0.0,tasks/master-ha-bug-workaround.yml,100.0,3.0,15.0,0.0,20.0,10.0,16.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,43.0,3.0,0.0,0.0,0.0,tasks/master-ha-bug-workaround.yml,anmoel/ansible-role-kubernetes,5.0,name copi kubeadmconf copi src path dest path remot src ye chang name replac clusterconfig initi config lineinfil path path regexp kind line kind init configur chang name write kubelet env master node command kubeadm alpha phase kubelet writeenvfil config path chang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,4.0,23.0,25.0,12.0,25.0,38fdb0b6833a5e82fba9f01aa1e24bbdfa78ffd4,2.0,1541332688.0,1.0,1.0,tasks/join.yml,100.0,4.0,20.0,0.0,28.0,14.0,25.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,96.0,5.0,0.0,0.0,2.0,tests/group_vars/k8s_nodes,anmoel/ansible-role-kubernetes,5.51,name check node alreadi cluster deleg path master command kubectl get node kubesystem kubeconfig path name regist get node regist chang name get join command master deleg path master command kubeadm token creat printjoincommand chang node ansibl hostnam get node path line regist join command regist name ensur kubelet stop enabl boot servic name kubelet state stop enabl node ansibl hostnam get node path line name join node cluster command join command path ignorepreflighterror dir avail etckubernetesmanifest node ansibl hostnam get node path line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,4.0,23.0,52.0,7.0,66.0,38fdb0b6833a5e82fba9f01aa1e24bbdfa78ffd4,7.0,1541332688.0,1.0,1.0,tasks/main.yml,100.0,11.0,40.0,0.0,90.0,13.0,66.0,38.0,5.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,35.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,142.0,11.0,0.0,0.0,0.0,tasks/main.yml,anmoel/ansible-role-kubernetes,5.82,name load variabl file base type default found use freeform specifi file includ var item first found ansibl distribut path ansibl famili path path name includ ubuntu prepar task import task path ansibl distribut ubuntu name inclus cent prepar task import task path ansibl distribut cent name includ instal task import task path name ensur folder kubeadm exist file state directori path etckuberneteskubeadm name ensur kubeadm config exist templat src path dest path name includ etcd task includ task path inventori hostnam path name includ master task includ task path inventori hostnam path master name includ network plugin task includ task network path inventori hostnam path master name includ join worker task includ task path inventori hostnam path master inventori hostnam path name includ updat master task includ task updat path inventori hostnam path master tag updat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,4.0,23.0,130.0,65.0,144.0,38fdb0b6833a5e82fba9f01aa1e24bbdfa78ffd4,2.0,1541332688.0,1.0,1.0,tasks/etcd.yml,100.0,20.0,109.0,0.0,153.0,76.0,144.0,23.0,12.0,23.0,3.5,0.0,0.0,0.0,0.0,6.0,6.0,13.0,5.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,7.0,0.0,0.0,27.0,11.0,0.0,0.0,0.0,0.0,0.0,20.0,349.0,21.0,0.0,0.0,9.0,tasks/etcd.yml,anmoel/ansible-role-kubernetes,6.52,name ensur folder pkietcd exist file state directori path etckubernetespkietcd name check path path exist stat path item regist etcd result inventori hostnam path item path path name gener etcdca cert command kubeadm alpha phase cert etcdca path etcd path path etcd path path deleg path run name get config file first etcd node deleg path slurp src item item path path regist etcd cert regist run name copi config file etcd replica node copi content path bdecod dest path item etcd cert path name check path exist stat path item regist etcd server result item path path name gener etcdserv cert command kubeadm alpha phase cert etcdserv path etcd server path path etcd server path path name check path exist stat path item regist etcd peer result item path path name gener etcdpeer cert command kubeadm alpha phase cert etcdpeer path etcd peer path path etcd peer path path name check path exist stat path item regist etcd health result item path path name gener etcdhealthcheckcli cert command kubeadm alpha phase cert etcdhealthcheckcli path etcd health path path etcd health path path name check path exist stat path item regist etcd apicli result item path path name gener etcdapiserveretcdcli cert command kubeadm alpha phase cert apiserveretcdcli path etcd apicli path path etcd apicli path path name check path exist stat path path regist stat result name gener pod manifest file etcd command kubeadm alpha phase etcd local path stat path regist etcd pod result name ensur kubeadm config exist templat src path dest path regist kubelet config file name reload systemd unit arg chang systemd state restart daemon reload name kubelet kubelet config file chang name ensur kubelet start enabl boot servic name kubelet state start enabl name wait etcdclust wait host ansibl ssh host port name test etcd cluster docker contain name etcdctl imag path cleanup ye detach volum etckubernet etckubernet command etcdctl certfil path keyfil path cafil path endpoint http ansibl ssh host clusterhealth chang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,4.0,23.0,11.0,2.0,9.0,38fdb0b6833a5e82fba9f01aa1e24bbdfa78ffd4,6.0,1541332688.0,1.0,0.0,tasks/network_plugin.yml,100.0,2.0,8.0,2.0,25.0,4.0,9.0,14.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,38.0,2.0,0.0,0.0,2.0,tasks/network_plugin.yml,anmoel/ansible-role-kubernetes,4.46,name deploy canal network plugin command kubectl appli kubeconfig path http path regist canal rbac regist chang canal rbac path search creat name deploy canal network plugin command kubectl appli kubeconfig path http path regist canal daemonset regist chang canal daemonset path search creat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,7.0,4.0,23.0,32.0,32.0,32.0,38fdb0b6833a5e82fba9f01aa1e24bbdfa78ffd4,1.0,1541332688.0,1.0,0.0,tasks/prepare-centos.yml,100.0,4.0,27.0,0.0,32.0,32.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,73.0,5.0,0.0,0.0,1.0,tasks/prepare-centos.yml,anmoel/ansible-role-kubernetes,5.54,name add kubernet repositori instal gpg key cent yum repositori name kubernet descript kubernet repositori baseurl http path kubernet yum arch gpgcheck ye enabl ye repo gpgcheck ye gpgkey http path http path name add kubernet gpg key rpm key key item state present regist kubernet rpm key item http path http path name make cach kubernet gpg key chang command yum makecach disablerepo enablerepokubernet kubernet rpm key chang arg warn name disabl selinux cent selinux state disabl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
