avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,1.0,2.0,10.0,7.0,2.0,4.0,58d9a6ada2e14e6a2b0800fc2bd413e2b1baeb83,3.0,1430843185.0,1.0,no,tasks/main.yml,100.0,2.0,9.0,0.0,14.0,5.0,9.0,7.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,52.0,1.0,0.0,0.0,tasks/main.yml,ansistrano/rollback,4.68,name ansistrano check earli adopt fail msg ansistrano custom task path use anymor pleas check document http path ansistrano custom task path defin includ ansistrano symlink task file default path includ path includ ansistrano symlink task file default path includ ansistrano cleanup task file default path includ path includ ansistrano cleanup task file default path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,2.0,10.0,2.0,1.0,2.0,58d9a6ada2e14e6a2b0800fc2bd413e2b1baeb83,3.0,1430843185.0,1.0,no,tasks/cleanup.yml,100.0,0.0,2.0,0.0,5.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1.0,0.0,0.0,tasks/cleanup.yml,ansistrano/rollback,3.77,name ansistrano remov rollback version file stateabs path ansistrano deploy ansistrano version dir ansistrano current releas path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,2.0,10.0,22.0,22.0,22.0,58d9a6ada2e14e6a2b0800fc2bd413e2b1baeb83,1.0,1430843185.0,1.0,no,tasks/symlink.yml,100.0,5.0,17.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,135.0,6.0,0.0,4.0,tasks/rollback.yml,ansistrano/rollback,5.71,name ansistrano get releas path command echo ansistrano deploy ansistrano version dir regist ansistrano releas path name ansistrano get number releas shell echo ansistrano releas path regist ansistrano version count name ansistrano check one releas fail msg could rollback code prior releas ansistrano version path name ansistrano get current releas version shell echo ansistrano deploy ansistrano version dir head regist ansistrano current releas version name ansistrano get previou releas version shell echo ansistrano deploy ansistrano version dir head tail regist ansistrano previou releas version name ansistrano chang web softlink current releas previou one file statelink path ansistrano deploy ansistrano current dir src ansistrano deploy ansistrano version dir ansistrano previou releas path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,45.0,2.0,10.0,0.0,0.0,0.0,58d9a6ada2e14e6a2b0800fc2bd413e2b1baeb83,1.0,1430843185.0,1.0,no,meta/main.yml,100.0,0.0,44.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,74.0,11.0,0.0,0.0,meta/main.yml,ansistrano/rollback,4.67,galaxi info author ansistrano descript ansibl role rollback script applic like php python rubi etc capistrano style compani ansistrano licens mit min ansibl version platform name version name gener unix version name fedora version name opensus version name amazon version name gener bsd version name free bsd version name ubuntu version name sle version name gener linux version name debian version categori cloud web depend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,2.0,5.0,0.0,0.0,0.0,3ed410d8c5bd0f565d36ab0e804a05f6c7e5f321,0.0,1446120592.0,0.0,no,tasks/main.yml,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,52.0,1.0,0.0,0.0,tasks/main.yml,ansistrano/rollback,4.68,name ansistrano check earli adopt fail msg ansistrano custom task path use anymor pleas check document http path ansistrano custom task path defin includ ansistrano symlink task file default path includ path includ ansistrano symlink task file default path includ ansistrano cleanup task file default path includ path includ ansistrano cleanup task file default path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,2.0,5.0,1.0,0.0,1.0,3ed410d8c5bd0f565d36ab0e804a05f6c7e5f321,2.0,1446120592.0,2.0,no,tasks/cleanup.yml,60.0,0.0,3.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,1.0,0.0,0.0,tasks/cleanup.yml,ansistrano/rollback,4.0,name ansistrano remov roll back version file stateabs path ansistrano releas path ansistrano current releas path ansistrano remov roll back,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.23
0.0,3.0,2.0,5.0,0.0,0.0,0.0,3ed410d8c5bd0f565d36ab0e804a05f6c7e5f321,2.0,1446120592.0,2.0,no,tasks/symlink.yml,75.0,5.0,17.0,0.0,4.0,2.0,3.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,130.0,6.0,0.0,4.0,tasks/rollback.yml,ansistrano/rollback,5.76,name ansistrano get releas path command echo ansistrano deploy ansistrano version dir regist ansistrano releas path name ansistrano get number releas shell echo ansistrano releas path regist ansistrano version count name ansistrano check one releas fail msg could roll back code prior releas ansistrano version path name ansistrano get current releas version shell echo ansistrano releas path head regist ansistrano current releas version name ansistrano get previou releas version shell echo ansistrano releas path head tail regist ansistrano previou releas version name ansistrano chang web softlink current releas previou one file statelink path ansistrano deploy ansistrano current dir src ansistrano releas path ansistrano previou releas path,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.05
0.0,45.0,2.0,5.0,0.0,0.0,0.0,3ed410d8c5bd0f565d36ab0e804a05f6c7e5f321,1.0,1446120592.0,1.0,no,meta/main.yml,100.0,0.0,44.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0,11.0,0.0,0.0,meta/main.yml,ansistrano/rollback,4.71,galaxi info author ansistrano descript ansibl role roll back script applic like php python rubi etc capistrano style compani ansistrano licens mit min ansibl version platform name version name gener unix version name fedora version name opensus version name amazon version name gener bsd version name free bsd version name ubuntu version name sle version name gener linux version name debian version categori cloud web depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04
0.0,1.0,2.0,5.0,4.0,4.0,4.0,bd422d841b3e09e55b08859f58b07124da6d5f95,1.0,1448882471.0,1.0,no,tasks/main.yml,100.0,3.0,12.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,66.0,1.0,0.0,0.0,tasks/main.yml,ansistrano/rollback,4.58,name ansistrano check earli adopt fail msg ansistrano custom task path use anymor pleas check document http path ansistrano custom task path defin includ ansistrano setup task file default path includ path includ ansistrano setup task file default path includ ansistrano symlink task file default path includ path includ ansistrano symlink task file default path includ ansistrano cleanup task file default path includ path includ ansistrano cleanup task file default path,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,-0.1
0.0,4.0,2.0,5.0,1.0,1.0,1.0,bd422d841b3e09e55b08859f58b07124da6d5f95,1.0,1448882471.0,1.0,no,tasks/cleanup.yml,100.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,1.0,0.0,0.0,tasks/cleanup.yml,ansistrano/rollback,4.0,name ansistrano remov roll back version file stateabs path ansistrano releas path ansistrano current releas path ansistrano remov roll back,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
