avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_authorized_key,num_block_error_handling,num_blocks,num_command_calls,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_regex,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_authorized_key,delta_num_block_error_handling,delta_num_blocks,delta_num_command_calls,delta_num_commands,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_file_exists,delta_num_file_mode,delta_num_file_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_parameters,delta_num_paths,delta_num_plays,delta_num_regex,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_uri,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,14.0,3.0,32.0,15.0,15.0,15.0,12a9686a1f647752204a51baf71e2e331f8b5cb8,1.0,1460036408.0,1.0,0.0,meta/main.yml,100.0,0.0,14.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,1.0,0.0,0.0,0.0,roles/queue/tasks/main.yml,caktus/tequila-common,4.7,galaxi info author caktu consult group llc descript django project deploy common compani caktu consult group llc licens bsd min ansibl version platform name ubuntu version galaxi tag django instal web depend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,3.0,32.0,128.0,10.0,56.0,12a9686a1f647752204a51baf71e2e331f8b5cb8,13.0,1460036408.0,3.0,1.0,tasks/main.yml,93.12,20.0,104.0,4.0,173.0,13.0,56.0,45.0,3.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,302.0,20.0,0.0,0.0,0.0,roles/common/tasks/main.yml,caktus/tequila-common,6.36,name instal base packag apt pkg item statepres item pythonsoftwareproperti dpkgdev wget buildessenti vim byobu ntp sudo ufw failban opensshcli opensshserv rsync includ path new relic licens key defin name ensur admin login group present group name item statepres systemy item admin login name allow admin group user sudo copi srcadmin path ownerroot mode name allow ssh firewal ufw ruleallow portssh name ensur ufw turn ufw stateen policydeni name ensur failban turn servic namefailban statestart name configur failban copi path path ownerroot mode notifi restart failban name add github ssh known host known host pathetcsshssh known host path key lookup file path name set local utf lineinfil line item destetcdefaultlocal statepres createy ownerroot mode item allen path langen path name ensur dev user present user name path shellbinbash groupsadmin login appendy item user name add ssh key dev user author key user path key item subel user public key name configur sshd copi srcsshd config destetcsshsshd config ownerroot mode notifi restart sshd name creat project user user name project name homehom project name shellbinbash groupswwwdata appendy name creat project root directori file path root dir statedirectori owner project name group project name mode name creat log directori file path log dir statedirectori owner project name groupwwwdata mode name creat public directori file path public dir statedirectori owner project name groupwwwdata mode name static dir file path static dir statedirectori mode group project name owner project name name media dir file path media dir statedirectori mode group project name owner project name name creat user ssh directori file path ssh dir statedirectori owner project name group project name mode name creat ssl directori file path ssl dir statedirectori owner project name group project name mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,3.0,32.0,19.0,19.0,19.0,12a9686a1f647752204a51baf71e2e331f8b5cb8,1.0,1460036408.0,1.0,0.0,tasks/newrelic.yml,100.0,4.0,14.0,0.0,19.0,19.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,49.0,5.0,0.0,0.0,0.0,tasks/newrelic.yml,caktus/tequila-common,4.82,name option add newrel repo apt repositori repo deb http path newrel nonfre statepres name add newrel repo key apt key url http path statepres name option instal newrel system monitor apt pkgnewrelicsysmond statelatest name configur newrel system monitor templat path path ownernewrel groupnewrel mode name ensur newrel run servic namenewrelicsysmond statestart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,3.0,32.0,6.0,2.0,6.0,12a9686a1f647752204a51baf71e2e331f8b5cb8,4.0,1460036408.0,3.0,0.0,handlers/main.yml,75.0,1.0,4.0,0.0,7.0,2.0,6.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,2.0,0.0,0.0,0.0,roles/common/handlers/main.yml,caktus/tequila-common,2.92,name restart sshd servic namessh staterestart name restart failban servic namefailban staterestart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,14.0,2.0,3.0,0.0,0.0,0.0,9889391ef0a840688f597772bc112bbac419042a,0.0,1477602190.0,0.0,0.0,meta/main.yml,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,1.0,0.0,0.0,0.0,roles/queue/tasks/main.yml,caktus/tequila-common,4.7,galaxi info author caktu consult group llc descript django project deploy common compani caktu consult group llc licens bsd min ansibl version platform name ubuntu version galaxi tag django instal web depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,2.0,3.0,5.0,2.0,3.0,9889391ef0a840688f597772bc112bbac419042a,3.0,1477602190.0,1.0,1.0,tasks/main.yml,100.0,21.0,107.0,5.0,17.0,6.0,9.0,12.0,4.0,7.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,52.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,329.0,21.0,0.0,0.0,0.0,roles/common/tasks/main.yml,caktus/tequila-common,6.51,name instal base packag apt pkg item statepres updatecachey cach valid time item pythonsoftwareproperti dpkgdev wget buildessenti vim byobu ntp sudo ufw failban opensshcli opensshserv rsync includ path use newrel name ensur admin login group present group name item statepres systemy item admin login name allow admin group user sudo copi srcadmin path ownerroot mode name allow ssh firewal ufw ruleallow portssh name ensur ufw turn ufw stateen policydeni name ensur failban turn servic namefailban statestart name configur failban copi path path ownerroot mode notifi restart failban name add github ssh known host known host pathetcsshssh known host path key lookup file path name set local utf lineinfil line item destetcdefaultlocal statepres createy ownerroot mode item allen path langen path name check project user configur fail msg pleas defin one develop user variabl user name ensur dev user present user name path shellbinbash groupsadmin login appendy item user name add ssh key dev user author key user path key item subel user public key name configur sshd copi srcsshd config destetcsshsshd config ownerroot mode notifi restart sshd name creat project user user name project name homehom project name shellbinbash groupswwwdata appendy name creat project root directori file path root dir statedirectori owner project name group project name mode name creat log directori file path log dir statedirectori owner project name groupwwwdata mode name creat public directori file path public dir statedirectori owner project name groupwwwdata mode name static dir file path static dir statedirectori mode group project name owner project name name media dir file path media dir statedirectori mode group project name owner project name name creat user ssh directori file path ssh dir statedirectori owner project name group project name mode name creat ssl directori file path ssl dir statedirectori owner project name group project name mode,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,1.0,0.0,0.0,0.0,0.15
0.0,2.0,2.0,3.0,0.0,0.0,0.0,9889391ef0a840688f597772bc112bbac419042a,0.0,1477602190.0,0.0,0.0,tasks/newrelic.yml,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,49.0,5.0,0.0,0.0,0.0,tasks/newrelic.yml,caktus/tequila-common,4.82,name option add newrel repo apt repositori repo deb http path newrel nonfre statepres name add newrel repo key apt key url http path statepres name option instal newrel system monitor apt pkgnewrelicsysmond statelatest name configur newrel system monitor templat path path ownernewrel groupnewrel mode name ensur newrel run servic namenewrelicsysmond statestart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,2.0,3.0,0.0,0.0,0.0,9889391ef0a840688f597772bc112bbac419042a,0.0,1477602190.0,0.0,0.0,handlers/main.yml,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,2.0,0.0,0.0,0.0,roles/common/handlers/main.yml,caktus/tequila-common,2.92,name restart sshd servic namessh staterestart name restart failban servic namefailban staterestart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,14.0,1.0,2.0,0.0,0.0,0.0,60ff2b54645204b898d651ba639eec0ad16ebcb9,0.0,1489761258.0,0.0,0.0,meta/main.yml,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,1.0,0.0,0.0,0.0,roles/queue/tasks/main.yml,caktus/tequila-common,4.7,galaxi info author caktu consult group llc descript django project deploy common compani caktu consult group llc licens bsd min ansibl version platform name ubuntu version galaxi tag django instal web depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,1.0,2.0,9.0,2.0,4.0,60ff2b54645204b898d651ba639eec0ad16ebcb9,5.0,1489761258.0,1.0,1.0,tasks/main.yml,100.0,23.0,114.0,5.0,11.0,2.0,4.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,56.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,347.0,22.0,0.0,0.0,0.0,roles/common/tasks/main.yml,caktus/tequila-common,6.6,name instal base packag apt pkg item statepres updatecachey cach valid time item pythonsoftwareproperti dpkgdev wget buildessenti vim byobu ntp sudo ufw postfix failban opensshcli opensshserv rsync apttransporthttp lsof includ path use newrel name ensur admin login group present group name item statepres systemy item admin login name allow admin group user sudo copi srcadmin path ownerroot mode name allow ssh firewal ufw ruleallow portssh name ensur ufw turn ufw stateen policydeni name ensur postfix turn servic namepostfix statestart name ensur failban turn servic namefailban statestart name configur failban copi path path ownerroot mode notifi restart failban name add github ssh known host known host pathetcsshssh known host path key lookup file path name set local utf lineinfil line item destetcdefaultlocal statepres createy ownerroot mode item allen path langen path name check project user configur fail msg pleas defin one develop user variabl user name ensur dev user present user name path shellbinbash groupsadmin login appendy item user includ path env name local name add ssh key dev user author key user path key item subel user public key name configur sshd copi srcsshd config destetcsshsshd config ownerroot mode notifi restart sshd name creat project user user name project name homehom project name shellbinbash groupswwwdata appendy name creat project root directori file path root dir statedirectori owner project name group project name mode name creat log directori file path log dir statedirectori owner project name groupwwwdata mode name creat public directori file path public dir statedirectori owner project name groupwwwdata mode name static dir file path static dir statedirectori mode group project name owner project name name media dir file path media dir statedirectori mode group project name owner project name name creat user ssh directori file path ssh dir statedirectori owner project name group project name mode name creat ssl directori file path ssl dir statedirectori owner project name group project name mode,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,1.0,0.0,0.0,0.0,0.09
