avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,3.0,2.0,2.0,0.0,0.0,0.0,372ae24f5636958f0fbfd2d38762a3f06510b60a,0.0,1466267388.0,0.0,no,tasks/setup_gitbook.yml,0.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,2.0,0.0,0.0,chusiang/gitbook.ansible.role,3.56,name instal gitbook npm becom ye npm namegitbookcli globaly name instal necessari packag gitbook becom ye raw gitbook instal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,2.0,2.0,0.0,0.0,0.0,372ae24f5636958f0fbfd2d38762a3f06510b60a,0.0,1466267388.0,0.0,no,tasks/setup_node.yml,0.0,5.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,44.0,4.0,0.0,0.0,chusiang/gitbook.ansible.role,4.07,name updat npm npm becom ye npm namenpm globaly ignor error ye name clean npm cach becom ye command npm cach clean name instal npm becom ye npm namen globaly name switch node stabl edit becom ye command stabl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,15.0,2.0,2.0,21.0,21.0,21.0,372ae24f5636958f0fbfd2d38762a3f06510b60a,1.0,1466267388.0,1.0,no,meta/main.yml,100.0,2.0,15.0,4.0,21.0,21.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,0.0,0.0,chusiang/gitbook.ansible.role,4.44,galaxi info author chusiang descript instal gitbook everyway licens mit min ansibl version platform name ubuntu version trusti galaxi tag gitbook node npm ubuntu depend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,2.0,2.0,0.0,0.0,0.0,372ae24f5636958f0fbfd2d38762a3f06510b60a,0.0,1466267388.0,0.0,no,tasks/main.yml,0.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,3.0,0.0,0.0,chusiang/gitbook.ansible.role,3.94,name instal necessari packag apt includ use path ansibl pkg mgr apt name setup node includ setup path name setup gitbook includ setup path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,2.0,2.0,0.0,0.0,0.0,372ae24f5636958f0fbfd2d38762a3f06510b60a,0.0,1466267388.0,0.0,no,tasks/use_apt.yml,0.0,3.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,27.0,2.0,0.0,0.0,chusiang/gitbook.ansible.role,4.24,name updat apt repo cach becom ye apt updat cachey name instal packag apt becom ye apt name item statelatest item buildessenti git nodej nodejslegaci npm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,1.0,2.0,0.0,0.0,0.0,5f60bac6c49bef6d27f352994b0835dd0d96e368,0.0,1466272924.0,0.0,no,tasks/setup_gitbook.yml,0.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,2.0,0.0,0.0,chusiang/gitbook.ansible.role,3.56,name instal gitbook npm becom ye npm namegitbookcli globaly name instal necessari packag gitbook becom ye raw gitbook instal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,1.0,2.0,0.0,0.0,0.0,5f60bac6c49bef6d27f352994b0835dd0d96e368,0.0,1466272924.0,0.0,no,tasks/setup_node.yml,0.0,5.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,44.0,4.0,0.0,0.0,chusiang/gitbook.ansible.role,4.07,name updat npm npm becom ye npm namenpm globaly ignor error ye name clean npm cach becom ye command npm cach clean name instal npm becom ye npm namen globaly name switch node stabl edit becom ye command stabl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,16.0,1.0,2.0,1.0,1.0,1.0,5f60bac6c49bef6d27f352994b0835dd0d96e368,1.0,1466272924.0,1.0,no,meta/main.yml,100.0,2.0,16.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,1.0,0.0,0.0,chusiang/gitbook.ansible.role,4.5,galaxi info author chusiang descript instal gitbook everyway licens mit min ansibl version platform name ubuntu version trusti galaxi tag gitbook markdown node npm ubuntu depend,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.06
0.0,2.0,1.0,2.0,0.0,0.0,0.0,5f60bac6c49bef6d27f352994b0835dd0d96e368,0.0,1466272924.0,0.0,no,tasks/main.yml,0.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,3.0,0.0,0.0,chusiang/gitbook.ansible.role,3.94,name instal necessari packag apt includ use path ansibl pkg mgr apt name setup node includ setup path name setup gitbook includ setup path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,1.0,2.0,1.0,1.0,1.0,5f60bac6c49bef6d27f352994b0835dd0d96e368,1.0,1466272924.0,1.0,no,tasks/use_apt.yml,100.0,3.0,13.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,2.0,0.0,0.0,chusiang/gitbook.ansible.role,4.31,name updat apt repo cach becom ye apt updat cachey name instal packag apt becom ye apt name item statelatest item buildessenti curl git nodej nodejslegaci npm,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07
