avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_authorized_key,num_block_error_handling,num_blocks,num_command_calls,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_regex,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_authorized_key,delta_num_block_error_handling,delta_num_blocks,delta_num_command_calls,delta_num_commands,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_file_exists,delta_num_file_mode,delta_num_file_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_parameters,delta_num_paths,delta_num_plays,delta_num_regex,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_uri,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,7.0,13.0,13.0,100.0,100.0,100.0,66c0f274ad6d0906d82920c29729456f1929c58d,1.0,1494924507.0,1.0,0.0,tasks/main.yml,100.0,11.0,87.0,1.0,100.0,100.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,2.0,0.0,3.0,44.0,13.0,0.0,0.0,0.0,0.0,0.0,12.0,243.0,16.0,0.0,0.0,1.0,tasks/main.yml,cloudalchemy/ansible-blackbox-exporter,5.88,name instal need packag packag name item state latest item curl tar bzip name creat blackbox export system group group name blackbox export group system ye state present name creat blackbox export system user user name blackbox export user system ye shell sbinnologin group blackbox export group createhom name creat blackbox export directori file path item state directori owner blackbox export user group blackbox export group mode item blackbox export root dir blackbox export dist dir blackbox export log dir name download blackbox export binari local folder becom get url url blackbox export url dest tmpblackbox export blackbox export version path valid cert run deleg localhost name propag blackbox export binari copi src tmpblackbox export blackbox export version path dest blackbox export dist dir name unarch binari tarbal unarch copi src blackbox export dist dir blackbox export releas name path dest blackbox export dist dir creat blackbox export dist dir blackbox export releas name blackbox export regist blackbox export updat notifi restart blackbox export name updat group owner file file path blackbox export releas name state directori recurs ye owner blackbox export user group blackbox export group blackbox export updat chang name creat symlink current releas file src blackbox export dist dir blackbox export releas name path blackbox export root dir current state link name creat systemd servic unit templat src etcsystemdsystemblackbox path dest etcsystemdsystemblackbox path owner root group root mode notifi restart blackbox export name copi blackbox config file copi src blackbox path dest blackbox export config file owner blackbox export user group blackbox export group mode notifi reload blackbox export name ensur blackbox export servic enabl servic name blackbox export enabl ye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,16.0,13.0,13.0,21.0,21.0,21.0,66c0f274ad6d0906d82920c29729456f1929c58d,1.0,1494924507.0,1.0,1.0,meta/main.yml,100.0,2.0,16.0,2.0,21.0,21.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,2.0,0.0,0.0,0.0,meta/main.yml,cloudalchemy/ansible-blackbox-exporter,4.48,galaxi info author roman demachkovych descript deploy blackbox export compani sointeract min ansibl version platform name version name ubuntu version galaxi tag blackbox export monitor prometheu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,13.0,13.0,11.0,11.0,11.0,66c0f274ad6d0906d82920c29729456f1929c58d,1.0,1494924507.0,1.0,0.0,handlers/main.yml,100.0,2.0,8.0,0.0,11.0,11.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,2.0,0.0,0.0,0.0,handlers/main.yml,cloudalchemy/ansible-blackbox-exporter,2.75,name restart blackbox export servic name blackbox export state restart name reload blackbox export servic name blackbox export state reload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,18.0,8.0,13.0,-1.0,-1.0,-1.0,effe08bcbf4639775913a088c04feca682c40eff,1.0,1496687202.0,1.0,1.0,meta/main.yml,100.0,1.0,18.0,0.0,12.0,12.0,12.0,13.0,13.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,2.0,0.0,0.0,0.0,meta/main.yml,cloudalchemy/ansible-blackbox-exporter,4.66,galaxi info author roman demachkovych descript deploy blackbox export compani sointeract licens mit min ansibl version platform name ubuntu version xenial name version galaxi tag blackbox export monitor prometheu depend,0.0,2.0,-1.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.18
0.0,7.0,8.0,13.0,0.0,0.0,0.0,effe08bcbf4639775913a088c04feca682c40eff,1.0,1496687202.0,1.0,0.0,tasks/main.yml,100.0,10.0,79.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,1.0,0.0,2.0,42.0,13.0,0.0,0.0,0.0,0.0,0.0,11.0,228.0,14.0,0.0,0.0,1.0,tasks/main.yml,cloudalchemy/ansible-blackbox-exporter,5.79,name creat blackbox export system group group name blackbox export group system ye state present name creat blackbox export system user user name blackbox export user system ye shell sbinnologin group blackbox export group createhom name creat blackbox export directori file path item state directori owner blackbox export user group blackbox export group mode item blackbox export root dir blackbox export dist dir blackbox export log dir name download blackbox export binari local folder becom get url url blackbox export url dest tmpblackbox export blackbox export version path valid cert run deleg localhost name propag blackbox export binari copi src tmpblackbox export blackbox export version path dest blackbox export dist dir name unarch binari tarbal unarch copi src blackbox export dist dir blackbox export releas name path dest blackbox export dist dir creat blackbox export dist dir blackbox export releas name blackbox export regist blackbox export updat notifi restart blackbox export name updat group owner file file path blackbox export releas name state directori recurs ye owner blackbox export user group blackbox export group blackbox export updat chang name creat symlink current releas file src blackbox export dist dir blackbox export releas name path blackbox export root dir current state link name creat systemd servic unit templat src etcsystemdsystemblackbox path dest etcsystemdsystemblackbox path owner root group root mode notifi restart blackbox export name copi blackbox config file copi src blackbox path dest blackbox export config file owner blackbox export user group blackbox export group mode notifi reload blackbox export name ensur blackbox export servic enabl servic name blackbox export enabl ye,0.0,0.0,-1.0,-8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,-1.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-15.0,-2.0,0.0,0.0,0.0,-0.09
0.0,4.0,8.0,13.0,0.0,0.0,0.0,effe08bcbf4639775913a088c04feca682c40eff,0.0,1496687202.0,0.0,0.0,handlers/main.yml,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,2.0,0.0,0.0,0.0,handlers/main.yml,cloudalchemy/ansible-blackbox-exporter,2.75,name restart blackbox export servic name blackbox export state restart name reload blackbox export servic name blackbox export state reload,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,18.0,1.0,1.0,0.0,0.0,0.0,39c9a13b856e492d38f6cab806fc9dfbc033596f,0.0,1497439029.0,0.0,1.0,meta/main.yml,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,2.0,0.0,0.0,0.0,meta/main.yml,cloudalchemy/ansible-blackbox-exporter,4.66,galaxi info author roman demachkovych descript deploy blackbox export compani sointeract licens mit min ansibl version platform name ubuntu version xenial name version galaxi tag blackbox export monitor prometheu depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,1.0,1.0,0.0,0.0,0.0,39c9a13b856e492d38f6cab806fc9dfbc033596f,0.0,1497439029.0,0.0,0.0,tasks/main.yml,0.0,10.0,79.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,1.0,0.0,2.0,42.0,13.0,0.0,0.0,0.0,0.0,0.0,11.0,228.0,14.0,0.0,0.0,1.0,tasks/main.yml,cloudalchemy/ansible-blackbox-exporter,5.79,name creat blackbox export system group group name blackbox export group system ye state present name creat blackbox export system user user name blackbox export user system ye shell sbinnologin group blackbox export group createhom name creat blackbox export directori file path item state directori owner blackbox export user group blackbox export group mode item blackbox export root dir blackbox export dist dir blackbox export log dir name download blackbox export binari local folder becom get url url blackbox export url dest tmpblackbox export blackbox export version path valid cert run deleg localhost name propag blackbox export binari copi src tmpblackbox export blackbox export version path dest blackbox export dist dir name unarch binari tarbal unarch copi src blackbox export dist dir blackbox export releas name path dest blackbox export dist dir creat blackbox export dist dir blackbox export releas name blackbox export regist blackbox export updat notifi restart blackbox export name updat group owner file file path blackbox export releas name state directori recurs ye owner blackbox export user group blackbox export group blackbox export updat chang name creat symlink current releas file src blackbox export dist dir blackbox export releas name path blackbox export root dir current state link name creat systemd servic unit templat src etcsystemdsystemblackbox path dest etcsystemdsystemblackbox path owner root group root mode notifi restart blackbox export name copi blackbox config file copi src blackbox path dest blackbox export config file owner blackbox export user group blackbox export group mode notifi reload blackbox export name ensur blackbox export servic enabl servic name blackbox export enabl ye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,1.0,1.0,0.0,0.0,0.0,39c9a13b856e492d38f6cab806fc9dfbc033596f,0.0,1497439029.0,0.0,0.0,handlers/main.yml,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,2.0,0.0,0.0,0.0,handlers/main.yml,cloudalchemy/ansible-blackbox-exporter,2.75,name restart blackbox export servic name blackbox export state restart name reload blackbox export servic name blackbox export state reload,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,18.0,2.0,4.0,0.0,0.0,0.0,f3b74a3e4c1502c077bfbdd86c0f3c25c8985c9a,0.0,1500450396.0,0.0,1.0,meta/main.yml,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,2.0,0.0,0.0,0.0,meta/main.yml,cloudalchemy/ansible-blackbox-exporter,4.66,galaxi info author roman demachkovych descript deploy blackbox export compani sointeract licens mit min ansibl version platform name ubuntu version xenial name version galaxi tag blackbox export monitor prometheu depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
