avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,fixing_commit,fixing_filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,release_end,release_start,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,3.0,6.0,12.0,27.0,27.0,27.0,381fe5c7192568b07d03bc23092db05c7a7c3a89,1.0,1414844685.0,1.0,no,tasks/main.yml,0378b69adac0a357db4c80ea82aa58534f173fbc,tasks/main.yml,100.0,5.0,20.0,1.0,27.0,27.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,51.0,3.0,0.0,0.0,381fe5c7192568b07d03bc23092db05c7a7c3a89,6d883294b85bce1f24965ffcbdf3b5073672f2d5,dj-wasabi/ansible-zabbix-agent,4.84,name instal correct repositori includ red path ansibl famili red hat name instal correct repositori includ path ansibl famili debian name configur zabbixag templat srczabbix path destetczabbixzabbix path ownerzabbix groupzabbix mode notifi zabbixag restart name creat includ dir zabbixag file path agent includ ownerzabbix groupzabbix statedirectori name includ path includ path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,4.0,8.0,4.0,4.0,4.0,9fb3b8d40d059a0a750ee4b0baabba251324bc54,1.0,1415210742.0,1.0,no,tasks/main.yml,0378b69adac0a357db4c80ea82aa58534f173fbc,tasks/main.yml,100.0,6.0,23.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,64.0,3.0,0.0,0.0,9fb3b8d40d059a0a750ee4b0baabba251324bc54,6b5edcdbe4c1afd4c8daceeea651321b7fb7cf00,dj-wasabi/ansible-zabbix-agent,4.93,name instal correct repositori includ red path ansibl famili red hat name instal correct repositori includ path ansibl famili debian name instal correct repositori includ path ansibl famili suse name configur zabbixag templat srczabbix path destetczabbixzabbix path ownerzabbix groupzabbix mode notifi zabbix agent restart name creat includ dir zabbixag file path agent includ ownerzabbix groupzabbix statedirectori name includ path includ path,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.09
0.0,3.0,8.0,8.0,0.0,0.0,0.0,f2c21b6c9bf4fef13ffeea2163c7012368172a1c,1.0,1422794964.0,1.0,no,tasks/main.yml,0378b69adac0a357db4c80ea82aa58534f173fbc,tasks/main.yml,100.0,6.0,23.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,64.0,3.0,0.0,0.0,f2c21b6c9bf4fef13ffeea2163c7012368172a1c,f2c21b6c9bf4fef13ffeea2163c7012368172a1c,dj-wasabi/ansible-zabbix-agent,4.93,name instal correct repositori includ red path ansibl famili red hat name instal correct repositori includ path ansibl famili debian name instal correct repositori includ path ansibl famili suse name configur zabbixag templat srczabbix path destetczabbixzabbix path ownerzabbix groupzabbix mode notifi zabbix agent restart name creat includ dir zabbixag file path agent includ ownerzabbix groupzabbix statedirectori name includ path includ path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,3.0,7.0,41.0,20.0,39.0,e0c2044ac828c0f28b105db132611224f0d77db9,2.0,1425586218.0,1.0,no,tasks/main.yml,0378b69adac0a357db4c80ea82aa58534f173fbc,tasks/main.yml,100.0,9.0,61.0,1.0,43.0,22.0,41.0,2.0,1.0,2.0,1.5,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,208.0,5.0,0.0,0.0,e0c2044ac828c0f28b105db132611224f0d77db9,06acd91fbeb4e1d775ae4e52cb3b7474a402bc4d,dj-wasabi/ansible-zabbix-agent,5.81,name instal correct repositori includ red path ansibl famili red hat name instal correct repositori includ path ansibl famili debian name instal correct repositori includ path ansibl famili suse name configur zabbixag templat srczabbix path destetczabbixzabbix path ownerzabbix groupzabbix mode notifi zabbix agent restart sudo ye name creat includ dir zabbixag file path agent includ ownerzabbix groupzabbix statedirectori sudo ye name creat hostgroup local action modul zabbix group server url zabbix url login user zabbix api user login password zabbix api pass host group zabbix host group state zabbix creat hostgroup name creat new host updat exist host info local action modul zabbix host server url zabbix url login user zabbix api user login password zabbix api pass host name ansibl fqdn host group zabbix host group link templat zabbix link templat statu zabbix host statu state zabbix creat host interfac type main useip zabbix useuip hostvar inventori hostnam ansibl agent listeninterfac ipv path dn ansibl fqdn port agent listenport zabbix api use name updat host configur macro local action modul zabbix hostmacro server url zabbix url login user zabbix api user login password zabbix api pass host name ansibl fqdn macro name path key macro valu path valu item zabbix macro zabbix api use zabbix macro defin path key defin,0.0,4.0,3.0,38.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,38.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,144.0,2.0,0.0,0.0,0.88
0.0,7.0,0.0,1.0,1.0,1.0,1.0,159090455b0cd8bd4ba2add2348eab0aae849bcc,1.0,1426786167.0,1.0,no,tasks/main.yml,0378b69adac0a357db4c80ea82aa58534f173fbc,tasks/main.yml,100.0,9.0,62.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,55.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,212.0,5.0,0.0,0.0,159090455b0cd8bd4ba2add2348eab0aae849bcc,245269975c824923b203930a2e718bb32e135f6b,dj-wasabi/ansible-zabbix-agent,5.81,name instal correct repositori includ red path ansibl famili red hat name instal correct repositori includ path ansibl famili debian name instal correct repositori includ path ansibl famili suse name configur zabbixag templat srczabbix path destetczabbixzabbix path ownerzabbix groupzabbix mode notifi zabbix agent restart sudo ye name creat includ dir zabbixag file path agent includ ownerzabbix groupzabbix statedirectori sudo ye name creat hostgroup local action modul zabbix group server url zabbix url login user zabbix api user login password zabbix api pass host group zabbix host group state zabbix creat hostgroup zabbix api use name creat new host updat exist host info local action modul zabbix host server url zabbix url login user zabbix api user login password zabbix api pass host name ansibl fqdn host group zabbix host group link templat zabbix link templat statu zabbix host statu state zabbix creat host interfac type main useip zabbix useuip hostvar inventori hostnam ansibl agent listeninterfac ipv path dn ansibl fqdn port agent listenport zabbix api use name updat host configur macro local action modul zabbix hostmacro server url zabbix url login user zabbix api user login password zabbix api pass host name ansibl fqdn macro name path key macro valu path valu item zabbix macro zabbix api use zabbix macro defin path key defin,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
0.0,7.0,1.0,7.0,0.0,0.0,0.0,1841d957a2b892233bccf6af2ea036e96f1d5efc,0.0,1440520745.0,0.0,no,tasks/main.yml,0378b69adac0a357db4c80ea82aa58534f173fbc,tasks/main.yml,0.0,9.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,55.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,212.0,5.0,0.0,0.0,1841d957a2b892233bccf6af2ea036e96f1d5efc,e4115e318c86c04047ad81cde13dba5d622692b7,dj-wasabi/ansible-zabbix-agent,5.81,name instal correct repositori includ red path ansibl famili red hat name instal correct repositori includ path ansibl famili debian name instal correct repositori includ path ansibl famili suse name configur zabbixag templat srczabbix path destetczabbixzabbix path ownerzabbix groupzabbix mode notifi zabbix agent restart sudo ye name creat includ dir zabbixag file path agent includ ownerzabbix groupzabbix statedirectori sudo ye name creat hostgroup local action modul zabbix group server url zabbix url login user zabbix api user login password zabbix api pass host group zabbix host group state zabbix creat hostgroup zabbix api use name creat new host updat exist host info local action modul zabbix host server url zabbix url login user zabbix api user login password zabbix api pass host name ansibl fqdn host group zabbix host group link templat zabbix link templat statu zabbix host statu state zabbix creat host interfac type main useip zabbix useuip hostvar inventori hostnam ansibl agent listeninterfac ipv path dn ansibl fqdn port agent listenport zabbix api use name updat host configur macro local action modul zabbix hostmacro server url zabbix url login user zabbix api user login password zabbix api pass host name ansibl fqdn macro name path key macro valu path valu item zabbix macro zabbix api use zabbix macro defin path key defin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,2.0,6.0,71.0,6.0,20.0,7f4bb12831452f220a71364861c0be9faac0d2a6,11.0,1454259241.0,4.0,no,tasks/main.yml,0378b69adac0a357db4c80ea82aa58534f173fbc,tasks/main.yml,75.68,14.0,128.0,1.0,91.0,8.0,20.0,20.0,2.0,7.0,1.0,2.0,0.0,0.0,0.0,12.0,9.0,0.0,0.0,10.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,89.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,351.0,10.0,0.0,0.0,7f4bb12831452f220a71364861c0be9faac0d2a6,653672921bb95b94d3f5197f94241ba5a2ec1fc9,dj-wasabi/ansible-zabbix-agent,6.34,name instal correct repositori includ red path ansibl famili red hat tag zabbixag init config servic name instal correct repositori includ path ansibl famili debian tag zabbixag init config servic name instal correct repositori includ path ansibl famili suse tag zabbixag init config servic name fail invalid specifi agent listeninterfac fail msg specifi network interfac exist agent listeninterfac agent listeninterfac ansibl interfac tag zabbixag config name get agent listeninterfac agent listenip specifi set fact agent listenip hostvar inventori hostnam ansibl agent listeninterfac ipv path default agent hostvar inventori hostnam ansibl agent listeninterfac ipv path default agent listeninterfac agent listenip tag zabbixag config api name default agent listenip specifi set fact agent listenip agent hostvar inventori hostnam ansibl default ipv path agent listenip tag zabbixag config name fail invalid specifi agent listenip fail msg agent listenip exist agent listenip agent listenip ansibl ipv address tag zabbixag config name configur zabbixag templat srczabbix path destetczabbixzabbix path ownerzabbix groupzabbix mode notifi restart zabbixag sudo ye tag zabbixag config init name creat includ dir zabbixag file path agent includ ownerzabbix groupzabbix statedirectori sudo ye tag config includ name make sure zabbixag servic run servic namezabbixag statestart sudo ye tag init servic name creat hostgroup local action modul zabbix group server url zabbix url login user zabbix api user login password zabbix api pass host group zabbix host group state zabbix creat hostgroup zabbix api use tag api name creat new host updat exist host info local action modul zabbix host server url zabbix url login user zabbix api user login password zabbix api pass host name ansibl fqdn host group zabbix host group link templat zabbix link templat statu zabbix host statu state zabbix creat host interfac type main useip zabbix useuip agent dn ansibl fqdn port agent listenport zabbix api use tag api name updat host configur macro local action modul zabbix hostmacro server url zabbix url login user zabbix api user login password zabbix api pass host name ansibl fqdn macro name path key macro valu path valu item zabbix macro zabbix api use zabbix macro defin path key defin tag api,0.0,2.0,5.0,66.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,139.0,5.0,0.0,0.0,0.53
0.0,9.0,3.0,10.0,3.0,3.0,3.0,cb9ffbca7019b3866f32771380dc434ba23325e4,1.0,1455651924.0,1.0,no,tasks/main.yml,0378b69adac0a357db4c80ea82aa58534f173fbc,tasks/main.yml,100.0,15.0,130.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,9.0,0.0,0.0,11.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,91.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,359.0,11.0,0.0,0.0,cb9ffbca7019b3866f32771380dc434ba23325e4,7cc92496759d72aa077a2d73793618684f9e174e,dj-wasabi/ansible-zabbix-agent,6.38,name includ osspecif variabl includ var ansibl famili path name instal correct repositori includ red path ansibl famili red hat tag zabbixag init config servic name instal correct repositori includ path ansibl famili debian tag zabbixag init config servic name instal correct repositori includ path ansibl famili suse tag zabbixag init config servic name fail invalid specifi agent listeninterfac fail msg specifi network interfac exist agent listeninterfac agent listeninterfac ansibl interfac tag zabbixag config name get agent listeninterfac agent listenip specifi set fact agent listenip hostvar inventori hostnam ansibl agent listeninterfac ipv path default agent hostvar inventori hostnam ansibl agent listeninterfac ipv path default agent listeninterfac agent listenip tag zabbixag config api name default agent listenip specifi set fact agent listenip agent hostvar inventori hostnam ansibl default ipv path agent listenip tag zabbixag config name fail invalid specifi agent listenip fail msg agent listenip exist agent listenip agent listenip ansibl ipv address tag zabbixag config name configur zabbixag templat srczabbix path destetczabbixzabbix path ownerzabbix groupzabbix mode notifi restart zabbixag sudo ye tag zabbixag config init name creat includ dir zabbixag file path agent includ ownerzabbix groupzabbix statedirectori sudo ye tag config includ name make sure zabbixag servic run servic namezabbixag statestart sudo ye tag init servic name creat hostgroup local action modul zabbix group server url zabbix url login user zabbix api user login password zabbix api pass host group zabbix host group state zabbix creat hostgroup zabbix api use tag api name creat new host updat exist host info local action modul zabbix host server url zabbix url login user zabbix api user login password zabbix api pass host name ansibl fqdn host group zabbix host group link templat zabbix link templat statu zabbix host statu state zabbix creat host interfac type main useip zabbix useuip agent dn ansibl fqdn port agent listenport zabbix api use tag api name updat host configur macro local action modul zabbix hostmacro server url zabbix url login user zabbix api user login password zabbix api pass host name ansibl fqdn macro name path key macro valu path valu item zabbix macro zabbix api use zabbix macro defin path key defin tag api,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.04
0.0,9.0,1.0,7.0,-1.0,0.0,0.0,46d978ca4766ef79c2a13737f737db9793ddd4ef,2.0,1463078626.0,2.0,no,tasks/main.yml,0378b69adac0a357db4c80ea82aa58534f173fbc,tasks/main.yml,64.71,14.0,130.0,1.0,8.0,4.0,5.0,9.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0,12.0,9.0,0.0,0.0,11.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,91.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,359.0,11.0,0.0,0.0,46d978ca4766ef79c2a13737f737db9793ddd4ef,035924d75a98bef76a3f2d5defaa1853f20f9b1f,dj-wasabi/ansible-zabbix-agent,6.38,name includ osspecif variabl includ var ansibl famili path name instal correct repositori includ red path ansibl famili red hat tag zabbixag init config servic name instal correct repositori includ path ansibl famili debian tag zabbixag init config servic name instal correct repositori includ path ansibl famili suse tag zabbixag init config servic name fail invalid specifi agent listeninterfac fail msg specifi network interfac exist agent listeninterfac agent listeninterfac ansibl interfac tag zabbixag config name get agent listeninterfac agent listenip specifi set fact agent listenip hostvar inventori hostnam ansibl agent listeninterfac ipv path default agent hostvar inventori hostnam ansibl agent listeninterfac ipv path default agent listeninterfac agent listenip tag zabbixag config api name default agent listenip specifi set fact agent listenip agent hostvar inventori hostnam ansibl default ipv path agent listenip tag zabbixag config name fail invalid specifi agent listenip fail msg agent listenip exist agent listenip agent listenip ansibl ipv address tag zabbixag config name configur zabbixag templat srczabbix path destetczabbixzabbix path ownerroot grouproot mode notifi restart zabbixag becom ye tag zabbixag config init name creat includ dir zabbixag file path agent includ ownerroot grouproot statedirectori becom ye tag config includ name make sure zabbixag servic run servic namezabbixag statestart becom ye tag init servic name creat hostgroup local action modul zabbix group server url zabbix url login user zabbix api user login password zabbix api pass host group zabbix host group state zabbix creat hostgroup zabbix api use tag api name creat new host updat exist host info local action modul zabbix host server url zabbix url login user zabbix api user login password zabbix api pass host name ansibl fqdn host group zabbix host group link templat zabbix link templat statu zabbix host statu state zabbix creat host interfac type main useip zabbix useuip agent dn ansibl fqdn port agent listenport zabbix api use tag api name updat host configur macro local action modul zabbix hostmacro server url zabbix url login user zabbix api user login password zabbix api pass host name ansibl fqdn macro name path key macro valu path valu item zabbix macro zabbix api use zabbix macro defin path key defin tag api,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,5.0,24.0,0.0,0.0,0.0,68b37f90760bbb9e4c78cabc651b4310704700fc,1.0,1468251096.0,1.0,no,tasks/main.yml,0378b69adac0a357db4c80ea82aa58534f173fbc,tasks/main.yml,100.0,14.0,130.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,9.0,0.0,0.0,11.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,91.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,359.0,11.0,0.0,0.0,68b37f90760bbb9e4c78cabc651b4310704700fc,d2964c8211fd2e48f458d1c95959d15ba55d686d,dj-wasabi/ansible-zabbix-agent,6.38,name includ osspecif variabl includ var ansibl famili path name instal correct repositori includ red path ansibl famili red hat tag zabbixag init config servic name instal correct repositori includ path ansibl famili debian tag zabbixag init config servic name instal correct repositori includ path ansibl famili suse tag zabbixag init config servic name fail invalid specifi agent listeninterfac fail msg specifi network interfac exist agent listeninterfac agent listeninterfac ansibl interfac tag zabbixag config name get agent listeninterfac agent listenip specifi set fact agent listenip hostvar inventori hostnam ansibl agent listeninterfac ipv path default agent hostvar inventori hostnam ansibl agent listeninterfac ipv path default agent listeninterfac agent listenip tag zabbixag config api name default agent listenip specifi set fact agent listenip agent hostvar inventori hostnam ansibl default ipv path agent listenip tag zabbixag config name fail invalid specifi agent listenip fail msg agent listenip exist agent listenip agent listenip ansibl ipv address tag zabbixag config name configur zabbixag templat srczabbix path destetczabbixzabbix path ownerroot grouproot mode notifi restart zabbixag becom ye tag zabbixag config init name creat includ dir zabbixag file path agent includ ownerroot grouproot statedirectori becom ye tag config includ name make sure zabbixag servic run servic namezabbixag statestart becom ye tag init servic name creat hostgroup local action modul zabbix group server url zabbix url login user zabbix api user login password zabbix api pass host group zabbix host group state zabbix creat hostgroup zabbix api use tag api name creat new host updat exist host info local action modul zabbix host server url zabbix url login user zabbix api user login password zabbix api pass host name ansibl fqdn host group zabbix host group link templat zabbix link templat statu zabbix host statu state zabbix creat host interfac type main useip zabbix useuip agent dn ansibl fqdn port agent listenport zabbix api use tag api name updat host configur macro local action modul zabbix hostmacro server url zabbix url login user zabbix api user login password zabbix api pass host name ansibl fqdn macro name path key macro valu path valu item zabbix macro zabbix api use zabbix macro defin path key defin tag api,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
