avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,4.0,6.0,9.0,0.0,0.0,0.0,6f2fdbaf6a98476a156102c6215391a09c3e6a42,0.0,1436390965.0,0.0,no,tasks/RedHat.yml,0.0,6.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,66.0,5.0,0.0,0.0,tasks/RedHat.yml,dockpack/ansible-consul,5.16,name distribut specif variabl includ var ansibl distribut path name packag yum name item statepres item consul redhat packag tag instal name download consul get url url consul zip url desttmp consul redhat pkg shasum consul redhat sha timeout tag instal name instal consul unarch copyno srctmp consul redhat pkg destusrlocalbin owner consul user group consul group mode tag instal name cleanup sudo shell tmp consul redhat pkg tag instal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,6.0,9.0,0.0,0.0,0.0,6f2fdbaf6a98476a156102c6215391a09c3e6a42,0.0,1436390965.0,0.0,no,tasks/CentOS.yml,0.0,5.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,66.0,5.0,0.0,0.0,tasks/CentOS.yml,dockpack/ansible-consul,5.16,name distribut specif variabl includ var ansibl distribut path name packag yum name item statepres item consul cento packag tag instal name download consul get url url consul zip url desttmp consul cento pkg shasum consul cento sha timeout tag instal name instal consul unarch copyno srctmp consul cento pkg destusrlocalbin owner consul user group consul group mode tag instal name cleanup sudo shell tmp consul cento pkg tag instal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,6.0,9.0,0.0,0.0,0.0,6f2fdbaf6a98476a156102c6215391a09c3e6a42,1.0,1436390965.0,1.0,no,tasks/main.yml,100.0,24.0,45.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,219.0,14.0,0.0,1.0,tasks/main.yml,dockpack/ansible-consul,5.89,name creat cluster group group key consul node role group keyo ansibl famili name add consul user user nameconsul comment consul user uid groupbin name distribut specif variabl includ var ansibl distribut path name cent task includ cent path ansibl distribut cent name debian task includ path ansibl distribut debian name red hat task includ red path ansibl distribut red hat name ubuntu task includ path ansibl distribut ubuntu name gener consul key shell consul keygen regist consul raw key run name consul directori file destoptconsul statedirectori owner consul user group consul group file destoptconsului statedirectori owner consul user group consul group file destvarconsul statedirectori owner consul user group consul group file destvarlogconsul statedirectori owner consul user group consul group file path statedirectori owner consul user group consul group file path statedirectori owner consul user group consul group file path statedirectori owner consul user group consul group file path statedirectori owner consul user group consul group file path statedirectori owner consul user group consul group name initi consul bootstrap configur templat srcbootstrap path dest consul config path path name initi consul server configur templat srcserver path dest consul config path path name initi consul client configur templat srcclient path dest consul config path path name download consul get url url consul url desttmp consul pkg shasum consul sha timeout tag instal name instal consul unarch srctmp consul pkg destoptconsului owner consul user group consul group mode copyno tag instal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,6.0,9.0,0.0,0.0,0.0,6f2fdbaf6a98476a156102c6215391a09c3e6a42,0.0,1436390965.0,0.0,no,tasks/Ubuntu.yml,0.0,6.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,73.0,6.0,0.0,0.0,tasks/Ubuntu.yml,dockpack/ansible-consul,5.34,name distribut specif variabl includ var ansibl distribut path name packag apt name item statepres updat cachey item consul ubuntu packag tag instal name download consul get url url consul zip url desttmp consul ubuntu pkg shasum consul ubuntu sha timeout tag instal name instal consul unarch copyno srctmp consul ubuntu pkg destusrlocalbin owner consul user group consul group mode tag instal name cleanup sudo shell tmp consul ubuntu pkg tag instal name upstart task templat srcconsul upstart path path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,6.0,9.0,0.0,0.0,0.0,6f2fdbaf6a98476a156102c6215391a09c3e6a42,0.0,1436390965.0,0.0,no,tasks/Debian.yml,0.0,7.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,73.0,6.0,0.0,0.0,tasks/Debian.yml,dockpack/ansible-consul,5.34,name distribut specif variabl includ var ansibl distribut path name packag apt name item statepres updat cachey item consul debian packag tag instal name download consul get url url consul zip url desttmp consul debian pkg shasum consul debian sha timeout tag instal name instal consul unarch copyno srctmp consul debian pkg destusrlocalbin owner consul user group consul group mode tag instal name cleanup sudo shell tmp consul debian pkg tag instal name upstart task templat srcconsul upstart path path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,21.0,6.0,9.0,0.0,0.0,0.0,6f2fdbaf6a98476a156102c6215391a09c3e6a42,0.0,1436390965.0,0.0,no,meta/main.yml,0.0,1.0,21.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,3.0,0.0,0.0,meta/main.yml,dockpack/ansible-consul,4.74,galaxi info author brian shumat descript consul cluster role compani compani option licens licens bsd min ansibl version platform name version name ubuntu version trusti name debian version jessi categori network system depend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,6.0,14.0,0.0,0.0,0.0,5d39b81a60c30c9f3578a2f2858c2e4dc90cdd80,0.0,1436797877.0,0.0,no,tasks/RedHat.yml,0.0,6.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,66.0,5.0,0.0,0.0,tasks/RedHat.yml,dockpack/ansible-consul,5.16,name distribut specif variabl includ var ansibl distribut path name packag yum name item statepres item consul redhat packag tag instal name download consul get url url consul zip url desttmp consul redhat pkg shasum consul redhat sha timeout tag instal name instal consul unarch copyno srctmp consul redhat pkg destusrlocalbin owner consul user group consul group mode tag instal name cleanup sudo shell tmp consul redhat pkg tag instal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,6.0,14.0,0.0,0.0,0.0,5d39b81a60c30c9f3578a2f2858c2e4dc90cdd80,0.0,1436797877.0,0.0,no,tasks/CentOS.yml,0.0,5.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,66.0,5.0,0.0,0.0,tasks/CentOS.yml,dockpack/ansible-consul,5.16,name distribut specif variabl includ var ansibl distribut path name packag yum name item statepres item consul cento packag tag instal name download consul get url url consul zip url desttmp consul cento pkg shasum consul cento sha timeout tag instal name instal consul unarch copyno srctmp consul cento pkg destusrlocalbin owner consul user group consul group mode tag instal name cleanup sudo shell tmp consul cento pkg tag instal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,6.0,14.0,14.0,4.0,16.0,5d39b81a60c30c9f3578a2f2858c2e4dc90cdd80,4.0,1436797877.0,1.0,no,tasks/main.yml,100.0,28.0,55.0,1.0,29.0,7.0,17.0,15.0,4.0,9.0,3.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,274.0,17.0,0.0,1.0,tasks/main.yml,dockpack/ansible-consul,6.15,name creat cluster group group key consul node role group keyo ansibl famili name add consul user user nameconsul comment consul user uid groupbin name distribut specif variabl includ var ansibl distribut path name cent task includ cent path ansibl distribut cent name debian task includ path ansibl distribut debian name red hat task includ red path ansibl distribut red hat name ubuntu task includ path ansibl distribut ubuntu name gener consul key shell pathusrlocalbin path consul keygen regist consul raw key run name consul directori file destoptconsul statedirectori owner consul user group consul group file destoptconsului statedirectori owner consul user group consul group file destvarconsul statedirectori owner consul user group consul group file destvarlogconsul statedirectori owner consul user group consul group file destvarrunconsul statedirectori owner consul user group consul group file path statedirectori owner consul user group consul group file path statedirectori owner consul user group consul group file path statedirectori owner consul user group consul group file path statedirectori owner consul user group consul group file path statedirectori owner consul user group consul group name initi consul bootstrap configur templat srcbootstrap path dest consul config path path name initi consul server configur templat srcserver path dest consul config path path name initi consul client configur templat srcclient path dest consul config path path name download consul get url url consul url desttmp consul pkg shasum consul sha timeout tag instal name instal consul unarch srctmp consul pkg destoptconsului owner consul user group consul group mode copyno tag instal name sysv init script templat srcconsul path path ownerroot grouproot mode ansibl distribut debian name debian init script templat srcconsul path path ownerroot grouproot mode ansibl distribut debian ansibl distribut major versionint name systemd script templat srcconsul path path ownerroot grouproot mode ansibl distribut major versionint,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,55.0,3.0,0.0,0.0,0.26
0.0,4.0,6.0,14.0,-3.0,-3.0,-3.0,5d39b81a60c30c9f3578a2f2858c2e4dc90cdd80,1.0,1436797877.0,1.0,no,tasks/Ubuntu.yml,100.0,5.0,16.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,67.0,5.0,0.0,0.0,tasks/Ubuntu.yml,dockpack/ansible-consul,5.19,name distribut specif variabl includ var ansibl distribut path name packag apt name item statepres updat cachey item consul ubuntu packag tag instal name download consul get url url consul zip url desttmp consul ubuntu pkg shasum consul ubuntu sha timeout tag instal name instal consul unarch copyno srctmp consul ubuntu pkg destusrlocalbin owner consul user group consul group mode tag instal name cleanup sudo shell tmp consul ubuntu pkg tag instal,0.0,1.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-6.0,-1.0,0.0,0.0,-0.15
