avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,4.0,5.0,7.0,23.0,12.0,23.0,1d2f3526782e7c8efbab3dc0861b6c1df7c14fcb,2.0,1438779445.0,1.0,no,tasks/tools.yml,100.0,5.0,17.0,0.0,26.0,13.0,23.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,84.0,5.0,0.0,0.0,tasks/tools.yml,galaxyproject/ansible-galaxy-tools,5.52,name createinvok script virtualenv pip name item virtualenv base dir venv virtualenv command pip virtualenv command default virtualenv item pyyaml bioblend name place tool manag script copi srcinstal tool shed path dest base dir instal tool shed path name copi tool list file copi src tool list file dest base dir tool path name instal tool shed tool command chdir base dir base dir venvbinpython instal tool shed path tool path api key galaxi instanc url ignor error name remov tool manag scriptsfil file dest base dir item stateabs item instal tool shed path tool path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,13.0,5.0,7.0,14.0,14.0,14.0,1d2f3526782e7c8efbab3dc0861b6c1df7c14fcb,1.0,1438779445.0,1.0,no,meta/main.yml,100.0,0.0,13.0,0.0,14.0,14.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,1.0,0.0,0.0,meta/main.yml,galaxyproject/ansible-galaxy-tools,4.59,galaxi info author galaxi project descript autom instal tool galaxi compani galaxi project licens mit min ansibl version platform name ubuntu version trusti categori system depend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,5.0,7.0,4.0,2.0,4.0,1d2f3526782e7c8efbab3dc0861b6c1df7c14fcb,2.0,1438779445.0,1.0,no,tasks/main.yml,100.0,1.0,2.0,0.0,5.0,2.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,tasks/main.yml,galaxyproject/ansible-galaxy-tools,2.0,includ path galaxi instal tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,1.0,3.0,0.0,0.0,0.0,ab64c06135da40cbff5a34823b7e57655986b3a8,1.0,1439559395.0,1.0,no,tasks/tools.yml,100.0,5.0,17.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,84.0,5.0,0.0,0.0,tasks/tools.yml,galaxyproject/ansible-galaxy-tools,5.52,name createinvok script virtualenv pip name item virtualenv galaxi tool base dir venv virtualenv command pip virtualenv command default virtualenv item pyyaml bioblend name place tool manag script copi srcinstal tool shed path dest galaxi tool base dir instal tool shed path name copi tool list file copi src galaxi tool tool list file dest galaxi tool base dir tool path name instal tool shed tool command chdir galaxi tool base dir galaxi tool base dir venvbinpython instal tool shed path tool path galaxi tool api key galaxi tool galaxi instanc url ignor error name remov tool manag scriptsfil file dest galaxi tool base dir item stateabs item instal tool shed path tool path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,13.0,1.0,3.0,0.0,0.0,0.0,ab64c06135da40cbff5a34823b7e57655986b3a8,0.0,1439559395.0,0.0,no,meta/main.yml,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,1.0,0.0,0.0,meta/main.yml,galaxyproject/ansible-galaxy-tools,4.59,galaxi info author galaxi project descript autom instal tool galaxi compani galaxi project licens mit min ansibl version platform name ubuntu version trusti categori system depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,1.0,3.0,0.0,0.0,0.0,ab64c06135da40cbff5a34823b7e57655986b3a8,0.0,1439559395.0,0.0,no,tasks/main.yml,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,tasks/main.yml,galaxyproject/ansible-galaxy-tools,2.0,includ path galaxi instal tool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,6.0,6.0,14.0,14.0,14.0,b9b006f749f93e4703e1e691bcf12780e352d587,1.0,1439574508.0,1.0,no,tasks/restart_galaxy.yml,100.0,4.0,9.0,0.0,14.0,14.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,52.0,4.0,0.0,0.0,tasks/restart_galaxy.yml,galaxyproject/ansible-galaxy-tools,4.66,name stop galaxi shell galaxi server dir path pidfil galaxi tool pid file name logfil galaxi tool log file name stopdaemon ignor error name wait galaxi stop wait port delay statestop timeout name start galaxi shell galaxi server dir path pidfil galaxi tool pid file name logfil galaxi tool log file name daemon name wait galaxi start wait port delay statestart timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,6.0,6.0,0.0,0.0,0.0,b9b006f749f93e4703e1e691bcf12780e352d587,0.0,1439574508.0,0.0,no,tasks/tools.yml,0.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,84.0,5.0,0.0,0.0,tasks/tools.yml,galaxyproject/ansible-galaxy-tools,5.52,name createinvok script virtualenv pip name item virtualenv galaxi tool base dir venv virtualenv command pip virtualenv command default virtualenv item pyyaml bioblend name place tool manag script copi srcinstal tool shed path dest galaxi tool base dir instal tool shed path name copi tool list file copi src galaxi tool tool list file dest galaxi tool base dir tool path name instal tool shed tool command chdir galaxi tool base dir galaxi tool base dir venvbinpython instal tool shed path tool path galaxi tool api key galaxi tool galaxi instanc url ignor error name remov tool manag scriptsfil file dest galaxi tool base dir item stateabs item instal tool shed path tool path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,13.0,6.0,6.0,0.0,0.0,0.0,b9b006f749f93e4703e1e691bcf12780e352d587,0.0,1439574508.0,0.0,no,meta/main.yml,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,1.0,0.0,0.0,meta/main.yml,galaxyproject/ansible-galaxy-tools,4.59,galaxi info author galaxi project descript autom instal tool galaxi compani galaxi project licens mit min ansibl version platform name ubuntu version trusti categori system depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,6.0,6.0,6.0,6.0,6.0,b9b006f749f93e4703e1e691bcf12780e352d587,1.0,1439574508.0,1.0,no,tasks/main.yml,100.0,3.0,6.0,0.0,7.0,7.0,7.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,0.0,tasks/main.yml,galaxyproject/ansible-galaxy-tools,3.2,includ bootstrap path galaxi tool creat bootstrap user galaxi tool api key includ path galaxi tool instal tool includ bootstrap path galaxi tool delet bootstrap user galaxi tool api key,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,1.2
