avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_authorized_key,num_block_error_handling,num_blocks,num_command_calls,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_regex,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_authorized_key,delta_num_block_error_handling,delta_num_blocks,delta_num_command_calls,delta_num_commands,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_file_exists,delta_num_file_mode,delta_num_file_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_parameters,delta_num_paths,delta_num_plays,delta_num_regex,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_uri,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,5.0,5.0,278.0,36.0,7.0,37.0,b8a8dd058d15ae98c425dbb614503b755aa0bde6,5.0,1547802372.0,2.0,0.0,roles/prepare/tasks/check.yml,92.31,5.0,30.0,0.0,44.0,9.0,37.0,8.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,125.0,6.0,0.0,0.0,0.0,roles/prepare/tasks/check.yml,goodrain/rainbond-ansible,5.63,name check stop ansibl version low assert ansibl path compar run ye name check stop non systemd type assert ansibl servic mgr systemd ignor error name check stop unknown assert ansibl distribut cent red hat debian ubuntu ignor error name check stop memori small master assert ansibl memtot ignor error inventori hostnam group master enabl check enabl name check stop memori small worker assert ansibl memtot ignor error inventori hostnam group worker enabl check enabl name check minimum kernel version fail msg docker requir minimum kernel version docker kernel min version ansibl distribut ansibl distribut version ansibl kernel version docker kernel min version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,5.0,278.0,85.0,12.0,39.0,b8a8dd058d15ae98c425dbb614503b755aa0bde6,7.0,1547802372.0,1.0,0.0,roles/node/tasks/main.yml,100.0,16.0,63.0,5.0,94.0,13.0,39.0,9.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,0.0,0.0,15.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,26.0,22.0,0.0,0.0,0.0,2.0,0.0,15.0,241.0,13.0,0.0,0.0,2.0,roles/node/tasks/main.yml,goodrain/rainbond-ansible,5.89,name rainbond copi node binari deploy copi src local tool binnod dest bin dir node mode name rainbond copi node uuid copi src path dest path name rainbond prepar check node uuid templat src node path dest tmpnode path mode name rainbond write node uuid shell bash tmpnode path tmpwrite path name rainbond copi master node rainbond role templat src path dest node role dir path inventori hostnam group master group newmast name rainbond copi master node role templat src path dest node role dir path inventori hostnam group master group newmast name rainbond copi master node base role templat src path dest node role dir path inventori hostnam group master group newmast name thirdparti check master stat path regist check master name thirdparti add health health role templat src path dest node role dir thirdparti path check path defin deploy type thirdparti name thirdparti check kubectl worker stat path regist check worker name thirdparti add health health role templat src path dest node role dir thirdparti path check path defin deploy type thirdparti name rainbond copi node script templat src path dest script dir path mode name rainbond copi node env templat src path dest env dir path mode name rainbond copi node servic templat src path dest path name rainbond start node shell systemctl daemonreload systemctl enabl node systemctl start node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,5.0,278.0,40.0,6.0,31.0,b8a8dd058d15ae98c425dbb614503b755aa0bde6,7.0,1547802372.0,1.0,0.0,roles/docker/tasks/main.yml,100.0,9.0,26.0,4.0,73.0,10.0,31.0,33.0,5.0,18.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,4.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,118.0,7.0,0.0,0.0,3.0,roles/docker/tasks/main.yml,goodrain/rainbond-ansible,5.38,name docker check docker instal stat path usrbindock regist docker check name docker check version docker instal command docker version path regist get docker version docker path defin name docker import docker check version import task check docker path docker path defin import task path instal type onlin docker path defin import task path instal type offlin docker path defin name docker get docker version command docker version path regist instal docker version name docker set docker systemd config import task path name docker ensur docker servic start enabl servic name item enabl ye state restart item docker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,5.0,278.0,38.0,5.0,16.0,b8a8dd058d15ae98c425dbb614503b755aa0bde6,7.0,1547802372.0,2.0,0.0,roles/image/tasks/import_images.yml,59.09,7.0,30.0,0.0,63.0,9.0,18.0,25.0,4.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,1.0,0.0,8.0,155.0,5.0,0.0,0.0,3.0,roles/image/tasks/import_images.yml,goodrain/rainbond-ansible,5.55,name check check path unarch stat path regist check base imag tgz unarch name next task may take time execut debug msg next task may take time execut wait unzip base imag name rainbond unzip base imag unarch src path dest grdataservicesofflineimag check base imag tgz path defin name check check path unarch stat path regist check rainbond imag tgz unarch name next task may take time execut debug msg next task may take time execut wait unzip rainbond imag name rainbond unzip rainbond imag unarch src path dest grdataservicesofflineimag check rainbond imag tgz path defin name next task may take time execut debug msg next task may take time execut wait load imag name rainbond load imag local shell bash base dir path path regist load task result load task result succeed retri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,5.0,278.0,43.0,6.0,19.0,b8a8dd058d15ae98c425dbb614503b755aa0bde6,7.0,1547802372.0,1.0,0.0,roles/image/tasks/check_or_create.yml,100.0,9.0,33.0,0.0,61.0,9.0,19.0,18.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,5.0,0.0,0.0,9.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,5.0,0.0,9.0,188.0,9.0,0.0,0.0,3.0,roles/image/tasks/check_or_create.yml,goodrain/rainbond-ansible,5.94,name check certif stat path dir path regist certif done tag imag name check kubecfg stat path kubecfg dir path regist kubecfg done tag imag name check certif shell docker run dir ssl ssl rainbond cfssl kip master certif path defin tag imag name creat kubeconfig shell docker run dir etcgoodrainkubernetesssl kubecfg dir rainbond kubecfg kubecfg path defin tag imag name rainbond copi kubeproxi copi src kubecfg dir path dest path mode name check region ssl stat path region dir path regist region done name rainbond creat region ssl shell grcert creat isca canam region dir path cakeynam region dir path region path defin name rainbond creat region server ssl shell grcert creat canam region dir path cakeynam region dir path crtname region dir path crtkeynam region dir path domain path address master address region path defin name rainbond creat region client ssl shell grcert creat canam region dir path cakeynam region dir path crtname region dir path crtkeynam region dir path domain path address master address region path defin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,5.0,278.0,6.0,2.0,6.0,b8a8dd058d15ae98c425dbb614503b755aa0bde6,3.0,1547802372.0,1.0,0.0,roles/kube-worker/defaults/main.yml,100.0,0.0,5.0,0.0,9.0,3.0,6.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,roles/kube-worker/defaults/main.yml,goodrain/rainbond-ansible,4.44,worker access address hostvar inventori hostnam etcd endpoint item group etcd etcd path http hostvar item etcd port path endif endfor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,5.0,278.0,45.0,15.0,25.0,b8a8dd058d15ae98c425dbb614503b755aa0bde6,3.0,1547802372.0,2.0,0.0,roles/upgrade/tasks/main.yml,79.66,7.0,37.0,0.0,52.0,17.0,25.0,7.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,1.0,0.0,0.0,16.0,8.0,0.0,0.0,0.0,1.0,0.0,8.0,128.0,8.0,0.0,0.0,1.0,roles/upgrade/tasks/main.yml,goodrain/rainbond-ansible,5.54,name upgrad copi imag upgrad script templat src path dest path mode name upgrad copi upgrad sql templat src path dest path mode name upgrad upgrad imag path shell bash path path regist upgrad task result upgrad task result succeed retri name upgrad copi grctl binari deploy copi src local tool bingrctl dest bin dir grctl mode name upgrad stop node servic systemd state stop name node name upgrad copi node binari deploy copi src local tool binnod dest bin dir node mode name tool copi rainbond tool copi src item dest bin dir ownerroot mode fileglob base dir hackfilesbingrtool name upgrad start node servic systemd state start name node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,5.0,278.0,210.0,23.0,141.0,b8a8dd058d15ae98c425dbb614503b755aa0bde6,9.0,1547802372.0,2.0,0.0,roles/image/tasks/online_images.yml,98.51,30.0,174.0,5.0,306.0,34.0,141.0,96.0,11.0,84.0,1.0,1.0,0.0,0.0,0.0,0.0,28.0,58.0,29.0,0.0,0.0,30.0,0.0,0.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,30.0,988.0,30.0,0.0,0.0,29.0,roles/image/tasks/online_images.yml,goodrain/rainbond-ansible,5.4,name check check imag pulll stat path regist check imag pull name pull kubeapiserv docker hub shell docker pull rainbond kube apiserv imag docker tag rainbond kube apiserv imag path kube apiserv imag regist pull api task result pull api task result succeed retri check imag path defin name pull kubecontrollermanag docker hub shell docker pull rainbond kube control manag imag docker tag rainbond kube control manag imag path kube control manag imag regist pull task result pull task result succeed retri check imag path defin name pull kubeschedul docker hub shell docker pull rainbond kube schedul imag docker tag rainbond kube schedul imag path kube schedul imag regist pull task result pull task result succeed retri check imag path defin name pull etcd docker hub shell docker pull rainbond etcd imag docker tag rainbond etcd imag path etcd imag regist pull etcd task result pull etcd task result succeed retri check imag path defin name pull calico docker hub shell docker pull rainbond calico imag docker tag rainbond calico imag path calico imag regist pull calico task result pull calico task result succeed retri check imag path defin name rainbond pull rbddb docker hub shell docker pull rainbond rbd imag docker tag rainbond rbd imag path rbd imag regist pull task result pull task result succeed retri check imag path defin name rainbond pull tcm docker hub shell docker pull rainbond tcm docker tag rainbond tcm path latest regist pull tcm task result pull tcm task result succeed retri check imag path defin name rainbond pull mesh docker hub shell docker pull rainbond mesh docker tag rainbond mesh path plugin latest regist pull mesh task result pull mesh task result succeed retri check imag path defin name rainbond pull runner docker hub shell docker pull rainbond runner docker tag rainbond runner path latest regist pull runner task result pull runner task result succeed retri check imag path defin name rainbond pull builder docker hub shell docker pull rainbond builder docker tag rainbond builder path latest regist pull builder task result pull builder task result succeed retri check imag path defin name rainbond pull adapt docker hub shell docker pull rainbond adapt docker tag rainbond adapt path latest regist pull adapt task result pull adapt task result succeed retri check imag path defin name rainbond pull pauseamd docker hub shell docker pull rainbond paus amd docker tag rainbond paus amd path paus amd regist pull paus task result pull paus task result succeed retri check imag path defin name rainbond pull hub docker hub shell docker pull rainbond hub docker tag rainbond hub path hub regist pull hub task result pull hub task result succeed retri check imag path defin name rainbond pull repo docker hub shell docker pull rainbond repo docker tag rainbond repo path repo regist pull repo task result pull repo task result succeed retri check imag path defin name rainbond pull api docker hub shell docker pull rainbond api docker tag rainbond api path api regist pull api task result pull api task result succeed retri check imag path defin name rainbond pull worker docker hub shell docker pull rainbond worker docker tag rainbond worker path worker regist pull worker task result pull worker task result succeed retri check imag path defin name rainbond pull eventlog docker hub shell docker pull rainbond eventlog docker tag rainbond eventlog path eventlog regist pull eventlog task result pull eventlog task result succeed retri check imag path defin name rainbond pull gateway docker hub shell docker pull rainbond gateway docker tag rainbond gateway path gateway regist pull gateway task result pull gateway task result succeed retri check imag path defin name rainbond pull chao docker hub shell docker pull rainbond chao docker tag rainbond chao path chao regist pull chao task result pull chao task result succeed retri check imag path defin name rainbond pull docker hub shell docker pull rainbond docker tag rainbond path regist pull task result pull task result succeed retri check imag path defin name rainbond pull webcli docker hub shell docker pull rainbond webcli docker tag rainbond webcli path webcli regist pull webcli task result pull webcli task result succeed retri check imag path defin name rainbond pull rbdappui docker hub shell docker pull rainbond rbd app docker tag rainbond rbd app path rbd app regist pull rbd app task result pull rbd app task result succeed retri check imag path defin name rainbond pull rbddn docker hub shell docker pull rainbond dn docker tag rainbond dn path dn regist pull dn task result pull dn task result succeed retri check imag path defin name rainbond pull rbdmonitor docker hub shell docker pull rainbond monitor docker tag rainbond monitor path monitor regist pull monitor task result pull monitor task result succeed retri check imag path defin name rainbond pull kscni docker hub shell docker pull rainbond cni regist pull cni task result pull cni task result succeed retri check imag path defin name rainbond pull rbdcni docker hub shell docker pull rainbond rbd cni regist pull rbd cni task result pull rbd cni task result succeed retri check imag path defin name rainbond pull kubecfg docker hub shell docker pull rainbond kubecfg regist pull kubecfg task result pull kubecfg task result succeed retri check imag path defin name rainbond pull cfssl docker hub shell docker pull rainbond cfssl regist pull cfssl task result pull cfssl task result succeed retri check imag path defin name rainbond write pull imag done file path statetouch check imag path defin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,5.0,278.0,4.0,2.0,4.0,b8a8dd058d15ae98c425dbb614503b755aa0bde6,2.0,1547802372.0,1.0,0.0,roles/storage/nfs/server/defaults/main.yml,100.0,0.0,3.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,roles/storage-server/defaults/main.yml,goodrain/rainbond-ansible,2.58,storag type nf nf rpcbind state start nf rpcbind enabl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,5.0,278.0,7.0,4.0,7.0,b8a8dd058d15ae98c425dbb614503b755aa0bde6,2.0,1547802372.0,1.0,0.0,roles/storage/nfs/server/tasks/setup-Debian.yml,100.0,0.0,6.0,0.0,7.0,4.0,7.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,3.0,0.0,0.0,0.0,roles/storage-server/tasks/setup-Debian.yml,goodrain/rainbond-ansible,3.42,name ensur nf util instal apt name nfscommon nfskernelserv state present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,5.0,278.0,17.0,3.0,34.0,b8a8dd058d15ae98c425dbb614503b755aa0bde6,5.0,1547802372.0,1.0,0.0,roles/image/tasks/check_or_copy.yml,100.0,2.0,14.0,0.0,39.0,8.0,34.0,22.0,4.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,57.0,3.0,0.0,0.0,1.0,roles/image/tasks/check_or_copy.yml,goodrain/rainbond-ansible,4.93,name check cni stat path rbd dir bincalico regist cni done ignor error name copi cni copi src item dest rbd dir bin ownerroot mode fileglob rbd dir etctoolscnibin cni path defin name copi tool copi src item dest bin dir ownerroot mode fileglob rbd dir etctoolsbin cni path defin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,82.0,5.0,278.0,105.0,4.0,80.0,b8a8dd058d15ae98c425dbb614503b755aa0bde6,24.0,1547802372.0,3.0,0.0,roles/rainvar/defaults/main.yml,85.62,15.0,81.0,9.0,129.0,5.0,80.0,24.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,233.0,0.0,0.0,0.0,0.0,roles/rainvar/defaults/main.yml,goodrain/rainbond-ansible,6.75,rainbond version kubernet version docker version path docker selinux version docker log opt logopt maxsizem logopt maxfil docker kernel min version docker daemon graph varlibdock etcd version calico version instal type onlin deploy type onenod enabl check enabl bin dir usrlocalbin rbd dir optrainbond base dir optrainbondrainbondans dir rbd dir etckubernetesssl local tool rbd dir etctool local imga rbd dir rainbondansibleofflineimag kubecfg dir rbd dir etckuberneteskubecfg node role dir rbd dir conf env dir rbd dir env script dir rbd dir script region dir rbd dir path secretkey aekyiroajaegoo mieowura rbd imag rbddb rainbond version user write pass efe overrid system hostnam node port rang dn domain path resolvconf mode docker dn dn mode coredn docker dn server strict kube apiserv kube servic addressesipaddr ipaddr address kube dn server kube servic addressesipaddr ipaddr address rainbond domain path path path path path path master hostvar group master kube apiserv http path etcd imag etcd etcd version kubernet imag hyperkub kubernet version calico imag caliconod calico version paus amd pauseamd kube apiserv imag kubeapiserv kubernet version kube control manag imag kubecontrollermanag kubernet version kube schedul imag kubeschedul kubernet version tcm plugin tcm mesh plugin mesh hub rbdregistri kubecfg kubecfg dev cfssl cfssl dev builder builder rainbond version runner runner rainbond version adapt adapt rainbond version repo rbdrepo api rbdapi rainbond version worker rbdworker rainbond version eventlog rbdeventlog rainbond version gateway rbdgateway rainbond version chao rbdchao rainbond version rbdmq rainbond version webcli rbdwebcli rainbond version rbd app rbdappui rainbond version cni cni rainbond version rbd cni cni rbd rainbond version dn rbddn rainbond version monitor rbdmonitor rainbond version cluster network calico servic cidr pod cidr app domain path storag type nf storag path grdata default dn local docker bridg flannel backend hostgw etcd port etcd port etcd port autoreg node disabl base imag url http path rainbond imag url http path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,5.0,278.0,55.0,9.0,30.0,b8a8dd058d15ae98c425dbb614503b755aa0bde6,6.0,1547802372.0,2.0,0.0,roles/etcd/tasks/main.yml,97.47,11.0,43.0,0.0,67.0,11.0,30.0,12.0,2.0,7.0,1.5,1.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,16.0,12.0,0.0,0.0,0.0,3.0,0.0,11.0,167.0,11.0,0.0,0.0,2.0,roles/etcd/tasks/main.yml,goodrain/rainbond-ansible,5.66,name etcd run imag pull command usrlocalbincheck img etcd name etcd check imag pull stat path tmpcheck etcd img regist check etcd img name etcd pull etcd path shell docker pull path etcd imag check etcd path defin name etcd copi etcd role templat src path dest node role dir path name etcd copi etcd script templat src path dest script dir path mode name etcd copi add cluster templat src path dest script dir path mode name etcd copi etcd env templat src path dest env dir path mode name etcd copi etcd servic templat src path dest path name etcd copi etcdctl binari deploy copi src local tool binetcdctl dest bin dir etcdctl mode name etcd run add etcd cluster shell bash script dir path path regist add etcd cluster task result add etcd cluster task result succeed retri name etcd start etcd shell systemctl daemonreload systemctl enabl etcd systemctl start etcd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,5.0,278.0,8.0,8.0,8.0,b8a8dd058d15ae98c425dbb614503b755aa0bde6,1.0,1547802372.0,1.0,0.0,roles/prepare/tasks/setup-pipelining.yml,100.0,1.0,5.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,roles/prepare/tasks/setup-pipelining.yml,goodrain/rainbond-ansible,3.46,name remov requir tti lineinfil regexp wsrequiretti dest etcsudo state absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
