avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,6.0,2.0,13.0,24.0,5.0,10.0,f78390d621b62493d3bdf1ef3cecaaf847510b5f,5.0,1447248805.0,1.0,no,tasks/install_debian.yml,100.0,5.0,17.0,1.0,27.0,5.0,10.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,47.0,4.0,0.0,1.0,tasks/install_debian.yml,infOpen/ansible-role-jenkins,4.49,name add jenkin repositori key becom apt key url jenkin repositori key url state present name creat jenkin repositori file becom apt repositori repo jenkin repositori content state present updat cach name instal jenkin packag regist jenkin task packag instal becom apt name jenkin packag name state jenkin packag state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,26.0,2.0,13.0,31.0,10.0,126.0,f78390d621b62493d3bdf1ef3cecaaf847510b5f,3.0,1447248805.0,1.0,no,meta/main.yml,100.0,4.0,26.0,0.0,157.0,52.0,126.0,126.0,42.0,125.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,2.0,0.0,0.0,meta/main.yml,infOpen/ansible-role-jenkins,5.1,galaxi info author alexandr chaussier descript instal jenkin packag compani infopen http path licens mit min ansibl version platform name ubuntu version precis quantal rare sauci trusti utop vivid name debian version wheezi jessi categori develop web depend path path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,7.0,2.0,13.0,11.0,6.0,18.0,f78390d621b62493d3bdf1ef3cecaaf847510b5f,2.0,1447248805.0,1.0,no,handlers/waiting_jenkins.yml,100.0,3.0,7.0,0.0,18.0,9.0,18.0,7.0,4.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,1.0,0.0,1.0,handlers/restart_and_waiting.yml,infOpen/ansible-role-jenkins,4.5,name wait jenkin start command curl head silent jenkin base url regist jenkin check avail jenkin check path retri jenkin wait avail retri delay jenkin wait avail delay chang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,2.0,13.0,8.0,8.0,8.0,f78390d621b62493d3bdf1ef3cecaaf847510b5f,1.0,1447248805.0,1.0,no,handlers/restart_jenkins.yml,100.0,2.0,5.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,2.0,0.0,0.0,handlers/restart_jenkins.yml,infOpen/ansible-role-jenkins,3.42,name restart jenkin becom servic name jenkin servic name state restart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,2.0,13.0,36.0,3.0,23.0,f78390d621b62493d3bdf1ef3cecaaf847510b5f,11.0,1447248805.0,1.0,no,tasks/manage_cli.yml,100.0,6.0,28.0,1.0,90.0,8.0,26.0,54.0,5.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,90.0,4.0,0.0,1.0,tasks/manage_cli.yml,infOpen/ansible-role-jenkins,5.29,name instal jenkin cli becom becom user jenkin config user get url url jenkin cli download url dest jenkin cli forc name get jenkin updat updat center becom becom user jenkin config user regist jenkin task new updat get url url jenkin updat center url download dest jenkin updat file mode timeout name updat center becom becom user jenkin config user shell cat jenkin updat file sed curl post accept applicationjson jenkin updat center url post jenkin task new path name wait jenkin restart includ role path handlersrestart wait path jenkin task new path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,2.0,13.0,18.0,9.0,13.0,f78390d621b62493d3bdf1ef3cecaaf847510b5f,2.0,1447248805.0,1.0,no,tasks/configure.yml,100.0,4.0,12.0,1.0,18.0,9.0,13.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,45.0,2.0,0.0,1.0,tasks/configure.yml,infOpen/ansible-role-jenkins,4.88,name gener default config file becom regist jenkin task default config templat src role path path dest jenkin default cfg prefix jenkin default cfg file owner jenkin default cfg file owner group jenkin default cfg file group mode jenkin default cfg file mode name restart jenkin main configur chang includ role path handlersrestart wait path jenkin task default path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,2.0,13.0,63.0,16.0,32.0,f78390d621b62493d3bdf1ef3cecaaf847510b5f,4.0,1447248805.0,1.0,no,tasks/plugins.yml,100.0,8.0,53.0,1.0,68.0,17.0,32.0,5.0,1.0,3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,30.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,146.0,4.0,0.0,4.0,tasks/plugins.yml,infOpen/ansible-role-jenkins,5.23,name get instal plugin becom becom user jenkin config user regist jenkin list plugin shell java jar jenkin cli jenkin base url listplugin awk print chang name instal requir plugin becom becom user jenkin config user regist jenkin task instal plugin shell java jar jenkin cli jenkin base url installplugin item item jenkin plugin differ jenkin list path line name wait jenkin restart includ role path handlersrestart wait path jenkin task instal path name get plugin upgrad becom becom user jenkin config user regist jenkin list plugin upgrad shell java jar jenkin cli jenkin base url listplugin grep awk print chang name instal upgrad plugin becom becom user jenkin config user regist jenkin task upgrad plugin shell java jar jenkin cli jenkin base url installplugin item item jenkin list plugin path line name wait jenkin restart includ role path handlersrestart wait path jenkin task upgrad path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,2.0,13.0,35.0,6.0,11.0,f78390d621b62493d3bdf1ef3cecaaf847510b5f,6.0,1447248805.0,1.0,no,tasks/main.yml,100.0,9.0,24.0,1.0,37.0,6.0,12.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,59.0,3.0,0.0,0.0,tasks/main.yml,infOpen/ansible-role-jenkins,4.86,name load specif varibl includ var role path var ansibl famili path includ instal path tag instal jenkin ansibl famili debian name restart jenkin new version instal includ role path handlersrestart path jenkin task packag path name wait applic avail includ role path handlerswait path includ path tag configur jenkin includ manag path tag jenkin instal includ path tag jenkin instal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,2.0,13.0,10.0,10.0,10.0,f78390d621b62493d3bdf1ef3cecaaf847510b5f,1.0,1447248805.0,1.0,no,handlers/restart_and_waiting_jenkins.yml,100.0,4.0,4.0,1.0,10.0,10.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,2.0,0.0,0.0,handlers/restart_and_waiting_jenkins.yml,infOpen/ansible-role-jenkins,3.24,name restart jenkin includ role path handlersrestart path name wait jenkin start includ role path handlerswait path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,2.0,6.0,8.0,8.0,8.0,6f99762e7b113349cb49947c15f781d83a65efbf,1.0,1448220778.0,1.0,no,tasks/install_debian.yml,100.0,6.0,24.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,67.0,6.0,0.0,2.0,tasks/install_debian.yml,infOpen/ansible-role-jenkins,4.71,name add jenkin repositori key becom apt key url jenkin repositori key url state present name creat jenkin repositori file becom apt repositori repo jenkin repositori content state present updat cach name instal role system depend regist jenkin task packag instal becom apt name item state jenkin system depend state item jenkin system depend name instal jenkin packag regist jenkin task packag instal becom apt name jenkin packag name state jenkin packag state,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,0.0,1.0,0.22
