avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_authorized_key,num_block_error_handling,num_blocks,num_command_calls,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_regex,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_authorized_key,delta_num_block_error_handling,delta_num_blocks,delta_num_command_calls,delta_num_commands,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_file_exists,delta_num_file_mode,delta_num_file_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_parameters,delta_num_paths,delta_num_plays,delta_num_regex,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_uri,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,7.0,22.0,4121.0,8.0,3.0,7.0,4ca081b974e304b08e2fd6e370202968eb7ad3da,3.0,1529094281.0,3.0,0.0,roles/storage-demo/defaults/main.yml,70.0,1.0,7.0,0.0,9.0,3.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,roles/storage-demo/defaults/main.yml,kubevirt/kubevirt-ansible,4.22,namespac kubesystem cdi namespac cdi imag namespac default goldenimag cluster openshift cinder provision repo path cinder provision releas sprint apb action provis storag demo templat dir role path templat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,22.0,4121.0,2.0,1.0,2.0,4ca081b974e304b08e2fd6e370202968eb7ad3da,3.0,1529094281.0,3.0,0.0,roles/storage-glusterfs/tasks/main.yml,50.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,roles/storage-cns/tasks/main.yml,kubevirt/kubevirt-ansible,2.0,includ task apb action path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,8.0,22.0,4121.0,21.0,7.0,22.0,4ca081b974e304b08e2fd6e370202968eb7ad3da,3.0,1529094281.0,3.0,0.0,playbooks/storage.yml,81.48,1.0,17.0,2.0,24.0,8.0,22.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,30.0,0.0,0.0,0.0,2.0,playbooks/cluster/openshift/defaults/main.yml,kubevirt/kubevirt-ansible,4.08,host master var storag role storagedemo environ http proxi role role storag role role cdi host master node var storag role storagedemo gather fact environ http proxi role role storagedemonodeconfig storag role storagedemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,11.0,22.0,4121.0,11.0,3.0,8.0,4ca081b974e304b08e2fd6e370202968eb7ad3da,4.0,1529094281.0,1.0,0.0,playbooks/cluster/openshift/vars/3.9.yml,100.0,0.0,11.0,0.0,12.0,3.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,playbooks/cluster/openshift/vars/3.9.yml,kubevirt/kubevirt-ansible,3.24,openshift imag tag openshift servic catalog imag version openshift imag tag contain imag openshiftorigin openshift imag tag openshiftnod openshift imag tag openshiftopenvswitch openshift imag tag openshiftoriginservicecatalog openshift imag tag openshiftoriginwebconsol openshift imag tag ansibleplaybookbundleoriginansibleservicebrok latest path latest path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,11.0,22.0,4121.0,12.0,6.0,8.0,4ca081b974e304b08e2fd6e370202968eb7ad3da,2.0,1529094281.0,1.0,0.0,playbooks/cluster-login.yml,100.0,0.0,11.0,1.0,12.0,6.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,3.0,playbooks/cluster-login.yml,kubevirt/kubevirt-ansible,4.25,host localhost connect local gather fact environ http proxi var admin usernam test admin admin password master fqdn hostvar group master ansibl fqdn role role clusterlogin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,22.0,4121.0,1.0,0.0,6.0,4ca081b974e304b08e2fd6e370202968eb7ad3da,2.0,1529094281.0,1.0,0.0,playbooks/provider/lago/defaults/main.yml,100.0,0.0,1.0,0.0,6.0,3.0,6.0,5.0,2.0,5.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,playbooks/provider/lago/defaults/main.yml,kubevirt/kubevirt-ansible,1.0,inventori file inventori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,22.0,4121.0,1.0,0.0,1.0,4ca081b974e304b08e2fd6e370202968eb7ad3da,2.0,1529094281.0,2.0,0.0,roles/storage-demo-nodeconfig/defaults/main.yml,66.67,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,roles/storage-demo-nodeconfig/defaults/main.yml,kubevirt/kubevirt-ansible,1.0,apb action provis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,7.0,22.0,4121.0,7.0,7.0,7.0,4ca081b974e304b08e2fd6e370202968eb7ad3da,1.0,1529094281.0,1.0,0.0,playbooks/utils/configure-std-ci-repos.yml,100.0,0.0,7.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,playbooks/utils/configure-std-ci-repos.yml,kubevirt/kubevirt-ansible,4.0,name configur stdci repo host task name configur stdci repo copi src std yum repo dest path std yum repo basenam path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,19.0,22.0,4121.0,21.0,2.0,10.0,4ca081b974e304b08e2fd6e370202968eb7ad3da,14.0,1529094281.0,5.0,0.0,roles/kubevirt/defaults/main.yml,62.3,2.0,19.0,1.0,41.0,3.0,13.0,20.0,1.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,openshift/roles/kubevirt/defaults/main.yml,kubevirt/kubevirt-ansible,4.96,namespac kubesystem registri url path docker prefix registri url kubevirt cluster openshift apb action provis releas manifest url http path kubevirt templat dir role path templat version docker tag version offlin templat dir optapbkubevirttempl default templat vmtemplatefedora vmtemplatewindowsr vmtemplaterhel kubevirt privileg polici kubevirtprivileg kubevirtcontrol kubevirtinfra kubevirtapiserv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,22.0,4121.0,5.0,1.0,3.0,4ca081b974e304b08e2fd6e370202968eb7ad3da,6.0,1529094281.0,3.0,0.0,roles/storage-glusterfs/defaults/main.yml,47.06,0.0,5.0,0.0,11.0,2.0,3.0,6.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,roles/storage-cns/defaults/main.yml,kubevirt/kubevirt-ansible,3.17,cluster openshift apb action provis glusterf namespac appstorag glusterf name storag extern provision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
