avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,19.0,2.0,7.0,2.0,1.0,3.0,af89c3e336d7d45f359916a3a1feeb41fa095aa1,2.0,1475889757.0,1.0,no,meta/main.yml,100.0,4.0,19.0,0.0,6.0,3.0,4.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,1.0,0.0,0.0,meta/main.yml,lae/ansible-role-proxmox,4.91,galaxi info author muse ullah descript instal configur proxmox compani fire eye inc licens mit min ansibl version platform name debian version jessi sid stretch galaxi tag proxmox pve virtual kvm lxc depend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,7.0,2.0,7.0,9.0,3.0,8.0,af89c3e336d7d45f359916a3a1feeb41fa095aa1,3.0,1475889757.0,2.0,no,tasks/ssh_cluster_config.yml,59.18,5.0,43.0,2.0,29.0,10.0,14.0,20.0,7.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,154.0,7.0,0.0,0.0,tasks/ssh_cluster_config.yml,lae/ansible-role-proxmox,5.98,name creat ssh directori root file path path state directori mode name creat root ssh key pair pve user name root gener ssh key ye ssh key file path rsa ssh key type rsa ssh key comment root inventori hostnam short name fetch root ssh public key fetch src path path dest pve fetch directori inventori hostnam root path fail miss ye flat ye name author host root ssh public key author key user root key lookup file pve fetch directori item root path item group pve group name add key configur access pve host blockinfil dest path marker content host item hostvar item path default path ident file path rsa creat ye item group pve group name allow root login cluster host blockinfil dest etcsshsshd config marker content match address hostvar item path default path permit root login ye valid usrsbinsshd item group pve group notifi reload sshd configur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,7.0,2.0,7.0,84.0,7.0,34.0,af89c3e336d7d45f359916a3a1feeb41fa095aa1,12.0,1475889757.0,1.0,yes,tasks/main.yml,100.0,18.0,84.0,1.0,113.0,9.0,41.0,29.0,2.0,13.0,1.0,0.0,0.0,2.0,0.0,5.0,4.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,69.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,244.0,12.0,0.0,1.0,tasks/main.yml,lae/ansible-role-proxmox,6.97,includ ssh cluster path name ensur public etchost lineinfil dest etchost state present line ansibl default path ansibl fqdn ansibl hostnam regexp ansibl hostnam name trust proxmox packag key apt key data lookup file filesproxmox path state present name add proxmox repositori apt repositori repo pve repositori line filenam proxmox state present name run distupgrad apt updat cach ye cach valid time upgrad dist name instal proxmox relat packag apt name item state latest item proxmoxv postfix openiscsi ksmcontroldaemon systemdsysv patch block name remov automat instal pve enterpris repo configur apt repositori repo deb http path jessi pveenterpris filenam pveenterpris state absent name remov subscript check wrapper function web patch src remov check path dest path backup ye pvenosubscript pve repositori line name check kernel updat script scriptscheck kernel path regist pve kernel chang updatedtru pve path pve check kernel updat block name reboot kernel updat command shutdown pve kernel updat detect ansibl reboot async poll ignor error name wait server come back onlin local action wait port host inventori hostnam search regexopen ssh delay timeout becom pve reboot kernel updat pve kernel chang includ ipmi path pve watchdog ipmi name remov old debian kernel apt name item state absent item linuximageamd linuximageamd pve remov old kernel pve kernel chang name ldap fix authent search lineinfil line ldap bind pve ldap bind user password pve ldap bind password insertbefor ldap search dest path notifi restart pvedaemon pve ldap bind user defin pve ldap bind password defin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,2.0,7.0,10.0,3.0,5.0,af89c3e336d7d45f359916a3a1feeb41fa095aa1,3.0,1475889757.0,2.0,no,handlers/main.yml,58.33,2.0,12.0,1.0,11.0,4.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,6.0,0.0,0.0,handlers/main.yml,lae/ansible-role-proxmox,3.24,name restart pvedaemon servic name pvedaemon state restart name reload sshd configur servic name sshd state reload name restart watchdogmux servic name watchdogmux state restart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,7.0,2.0,7.0,42.0,8.0,18.0,af89c3e336d7d45f359916a3a1feeb41fa095aa1,5.0,1475889757.0,1.0,no,tasks/disable_nmi_watchdog.yml,100.0,7.0,34.0,0.0,49.0,10.0,19.0,7.0,1.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,77.0,8.0,0.0,3.0,tasks/disable_nmi_watchdog.yml,lae/ansible-role-proxmox,5.24,name unload nmi watchdog modprob name nmi watchdog state absent name attempt unload softdog live modprob name softdog state absent ignor error regist pve rmmod softdog block name stop watchdogmux servic name watchdogmux state stop notifi restart watchdogmux name unload softdog modprob name softdog state absent pve rmmod softdogfail name disabl nmi watchdog via grub config lineinfil dest etcdefaultgrub line grub cmdline linux grub cmdline linux nmi watchdog insertaft grub cmdline linux regist pve grub name updat grub configur command updategrub regist pve grub updat fail error pve grub path pve grubchang tag skiponlxc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,2.0,7.0,21.0,7.0,20.0,af89c3e336d7d45f359916a3a1feeb41fa095aa1,3.0,1475889757.0,1.0,no,tasks/ipmi_watchdog.yml,100.0,3.0,17.0,0.0,23.0,8.0,20.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,58.0,4.0,0.0,0.0,tasks/ipmi_watchdog.yml,lae/ansible-role-proxmox,5.0,includ disabl nmi path name load ipmi watchdog modul modprob name ipmi watchdog param action pve watchdog ipmi action timeout pve watchdog ipmi timeout panic wdt timeout state present tag skiponlxc name configur ipmi watchdog modul load boot copi content option ipmi watchdog action pve watchdog ipmi action timeout pve watchdog ipmi timeout panic wdt timeout dest path path name configur pve manag use ipmi watchdog copi content watchdog moduleipmi watchdog dest etcdefaultpvehamanag notifi restart watchdogmux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,19.0,2.0,4.0,0.0,0.0,0.0,eccd928edefbd61651d27f38c47abb3244f3618b,0.0,1489179497.0,0.0,no,meta/main.yml,0.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,1.0,0.0,0.0,meta/main.yml,lae/ansible-role-proxmox,4.91,galaxi info author muse ullah descript instal configur proxmox compani fire eye inc licens mit min ansibl version platform name debian version jessi sid stretch galaxi tag proxmox pve virtual kvm lxc depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,2.0,4.0,0.0,0.0,0.0,eccd928edefbd61651d27f38c47abb3244f3618b,0.0,1489179497.0,0.0,no,handlers/main.yml,0.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,6.0,0.0,0.0,handlers/main.yml,lae/ansible-role-proxmox,3.24,name restart pvedaemon servic name pvedaemon state restart name reload sshd configur servic name sshd state reload name restart watchdogmux servic name watchdogmux state restart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,2.0,4.0,0.0,0.0,0.0,eccd928edefbd61651d27f38c47abb3244f3618b,0.0,1489179497.0,0.0,no,tasks/disable_nmi_watchdog.yml,0.0,7.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,77.0,8.0,0.0,3.0,tasks/disable_nmi_watchdog.yml,lae/ansible-role-proxmox,5.24,name unload nmi watchdog modprob name nmi watchdog state absent name attempt unload softdog live modprob name softdog state absent ignor error regist pve rmmod softdog block name stop watchdogmux servic name watchdogmux state stop notifi restart watchdogmux name unload softdog modprob name softdog state absent pve rmmod softdogfail name disabl nmi watchdog via grub config lineinfil dest etcdefaultgrub line grub cmdline linux grub cmdline linux nmi watchdog insertaft grub cmdline linux regist pve grub name updat grub configur command updategrub regist pve grub updat fail error pve grub path pve grubchang tag skiponlxc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,2.0,4.0,0.0,0.0,0.0,eccd928edefbd61651d27f38c47abb3244f3618b,0.0,1489179497.0,0.0,no,tasks/ssh_cluster_config.yml,0.0,5.0,43.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,154.0,7.0,0.0,0.0,tasks/ssh_cluster_config.yml,lae/ansible-role-proxmox,5.98,name creat ssh directori root file path path state directori mode name creat root ssh key pair pve user name root gener ssh key ye ssh key file path rsa ssh key type rsa ssh key comment root inventori hostnam short name fetch root ssh public key fetch src path path dest pve fetch directori inventori hostnam root path fail miss ye flat ye name author host root ssh public key author key user root key lookup file pve fetch directori item root path item group pve group name add key configur access pve host blockinfil dest path marker content host item hostvar item path default path ident file path rsa creat ye item group pve group name allow root login cluster host blockinfil dest etcsshsshd config marker content match address hostvar item path default path permit root login ye valid usrsbinsshd item group pve group notifi reload sshd configur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
