avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,4.0,2.0,7.0,0.0,0.0,0.0,3577d1e9c616e6da86da16e2ac9319158bc5767a,1.0,1475199211.0,1.0,no,tasks/centos.yml,100.0,3.0,15.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,42.0,6.0,0.0,1.0,tasks/centos.yml,mrlesmithjr/ansible-manage-lvm,4.26,name cento instal lvm yum name lvm state present name cento instal util yum name util state present name cento check scsi devic shell scan regist scsi devic chang name cento rescan new disk command path chang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,18.0,2.0,7.0,-1.0,-1.0,-1.0,3577d1e9c616e6da86da16e2ac9319158bc5767a,1.0,1475199211.0,1.0,no,meta/main.yml,100.0,0.0,17.0,116.0,15.0,15.0,15.0,16.0,16.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,2.0,0.0,0.0,meta/main.yml,mrlesmithjr/ansible-manage-lvm,5.2,galaxi info author larri smith descript role manag lvm groupslog volum use creat extend resiz lvm licens licens gplv ccbi etc min ansibl version platform name version name ubuntu version precis trusti categori system depend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,2.0,7.0,-6.0,-2.0,2.0,3577d1e9c616e6da86da16e2ac9319158bc5767a,3.0,1475199211.0,1.0,no,tasks/main.yml,100.0,2.0,6.0,1.0,9.0,3.0,8.0,15.0,5.0,9.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,tasks/main.yml,mrlesmithjr/ansible-manage-lvm,3.55,includ path ansibl famili debian includ path ansibl famili red hat includ manag path manag lvm defin manag lvm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,9.0,2.0,7.0,92.0,15.0,66.0,3577d1e9c616e6da86da16e2ac9319158bc5767a,6.0,1475199211.0,2.0,no,tasks/manage_lvm.yml,94.77,9.0,81.0,1.0,132.0,22.0,66.0,40.0,7.0,24.0,5.0,0.0,0.0,0.0,2.0,28.0,32.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,10.0,0.0,2.0,0.0,0.0,1.0,0.0,10.0,379.0,10.0,0.0,1.0,tasks/manage_lvm.yml,mrlesmithjr/ansible-manage-lvm,5.69,name manag lvm creat new lvm volum group lvg path pv path state present item lvm group path defin path name manag lvm creat new lvm logic volum lvol path path size path state present regist lvm subel lvm group lvname path defin path item defin item none path defin path name manag lvm creat new filesystem new lvm logic volum filesystem fstype path dev dev path path subel lvm group lvname path defin path item defin item none path defin path name manag lvm mount new filesystem mount name path src dev path path fstype path state mount subel lvm group lvname path defin path item defin item none path defin path path defin path name manag lvm resiz filesystem command resizef dev path path subel lvm group lvname path path swap path xf name manag lvm resiz xf command xf growf dev path path subel lvm group lvname path path xf name manag lvm resiz swap shell swapoff mkswap dev path path swapon subel lvm group lvname path path swap name manag lvm unmount filesystem mount name path src dev path path fstype path state absent subel lvm group lvname item defin item none path defin path name manag lvm remov lvm logic volum lvol path path state absent forc ye subel lvm group lvname item defin item none path defin path name manag lvm remov lvm volum group lvg path pv path state absent item lvm group path defin path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,2.0,7.0,0.0,0.0,0.0,3577d1e9c616e6da86da16e2ac9319158bc5767a,0.0,1475199211.0,0.0,no,tasks/debian.yml,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,43.0,4.0,0.0,1.0,tasks/debian.yml,mrlesmithjr/ansible-manage-lvm,4.93,name debian instal prereq apt name item state present item lvm scsitool xfsprog name debian check scsi devic shell scan regist scsi devic chang name debian rescan new disk ad command sbinrescanscsibu chang scsi path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,1.0,1.0,0.0,0.0,0.0,172e6e3863b52304bb092dd0149fe25db5bd2c41,0.0,1479497642.0,0.0,no,tasks/centos.yml,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,42.0,6.0,0.0,1.0,tasks/centos.yml,mrlesmithjr/ansible-manage-lvm,4.26,name cento instal lvm yum name lvm state present name cento instal util yum name util state present name cento check scsi devic shell scan regist scsi devic chang name cento rescan new disk command path chang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,18.0,1.0,1.0,0.0,0.0,0.0,172e6e3863b52304bb092dd0149fe25db5bd2c41,0.0,1479497642.0,0.0,no,meta/main.yml,0.0,0.0,17.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,2.0,0.0,0.0,meta/main.yml,mrlesmithjr/ansible-manage-lvm,5.2,galaxi info author larri smith descript role manag lvm groupslog volum use creat extend resiz lvm licens licens gplv ccbi etc min ansibl version platform name version name ubuntu version precis trusti categori system depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,1.0,1.0,0.0,0.0,0.0,172e6e3863b52304bb092dd0149fe25db5bd2c41,0.0,1479497642.0,0.0,no,tasks/main.yml,0.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,tasks/main.yml,mrlesmithjr/ansible-manage-lvm,3.55,includ path ansibl famili debian includ path ansibl famili red hat includ manag path manag lvm defin manag lvm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,1.0,1.0,1.0,0.0,1.0,172e6e3863b52304bb092dd0149fe25db5bd2c41,2.0,1479497642.0,1.0,no,tasks/manage_lvm.yml,100.0,9.0,82.0,1.0,11.0,6.0,10.0,10.0,5.0,10.0,5.5,0.0,0.0,0.0,2.0,28.0,32.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,10.0,0.0,2.0,0.0,0.0,1.0,0.0,10.0,400.0,10.0,0.0,1.0,tasks/manage_lvm.yml,mrlesmithjr/ansible-manage-lvm,5.62,name manag lvm creat new lvm volum group lvg path pv path state present item lvm group path defin path name manag lvm creat new lvm logic volum lvol path path size path shrink state present regist lvm subel lvm group lvname path defin path item defin item none path defin path name manag lvm creat new filesystem new lvm logic volum filesystem fstype path dev dev path path subel lvm group lvname path defin path item defin item none path defin path name manag lvm mount new filesystem mount name path src dev path path fstype path state mount subel lvm group lvname path defin path item defin item none path defin path path defin path name manag lvm resiz filesystem command resizef dev path path subel lvm group lvname path path swap path xf name manag lvm resiz xf command xf growf dev path path subel lvm group lvname path path xf name manag lvm resiz swap shell swapoff mkswap dev path path swapon subel lvm group lvname path path swap name manag lvm unmount filesystem mount name path src dev path path fstype path state absent subel lvm group lvname item defin item none path defin path name manag lvm remov lvm logic volum lvol path path state absent forc ye subel lvm group lvname item defin item none path defin path name manag lvm remov lvm volum group lvg path pv path state absent item lvm group path defin path,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,-0.07
0.0,5.0,1.0,1.0,0.0,0.0,0.0,172e6e3863b52304bb092dd0149fe25db5bd2c41,0.0,1479497642.0,0.0,no,tasks/debian.yml,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,43.0,4.0,0.0,1.0,tasks/debian.yml,mrlesmithjr/ansible-manage-lvm,4.93,name debian instal prereq apt name item state present item lvm scsitool xfsprog name debian check scsi devic shell scan regist scsi devic chang name debian rescan new disk ad command sbinrescanscsibu chang scsi path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
