avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_authorized_key,num_block_error_handling,num_blocks,num_command_calls,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_regex,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens
0.0,7.0,0.0,0.0,0.0,0.0,0.0,ac6e007cbfc35f29388b9d81c434841dc80d1917,0.0,1525098221.0,0.0,0.0,tasks/install.yml,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,53.0,2.0,0.0,0.0,0.0,tasks/install.yml,mrlesmithjr/ansible-netdata,4.57,name instal clone netdata git repo netdata sourc dir git repo netdata git repo dest netdata sourc dir depth becom name instal instal netdata netdata instal netdata sourc dir command netdata instal dontwait arg chdir netdata sourc dir creat usrsbinnetdata becom notifi restart netdata
0.0,24.0,0.0,0.0,0.0,0.0,0.0,ac6e007cbfc35f29388b9d81c434841dc80d1917,0.0,1525098221.0,0.0,0.0,meta/main.yml,0.0,5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,3.0,0.0,0.0,0.0,meta/main.yml,mrlesmithjr/ansible-netdata,5.0,galaxi info author larri smith descript ansibl role installconfigur netdata licens mit min ansibl version platform name version name debian version jessi stretch name ubuntu version precis trusti xenial galaxi tag system perform monitor depend
0.0,8.0,0.0,0.0,0.0,0.0,0.0,ac6e007cbfc35f29388b9d81c434841dc80d1917,0.0,1525098221.0,0.0,0.0,tasks/update.yml,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,57.0,2.0,0.0,0.0,0.0,tasks/update.yml,mrlesmithjr/ansible-netdata,4.48,name updat updat netdata netdata updat netdata sourc dir command netdata updat arg chdir netdata sourc dir becom notifi restart netdata netdata updat forc name updat forc updat netdata netdata updat netdata sourc dir command netdata updat arg chdir netdata sourc dir becom netdata updat forc
0.0,10.0,0.0,0.0,0.0,0.0,0.0,ac6e007cbfc35f29388b9d81c434841dc80d1917,0.0,1525098221.0,0.0,0.0,tasks/auto_updates.yml,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0,2.0,0.0,0.0,0.0,tasks/auto_updates.yml,mrlesmithjr/ansible-netdata,4.64,name auto updat set cron job auto updat cron name netdata auto updat weekday netdata auto updat weekday minut netdata auto updat minut hour netdata auto updat hour user netdata auto updat user job netdata sourc dir netdata updaterbasenam cron file netdata auto updat becom
0.0,11.0,0.0,0.0,0.0,0.0,0.0,ac6e007cbfc35f29388b9d81c434841dc80d1917,0.0,1525098221.0,0.0,0.0,tasks/config.yml,0.0,5.0,68.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,28.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,189.0,6.0,0.0,0.0,0.0,tasks/config.yml,mrlesmithjr/ansible-netdata,5.8,name config configur netdata templat src path dest netdata config file owner netdata user info user group root mode urx grx notifi restart netdata becom name config configur netdata alarm notif blockinfil marker path netdata alarm config file content key netdata alarm notifi config key netdata alarm notifi config key endfor notifi restart netdata becom netdata alarm configur name config configur netdata stream templat src path dest netdata stream config file owner netdata user info user group root mode urx grx notifi restart netdata becom netdata stream enabl name config configur netdata servic systemd templat src path dest path owner root group root mode urw grw notifi reload systemd netdata restart netdata becom ansibl servic mgr systemd name config configur netdata servic upstart debian templat src path dest path owner root group root mode urwx grx orx notifi restart netdata becom ansibl servic mgr upstart ansibl famili debian name config configur netdata servic upstart red hat templat src path dest path owner root group root mode urwx grx orx notifi restart netdata becom ansibl servic mgr upstart ansibl famili red hat
0.0,7.0,0.0,0.0,0.0,0.0,0.0,ac6e007cbfc35f29388b9d81c434841dc80d1917,0.0,1525098221.0,0.0,0.0,tasks/redhat.yml,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,2.0,0.0,0.0,0.0,tasks/redhat.yml,mrlesmithjr/ansible-netdata,4.19,name redhat instal prereq yum name item state present becom item netdata redhat pre req ansibl distribut fedora
0.0,2.0,0.0,0.0,0.0,0.0,0.0,ac6e007cbfc35f29388b9d81c434841dc80d1917,0.0,1525098221.0,0.0,0.0,tasks/main.yml,0.0,7.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,0.0,0.0,0.0,0.0,tasks/main.yml,mrlesmithjr/ansible-netdata,3.71,includ path ansibl famili debian includ path ansibl famili red hat includ path includ path netdata config includ path netdata updat includ auto path netdata auto updat enabl includ path netdata uninstal tag netdata uninstal
0.0,6.0,0.0,0.0,0.0,0.0,0.0,ac6e007cbfc35f29388b9d81c434841dc80d1917,0.0,1525098221.0,0.0,0.0,tasks/uninstall.yml,0.0,4.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,115.0,1.0,0.0,0.0,0.0,tasks/uninstall.yml,mrlesmithjr/ansible-netdata,4.67,name uninstal prep uninstal netdata replac dest netdata sourc dir netdata uninstallerbasenam regexp replac becom name uninstal prep uninstal netdata replac dest netdata sourc dir netdata uninstallerbasenam regexp replac becom name uninstal uninstal netdata command netdata uninstal forc arg chdir netdata sourc dir becom name uninstal clean uninstal netdata replac dest netdata sourc dir netdata uninstallerbasenam regexp replac becom name uninstal clean uninstal netdata replac dest netdata sourc dir netdata uninstallerbasenam regexp replac becom
0.0,7.0,0.0,0.0,0.0,0.0,0.0,ac6e007cbfc35f29388b9d81c434841dc80d1917,0.0,1525098221.0,0.0,1.0,tasks/debian.yml,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,42.0,4.0,0.0,0.0,0.0,tasks/debian.yml,mrlesmithjr/ansible-netdata,4.68,name debian instal prereq apt name item state present becom item netdata debian pre req name debian instal iprout packag apt name iprout state present becom ansibl distribut ubuntu ansibl distribut version version stricttru
0.0,6.0,0.0,0.0,0.0,0.0,0.0,ac6e007cbfc35f29388b9d81c434841dc80d1917,0.0,1525098221.0,0.0,0.0,handlers/main.yml,0.0,3.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,49.0,4.0,0.0,0.0,0.0,handlers/main.yml,mrlesmithjr/ansible-netdata,3.65,name reload systemd netdata systemd name netdata daemon reload becom name restart netdata servic name netdata state restart enabl sleep becom name start netdata servic name netdata state start enabl becom name stop netdata servic name netdata state stop enabl becom
