avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_authorized_key,num_block_error_handling,num_blocks,num_command_calls,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_regex,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_authorized_key,delta_num_block_error_handling,delta_num_blocks,delta_num_command_calls,delta_num_commands,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_file_exists,delta_num_file_mode,delta_num_file_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_parameters,delta_num_paths,delta_num_plays,delta_num_regex,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_uri,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,5.0,3.0,13.0,3.0,3.0,3.0,638f42db08d5665d8724a556de95560e8ba3d27e,1.0,1487255319.0,1.0,0.0,roles/spark/vars/main.yml,100.0,0.0,5.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,roles/spark/vars/main.yml,nlesc-sherlock/emma,3.32,cran url http path cran ppa key edab spark tarbal http path spark parent datasharedspark spark home datasharedsparksparkbinhadoop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,3.0,13.0,-3.0,-3.0,-3.0,638f42db08d5665d8724a556de95560e8ba3d27e,1.0,1487255319.0,1.0,1.0,roles/spark-master/tasks/jupyter.yml,100.0,0.0,39.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,13.0,113.0,13.0,0.0,0.0,0.0,roles/spark-master/tasks/jupyter.yml,nlesc-sherlock/emma,5.82,name dep jupyt hub notebook apt name item item npm nodej nodejslegaci pythonpip pythonpip libffidev name configurablehttpproxi npm nameconfigurablehttpproxi globaly name jupyt python pip namejupyt executablepip name ipykernel python pip nameipykernel executablepip name python jupyt shell usrbinpython ipykernel instal createsusrlocalsharejupyterkernelspython name tore spark jupyt includ path name jupyt hub pip namejupyterhub executablepip name etcjupyterhub file pathetcjupyterhub statedirectori name jupyt hub config command jupyterhub generateconfig etcjupyterhubjupyterhub path createsetcjupyterhubjupyterhub path name bind jupyt hub interfac blockinfil dest etcjupyterhubjupyterhub path block path path name bind jupyt hub port blockinfil dest etcjupyterhubjupyterhub path block path path port name startstop script jupyt hub copi path path name jupyt hub start systemd namejupyterhub statestart daemon reloady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,3.0,13.0,1.0,1.0,1.0,638f42db08d5665d8724a556de95560e8ba3d27e,1.0,1487255319.0,1.0,0.0,roles/glusterfs/tasks/create-volume.yml,100.0,0.0,15.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.0,3.0,0.0,0.0,0.0,roles/glusterfs/tasks/create-volume.yml,nlesc-sherlock/emma,4.56,name probe secondari command gluster peer probe item item group glusterfssecond name creat volum gluster volum state present name brick datalocalbrickgv rebal ye replica cluster group glusterf name start volum gluster volum state start name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,3.0,13.0,0.0,0.0,0.0,638f42db08d5665d8724a556de95560e8ba3d27e,1.0,1487255319.0,1.0,0.0,roles/glusterfs/tasks/main.yml,100.0,0.0,10.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,29.0,5.0,0.0,0.0,0.0,roles/glusterfs/tasks/main.yml,nlesc-sherlock/emma,4.16,name gluster ppa apt repositori repoppa glusterglusterf name updat apt cach apt updat cachey name gluster server apt nameglusterfsserv name start glusterd servic nameglusterfsserv statestart name volum mount point file namedatalocalbrickgv statedirectori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,3.0,13.0,26.0,9.0,16.0,638f42db08d5665d8724a556de95560e8ba3d27e,3.0,1487255319.0,1.0,0.0,roles/demo/tasks/cluster-analysis.yml,100.0,0.0,25.0,0.0,27.0,9.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,65.0,5.0,0.0,0.0,0.0,roles/demo/tasks/cluster-analysis.yml,nlesc-sherlock/emma,5.0,name clusteranalysi repo git repo http path dest cluster analysi home updat ye forc ye run name emma own text cluster analysi home file name cluster analysi home state directori owner emma group user recurs ye run name clusteranalysi pip pip requir path chdir cluster analysi home name clusteranalysi notebook emma homedir file src cluster analysi home clustit dest datalocalhomeemmaclustit state link dockerswarmmanag group name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,3.0,13.0,9.0,9.0,9.0,638f42db08d5665d8724a556de95560e8ba3d27e,1.0,1487255319.0,1.0,0.0,roles/spark-slave/tasks/main.yml,100.0,0.0,8.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,4.0,0.0,0.0,0.0,roles/spark-slave/tasks/main.yml,nlesc-sherlock/emma,3.93,name copi path templat path path name sparkslav start systemd namesparkslav statestart daemon reloady name copi path templat path path name sparkshuffl start systemd namesparkshuffl statestart daemon reloady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,3.0,13.0,4.0,1.0,2.0,638f42db08d5665d8724a556de95560e8ba3d27e,3.0,1487255319.0,1.0,0.0,roles/glusterfs/tasks/mount-volume.yml,100.0,0.0,7.0,1.0,9.0,3.0,6.0,5.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,31.0,3.0,0.0,0.0,0.0,roles/glusterfs/tasks/mount-volume.yml,nlesc-sherlock/emma,4.39,name creat datashar directori file namedatashar statedirectori name mount datashar command mount glusterf inventori hostnam datashar ignor error ye name creat scratch directori file namedatasharedscratch statedirectori groupus modegrw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,3.0,13.0,6.0,2.0,7.0,638f42db08d5665d8724a556de95560e8ba3d27e,3.0,1487255319.0,2.0,0.0,roles/spark-master/tasks/main.yml,50.0,0.0,27.0,4.0,18.0,6.0,11.0,12.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,71.0,7.0,0.0,0.0,0.0,roles/spark-master/tasks/main.yml,nlesc-sherlock/emma,5.28,name spark home file name spark home state directori name spark distro unarch src spark tarbal dest spark parent remot src name spark config slave templat src path dest spark home confslav name spark default blockinfil dest spark home path creat ye block path spark inventori hostnam path path path path path executor name copi path templat path path name sparkmast start systemd namesparkmast statestart daemon reloady includ path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,3.0,13.0,61.0,15.0,23.0,638f42db08d5665d8724a556de95560e8ba3d27e,4.0,1487255319.0,1.0,0.0,roles/demo/tasks/textcleaning.yml,100.0,0.0,60.0,0.0,68.0,17.0,26.0,7.0,2.0,3.0,2.5,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,1.0,0.0,1.0,26.0,5.0,0.0,0.0,0.0,0.0,0.0,11.0,153.0,12.0,0.0,0.0,0.0,roles/demo/tasks/textcleaning.yml,nlesc-sherlock/emma,5.54,name text clean repo git repo http path dest text clean home updat ye forc ye run name emma own text clean repo file name text clean home state directori owner emma group user recurs ye run name text clean pip pip name item item scikitlearn panda name pip upgrad command pip instal pip name scriptcwl repo git repo http path dest scriptcwl home updat version develop run name scriptcwl dep instal pip requir path chdir scriptcwl home state latest name scriptcwl instal command python path develop arg chdir scriptcwl home name nlppln repo git repo http path work path dest nlppln home updat version develop run name nlppln dep instal pip requir path chdir nlppln home state latest name nlppln instal command python path develop arg chdir nlppln home name text clean notebook emma homedir file src text clean home notebook dest datalocalhomeemmatextcleaningnotebook state link dockerswarmmanag group name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,11.0,3.0,13.0,2.0,1.0,2.0,638f42db08d5665d8724a556de95560e8ba3d27e,2.0,1487255319.0,1.0,0.0,roles/common/vars/main.yml,100.0,0.0,11.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,1.0,0.0,0.0,0.0,roles/common/vars/main.yml,nlesc-sherlock/emma,3.81,trust network user name emma uid password dnw ldsdcbc snfqtqll path lra hlli tsqa piyjc yrkkh yzn fzlscyzd rokw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
