avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,4.0,2.0,10.0,36.0,6.0,17.0,7a1244123d4226e346c74b2084553c8dfa11905e,6.0,1487952930.0,1.0,yes,tasks/ip-list.yml,100.0,6.0,26.0,3.0,42.0,7.0,17.0,6.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,93.0,6.0,0.0,1.0,tasks/ip-list.yml,nusenu/ansible-relayor,5.34,name use singl privat ipv address public ipv address includ var privat ipv path tor vip name workaround ansibl bug set fact tor vtmp tor vtmp name workaround ansibl bug set fact tor vip tor vtmp tor ipv countint ipv address name workaround ansibl bug set fact tor vip tor vip name setup list set fact ip ipv item ipv item togeth tor vip tor vip regist tor ipsinterm name setup list set fact tor ip tor path map attributeans path list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,9.0,2.0,10.0,14.0,1.0,27.0,7a1244123d4226e346c74b2084553c8dfa11905e,10.0,1487952930.0,2.0,no,tasks/linux_service.yml,94.64,2.0,9.0,2.0,63.0,6.0,27.0,49.0,5.0,22.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,29.0,2.0,0.0,0.0,tasks/linux_service.yml,nusenu/ansible-relayor,4.44,name ensur tor instanc enabl start linuxsystemd becom ye servic name tor path path path enabl ye state start nest tor ip tor port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,2.0,10.0,48.0,4.0,32.0,7a1244123d4226e346c74b2084553c8dfa11905e,12.0,1487952930.0,1.0,no,tasks/rpm_prepare.yml,100.0,7.0,35.0,5.0,111.0,9.0,32.0,63.0,5.0,16.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,99.0,8.0,0.0,0.0,tasks/dnf_install.yml,nusenu/ansible-relayor,5.51,name ensur epel repo instal yum becom ye yum name epelreleas ansibl pkg mgr yum name ensur selinux depend instal becom ye packag name libselinuxpython libsemanagepython state present notifi regath fact meta flush handler name ensur selinux boolean tor network relay set appropri fedora becom ye seboolean name tor network relay state ye persist ye ansibl path enabl name ensur systemd dropin folder present rpm becom ye file path etcsystemdsystemtor path state directori owner root mode name ensur servic file dropin present rpm becom ye copi src path dest etcsystemdsystemtor path owner root mode notifi systemctl daemonreload meta flush handler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,8.0,2.0,10.0,52.0,5.0,17.0,7a1244123d4226e346c74b2084553c8dfa11905e,10.0,1487952930.0,1.0,no,tasks/freebsd_service.yml,100.0,5.0,38.0,8.0,95.0,10.0,19.0,43.0,4.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,134.0,6.0,0.0,0.0,tasks/freebsd_service.yml,nusenu/ansible-relayor,5.53,name ensur tor multiinst configur present free bsd becom ye lineinfil dest path line tor instanc tor instanc path path tor conf dir path path path root root tor pid dir path path pid tor data dir path path creat ye nest tor ip tor port name ensur tor instanc free bsd becom ye lineinfil dest path line tor enabl ye creat ye name ensur pid dir exist free bsd becom ye file path tor pid dir state directori owner root mode name ensur pid dir own perinst tor user free bsd becom ye file path tor pid dir path path state directori owner tor path path mode nest tor ip tor port name ensur tor instanc run enabl free bsd becom ye servic name tor enabl ye state start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,2.0,10.0,14.0,14.0,14.0,7a1244123d4226e346c74b2084553c8dfa11905e,1.0,1487952930.0,1.0,no,tasks/fail_google_dns.yml,100.0,2.0,9.0,2.0,14.0,14.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,2.0,0.0,1.0,tasks/fail_google_dns.yml,nusenu/ansible-relayor,5.61,name check path contain googl dn server exit command grep nameserv space nameserv space nameserv space nameserv space nameserv space nameserv space path ignor error ye regist tor googl dn check name abort googl dn server use exit assert tor googl dn path msg use googl dn server exit relay pleas choos altern local dn server exit background http path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,10.0,2.0,10.0,127.0,2.0,62.0,7a1244123d4226e346c74b2084553c8dfa11905e,78.0,1487952930.0,3.0,yes,tasks/configure.yml,98.98,22.0,192.0,3.0,753.0,10.0,69.0,626.0,8.0,164.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,18.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,15.0,0.0,1.0,0.0,0.0,2.0,0.0,21.0,802.0,22.0,0.0,5.0,tasks/configure.yml,nusenu/ansible-relayor,6.97,name ensur local data dir folder exist local becom file path tor offlin masterkey dir inventori hostnam path path state directori mode deleg nest tor ip tor port tag createdir name ensur relay key exist local becom local action command tor listfingerprint disabl network orport auto publish server descriptor exit relay ignoremissingtorrc devnul defaultstorrc devnul log err stdout datadirectori tor offlin masterkey dir inventori hostnam path path nest tor ip tor port name gener new sign key local becom local action command tor keygen sign key lifetim tor signingkeylifetim day day ignoremissingtorrc devnul defaultstorrc devnul log err stdout datadirectori tor offlin masterkey dir inventori hostnam path path nest tor ip tor port tag renewkey name detect duplic relay key across relay local becom shell openssl sha tor offlin masterkey dir keyssecret key tor offlin masterkey dir keys master secret keycut fsortuniq dwc deleg run regist tor dupkeycount name abort duplic relay key fail msg duplic relay key detect abort run tor path name detect master key relay becom ye stat path tor data dir path path keys master secret key regist tor masterkeyonlin nest tor ip tor port name abort master key relay fail msg master key detect relay suppos abort path item tor path name collect fingerprint famili local becom shell key tor offlin masterkey dir keyssecret key openssl rsa key outform der rsapubl key devnul openssl sha donecut fsortxargss deleg run regist tor famili tag reconfigur name ensur perinst tor user exist becom ye user name tor path path system ye shell binfals createhom home tor data dir path path nest tor ip tor port name ensur perinst config folder exist debian becom ye file path tor conf dir path path state directori mode nest tor ip tor port ansibl pkg mgr apt name ensur data dir exist becom ye file path tor data dir state directori owner root mode name ensur key subfold exist becom ye file path tor data dir path path key state directori owner tor path path group tor path path mode urw recurs ye nest tor ip tor port name ensur rsa key place without overrid exist key becom ye copi src tor offlin masterkey dir inventori hostnam path path key item dest tor data dir path path key item owner tor path path mode forc nest tor ip tor port secret key name fetch rsa key comparis becom ye fetch src tor data dir path path key item dest tor offlin masterkey dir inventori hostnam path path key item path flat ye nest tor ip tor port secret key name compar local remot rsa key secret key becom local action shell openssl sha tor offlin masterkey dir inventori hostnam path path keyssecret keycut funiq dwc nest tor ip tor port regist tor rsakey match name abort local remot rsa key match assert path msg key mismatch detect solut http path affect instanc tor offlin masterkey dir inventori hostnam path path key item tor rsakey path name transmit new sign key becom ye copi src tor offlin masterkey dir inventori hostnam path path key item dest tor data dir path path key item owner tor path path mode setyp tor var lib nest tor ip tor port sign cert sign secret key tag renewkey name ensur perinst data dir proper permiss becom ye file path tor data dir path path state directori owner tor path path group tor path path mode urw recurs ye setyp tor var lib nest tor ip tor port name ensur tor config directori exist becom ye file path tor conf dir state directori owner root group tor user mode name ensur path present exit becom ye templat src path dest tor conf dir path mode tor exit relay tor exit notic page name gener torrc file becom ye templat src torrc dest ansibl pkg mgr apt ternari tor conf dir path path path tor conf dir path path torrc owner root mode backup ye valid tor verifyconfig nest tor ip tor port regist tor instanc tmp notifi ensur tor instanc reload torrc chang free bsd ensur tor instanc reload torrc chang linux tag reconfigur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,9.0,2.0,10.0,43.0,9.0,35.0,7a1244123d4226e346c74b2084553c8dfa11905e,5.0,1487952930.0,1.0,yes,tasks/openbsd_service.yml,100.0,5.0,28.0,9.0,57.0,11.0,35.0,14.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,99.0,5.0,0.0,0.0,tasks/openbsd_service.yml,nusenu/ansible-relayor,5.45,name creat link servic file open bsd becom ye file src path state link path path path replac path nest tor ip tor port name ensur tor instanc enabl start open bsd becom ye servic name tor path path argument tor conf dir path path path enabl ye state start nest tor ip tor port name ensur tor instanc reload torrc chang open bsd becom ye servic name tor path path state reload item tor instanc path path tag reconfigur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,2.0,10.0,37.0,1.0,14.0,7a1244123d4226e346c74b2084553c8dfa11905e,34.0,1487952930.0,1.0,no,tasks/freebsd_prepare.yml,100.0,5.0,31.0,0.0,129.0,4.0,18.0,92.0,3.0,16.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,98.0,8.0,0.0,2.0,tasks/freebsd_install.yml,nusenu/ansible-relayor,5.11,name ensur sequenti id avoid free bsd becom ye sysctl name path valu reload sysctl set ye name gather current path set free bsd shell sysctl path becom regist tor currentsomaxconn name ensur somaxconn set reason free bsd becom ye sysctl name path valu tor freebsd somaxconn reload sysctl set ye tor path tor freebsd somaxconn name gather current path set free bsd becom shell sysctl path regist tor currentnmbc name ensur nmbcluster set reason free bsd becom ye sysctl name path valu tor freebsd nmbcluster reload sysctl set ye tor path tor freebsd nmbcluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,2.0,10.0,99.0,3.0,23.0,7a1244123d4226e346c74b2084553c8dfa11905e,32.0,1487952930.0,1.0,yes,tasks/main.yml,100.0,16.0,91.0,3.0,155.0,5.0,23.0,56.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,57.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,253.0,6.0,0.0,0.0,tasks/main.yml,nusenu/ansible-relayor,6.46,name check vulner ansibl version cve assert ansibl path version compar ansibl path version compar msg vulner ansibl version detect pleas updat newer exit run deleg tag alway name check local requir shell command tor command openssl command sort command uniq command command cut command xarg command sed run becom deleg tag alway name ensur creat two instanc per assert tor port length tor port length msg run instanc per address pleas updat tor port configur tag alway includ fail googl path tor exit relay name set specif variabl includ var ansibl famili path tag alway includ path tag alway includ apt path ansibl pkg mgr apt tag debian instal includ rpm path ansibl famili red hat tag cento fedora instal includ openbsd path ansibl system open bsd tag openbsd includ freebsd path ansibl system free bsd tag freebsd name ensur tor instal becom ye packag name item state present item tor packag notifi stopandmask default tor instanc disabl default tor instanc free bsd tag openbsd freebsd debian cento fedora instal meta flush handler includ path tag debian cento fedora openbsd freebsd includ linux path ansibl system linux tag debian cento fedora includ openbsd path ansibl system open bsd tag openbsd includ freebsd path ansibl system free bsd tag freebsd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,2.0,10.0,45.0,1.0,22.0,7a1244123d4226e346c74b2084553c8dfa11905e,34.0,1487952930.0,1.0,yes,tasks/apt_prepare.yml,100.0,11.0,49.0,15.0,151.0,4.0,23.0,106.0,3.0,16.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,172.0,9.0,0.0,0.0,tasks/apt_install.yml,nusenu/ansible-relayor,6.17,name ensur lsbreleas requir instal becom ye apt name lsbreleas notifi regath fact meta flush handler name forc regath fact workaround setup tag name ensur torproject gpg key instal acffcaacdbafeecbceddd becom ye apt key data lookup file path path acffcaacdbafeecbceddd state present name ensur path repositori present apt becom ye apt repositori repo deb http path tor distribut releas main state present updat cach ye name ensur path alpha repo present enabl apt becom ye apt repositori repo deb http path torexperiment tor alpha version path tor distribut releas main state present updat cach ye tor alpha name ensur systemd gener folder exist debian test ubuntu becom ye file path etcsystemdsystemgener state directori mode ansibl path jessi name ensur custom systemd gener place debianubuntu becom ye copi src torgener dest ansibl path jessi ternari libsystemdsystemgeneratorsrelayorgener etcsystemdsystemgeneratorstorgener owner root mode name ensur maintain gener disabl debian becom ye command dpkgstatoverrid updat add root root libsystemdsystemgeneratorstorgener ansibl path jessi ignor error ye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
