avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_authorized_key,num_block_error_handling,num_blocks,num_command_calls,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_regex,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_authorized_key,delta_num_block_error_handling,delta_num_blocks,delta_num_command_calls,delta_num_commands,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_file_exists,delta_num_file_mode,delta_num_file_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_parameters,delta_num_paths,delta_num_plays,delta_num_regex,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_uri,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,6.0,4.0,13.0,-2.0,-1.0,7.0,1976d1775c81a745af4cf7379ed699393348ded2,2.0,1464169735.0,1.0,0.0,tasks/config.yml,100.0,2.0,17.0,0.0,19.0,10.0,13.0,21.0,10.0,15.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,53.0,3.0,0.0,0.0,1.0,tasks/config.yml,nwoetzel/ansible-role-eclipse,5.07,name set locat path set fact eclips ide pref eclips unpack dir eclips path path name check path exist stat path eclips ide pref regist eclips ide pref stat name configur path lineinfil dest eclips ide pref state present backup regexp path line path path dict eclips path path eclips ide pref path tag eclips config,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,4.0,13.0,0.0,0.0,0.0,1976d1775c81a745af4cf7379ed699393348ded2,3.0,1464169735.0,2.0,1.0,meta/main.yml,66.67,0.0,2.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,meta/main.yml,nwoetzel/ansible-role-eclipse,1.58,depend role ansiblerolejavaoracl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,8.0,4.0,13.0,19.0,6.0,19.0,1976d1775c81a745af4cf7379ed699393348ded2,3.0,1464169735.0,2.0,0.0,tasks/set_vars.yml,91.3,2.0,16.0,0.0,21.0,7.0,19.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,111.0,3.0,0.0,0.0,0.0,tasks/set_vars.yml,nwoetzel/ansible-role-eclipse,5.57,name set eclips var default set set fact eclips arch eclips arch default eclips path ansibl architectur eclips eclips default eclips path ansibl system eclips url eclips path eclips updat eclips servic releas default eclips path eclips distro path servic releas eclips gui eclips path ansibl system fail eclips distro eclips path eclips packag eclips path eclips distro path name set name tar file set fact eclips file tar eclips eclips packag eclips distro eclips updat eclips eclips gui eclips gui eclips arch eclips arch path name set java download url instal dir set fact eclips instal dir eclips instal dir default ansibl path sweclips eclips path eclips distro path eclips download url eclips url eclips distro eclips updat eclips file tar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,4.0,13.0,-42.0,-14.0,2.0,1976d1775c81a745af4cf7379ed699393348ded2,3.0,1464169735.0,2.0,0.0,tasks/eclipse.yml,89.77,3.0,24.0,2.0,23.0,8.0,17.0,65.0,22.0,58.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,77.0,5.0,0.0,0.0,0.0,tasks/eclipse.yml,nwoetzel/ansible-role-eclipse,5.09,name creat instal directori file dest eclips instal dir state directori tag eclips name set name unpack eclips directori set fact eclips unpack dir eclips instal dir eclips eclips ini path eclips instal dir path name unpack archiv master unarch src master download folder eclips file tar dest eclips instal dir creat eclips ini path tag eclips name instal graphic librari requir packag name item state present item libgtk libswtgtkjni libswtgtkjava ansibl distribut ubuntu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,10.0,4.0,13.0,26.0,26.0,26.0,1976d1775c81a745af4cf7379ed699393348ded2,1.0,1464169735.0,1.0,1.0,tasks/eclipseinijavavm.yml,100.0,1.0,24.0,0.0,26.0,26.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,80.0,0.0,0.0,0.0,0.0,tasks/eclipseinijavavm.yml,nwoetzel/ansible-role-eclipse,5.07,name configur eclips ini option javaoracl role lineinfil dest eclips ini path state present regexp insertbefor vmarg line backup ye eclips ini overwrit java unpack dir defin eclips ini flag next line undefin eclips ini flag next line undefin name configur eclips ini option javaoracl role lineinfil dest eclips ini path state present regexp java unpack dir binjava insertaft line java unpack dir binjava backup ye eclips ini overwrit java unpack dir defin eclips ini flag next line undefin eclips ini flag next line undefin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,4.0,13.0,20.0,20.0,20.0,1976d1775c81a745af4cf7379ed699393348ded2,1.0,1464169735.0,1.0,0.0,tasks/download_to_master.yml,100.0,2.0,17.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,73.0,3.0,0.0,0.0,0.0,tasks/download_to_master.yml,nwoetzel/ansible-role-eclipse,5.58,name set download locat master eclips tar file set fact master download folder master download folder default ansibl path download deleg local run name creat download folder exist yet file dest master download folder state directori tag master download eclips name download eclips ansiblemast local action get url url eclips download url dest master download folder eclips file tar forceno run tag master download eclips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,8.0,4.0,13.0,-14.0,-5.0,0.0,1976d1775c81a745af4cf7379ed699393348ded2,3.0,1464169735.0,2.0,0.0,tasks/eclipseini.yml,89.19,3.0,34.0,0.0,30.0,10.0,22.0,44.0,15.0,32.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,3.0,0.0,0.0,19.0,4.0,0.0,2.0,0.0,0.0,0.0,4.0,122.0,4.0,0.0,0.0,0.0,tasks/eclipseini.yml,nwoetzel/ansible-role-eclipse,5.21,name configur eclips ini next line paramet option lineinfil dest eclips ini path state present regexp path regex escap insertbefor vmarg line path backup ye eclips ini overwrit dict eclips ini flag next line default name configur eclips ini next line paramet valu lineinfil dest eclips ini path state present regexp path regex escap insertaft path line path backup ye eclips ini overwrit dict eclips ini flag next line default name chang splash replac dest eclips ini path regexp path splash replac splash eclips ini overwrit name chang vmarg replac dest eclips ini path regexp path regex escap replac path path backup ye dict eclips ini flag vmarg eclips ini overwrit eclips ini flag vmarg defin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,8.0,4.0,13.0,1.0,0.0,5.0,1976d1775c81a745af4cf7379ed699393348ded2,3.0,1464169735.0,1.0,0.0,tasks/plugins.yml,100.0,6.0,47.0,6.0,31.0,10.0,27.0,30.0,10.0,22.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,171.0,6.0,0.0,0.0,0.0,tasks/plugins.yml,nwoetzel/ansible-role-eclipse,5.93,name creat plugin instal command set fact plugin instal command eclips unpack dir eclips nosplash applic path destin eclips unpack dir path eclips eclips path eclips gui eclips gui path ansibl architectur ansibl architectur tag eclips plugin name instal python pexpect ad pydev certificat packag name item state present item pythonpexpect ansibl distribut debian pydev eclips plugin instal tag eclips plugin name transfer eclips pydev certif copi srcadd pydev path dest eclips dir tmp mode forcey pydev eclips plugin instal tag eclips plugin name add eclips pydev certif command python eclips dir tmp add pydev path pydev eclips plugin instal tag eclips plugin name instal java subclips packag name item state present item libsvnjava ansibl distribut debian subclips eclips plugin instal tag eclips plugin name instal eclips plugin command plugin instal command repositori http path eclips distro eclips path item path join instal eclips path item path unit join tag ansibl instal plugin item arg creat eclips unpack dir featur eclips path item path featur item eclips plugin instal eclips path item defin tag eclips plugin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,4.0,13.0,0.0,0.0,4.0,1976d1775c81a745af4cf7379ed699393348ded2,2.0,1464169735.0,2.0,0.0,tasks/main.yml,77.78,7.0,17.0,0.0,9.0,4.0,5.0,9.0,4.0,9.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,40.0,3.0,0.0,0.0,0.0,tasks/main.yml,nwoetzel/ansible-role-eclipse,3.83,includ set path tag eclips includ download path includ path tag eclips name configur path includ path tag eclips name set javaoracl role includ path tag eclips name creat link includ path tag eclips includ path tag eclips includ path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,3.0,14.0,0.0,0.0,0.0,0753508f83b85a2ffcc1ce1dd08e888a4610ee1d,0.0,1464198475.0,0.0,0.0,tasks/config.yml,0.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,53.0,3.0,0.0,0.0,1.0,tasks/config.yml,nwoetzel/ansible-role-eclipse,5.07,name set locat path set fact eclips ide pref eclips unpack dir eclips path path name check path exist stat path eclips ide pref regist eclips ide pref stat name configur path lineinfil dest eclips ide pref state present backup regexp path line path path dict eclips path path eclips ide pref path tag eclips config,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
