avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens
0.0,3.0,2.0,18.0,13.0,2.0,15.0,b5afcf6192dc49eea96b7cec6e047520854ce180,6.0,1454235358.0,3.0,no,roles/rollback/tasks/main.yml,73.17,3.0,10.0,1.0,27.0,4.0,15.0,14.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,59.0,3.0,0.0,0.0,roles/rollback/tasks/main.yml,openfoodfoundation/ofn-install,4.8,name remov current path file dest current path stateabs name copi rollback repo current path command rollback path current path creat current path name copi rollback live shell gunzip rollback sql path psql host user notifi precompil asset restart unicorn
0.0,3.0,2.0,18.0,48.0,48.0,48.0,b5afcf6192dc49eea96b7cec6e047520854ce180,1.0,1454235358.0,1.0,no,roles/verify/tasks/main.yml,100.0,14.0,29.0,6.0,48.0,48.0,48.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,3.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,135.0,7.0,0.0,3.0,roles/verify/tasks/main.yml,openfoodfoundation/ofn-install,5.61,name test fetch websit content action uri urlhttp return contenty regist webpag fail msgweb server run shop path name get current date timestamp shell date regist current date name move stage baselin way command current path path current path dbbackupstagingbaselin current path path arg remov current path path name test save stage baselin shell current path scriptcisav stage path git revpars head arg chdir current path creat current path path name test load stage baselin command current path scriptciload stage path name test web server still run load stage baselin action uri urlhttp return contenty regist webpag fail msgweb server run shop path name restor origin stage baselin command current path dbbackupstagingbaselin current path path current path path arg remov current path dbbackupstagingbaselin current path path
0.0,3.0,2.0,18.0,8.0,4.0,8.0,b5afcf6192dc49eea96b7cec6e047520854ce180,2.0,1454235358.0,1.0,no,roles/unicorn_user/tasks/main.yml,100.0,1.0,7.0,1.0,9.0,4.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,2.0,0.0,0.0,roles/app/templates/crontab.j2,openfoodfoundation/ofn-install,4.13,name creat unprivileg user user name unicorn user appendy statepres shellbinbash sudo ye name add ssh key author key user unicorn user key ssh pubkey sudo ye
0.0,3.0,2.0,18.0,17.0,6.0,10.0,b5afcf6192dc49eea96b7cec6e047520854ce180,3.0,1454235358.0,2.0,no,roles/deploy/handlers/main.yml,66.67,6.0,7.0,4.0,19.0,6.0,10.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,57.0,3.0,0.0,0.0,roles/deploy/handlers/main.yml,openfoodfoundation/ofn-install,4.55,name precompil asset command bash bundl exec rake asset precompil primari rail groupsasset rail env rail env chdir current path notifi precompil nondigest asset name precompil nondigest asset command bash bundl exec rake asset precompil nondigest rail groupsasset rail env rail env chdir current path name restart delay job worker command bash path job stop rail env rail env chdir current path
0.0,4.0,2.0,18.0,13.0,3.0,12.0,b5afcf6192dc49eea96b7cec6e047520854ce180,5.0,1454235358.0,2.0,no,roles/language/tasks/main.yml,65.52,2.0,10.0,0.0,21.0,4.0,12.0,8.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,38.0,3.0,0.0,0.0,templates/locale,openfoodfoundation/ofn-install,4.27,name instal languag packag sudo ye apt pkg item statelatest forcey item languag packag name updat local shell updatelocal lang languag languag ctype languag sudo ye name reconfigur local shell dpkgreconfigur local sudo ye
0.0,7.0,2.0,18.0,52.0,1.0,22.0,b5afcf6192dc49eea96b7cec6e047520854ce180,35.0,1454235358.0,4.0,no,roles/app/tasks/main.yml,78.88,8.0,42.0,2.0,284.0,8.0,35.0,232.0,7.0,67.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,187.0,7.0,0.0,0.0,roles/app/tasks/main.yml,openfoodfoundation/ofn-install,5.47,name make dir file path item statedirectori owner unicorn user item app path share path backup path releas path asset path system path spree path log path pid path sock path config path tag dir name copi path copi path dest config path path owner unicorn user tag app templat name templat file templat src path dest path owner unicorn user mode item src path dest config path postrec src path dest config path path src path dest config path path src path dest config path path tag app templat name copi bugsnag file share folder templat path dest config path path mode owner unicorn user tag app templat bugsnag key none name copi dbfog file share folder templat path dest config path path mode owner unicorn user tag app templat bucket none name copi newrel file share folder templat path dest config path path owner unicorn user mode tag app templat newrel key none name get repo git repo repo dest path forcey tag
0.0,4.0,2.0,18.0,42.0,5.0,23.0,b5afcf6192dc49eea96b7cec6e047520854ce180,9.0,1454235358.0,3.0,no,roles/backup/tasks/main.yml,64.86,8.0,20.0,15.0,58.0,6.0,23.0,16.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,75.0,4.0,0.0,1.0,roles/backup/tasks/main.yml,openfoodfoundation/ofn-install,5.47,name get current date timestamp shell date regist current date tag backup name backup remot databas shell dump host user gzip backup path current path path name fetch databas local fetch src backup path current path path dest local backup path ansibl hostnam databas fail missingy flaty name sync public file local synchron modepul src current path public dest local rsync path ansibl hostnam file copi linksy tag rsync
0.0,2.0,2.0,18.0,11.0,1.0,10.0,b5afcf6192dc49eea96b7cec6e047520854ce180,10.0,1454235358.0,3.0,no,roles/bundler/tasks/main.yml,51.28,2.0,5.0,3.0,25.0,2.0,10.0,14.0,1.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,2.0,0.0,0.0,roles/bundler/tasks/main.yml,openfoodfoundation/ofn-install,3.62,name instal bundler command bash gem instal bundler nori nordoc name reload rbenv command bash rbenv rehash
0.0,10.0,2.0,18.0,37.0,2.0,15.0,b5afcf6192dc49eea96b7cec6e047520854ce180,21.0,1454235358.0,3.0,no,roles/webserver/tasks/main.yml,71.02,7.0,28.0,11.0,160.0,8.0,27.0,123.0,6.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,131.0,4.0,0.0,0.0,tasks/phantomjs.yml,openfoodfoundation/ofn-install,5.4,name copi unicorn file templat src path dest path mode path owner path group path sudo ye item src unicorn path dest path app mode owner unicorn user group unicorn user src path dest config path path mode owner unicorn user group unicorn user src nginx path dest nginx path sitesavail app mode owner root group root notifi restart unicorn restart nginx name updat unicorn servic nameunicorn app enabledy sudo ye name enabl unicorn app nginx file src nginx path sitesavail app dest nginx path sitesen app statelink mode sudo ye tag unicornnginx notifi restart unicorn restart nginx name remov default nginx site file dest nginx path sitesenableddefault stateabs sudo ye tag unicornnginx notifi restart unicorn restart nginx
0.0,2.0,2.0,18.0,3.0,3.0,3.0,b5afcf6192dc49eea96b7cec6e047520854ce180,1.0,1454235358.0,1.0,no,roles/backup/defaults/main.yml,100.0,0.0,2.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,roles/backup/defaults/main.yml,openfoodfoundation/ofn-install,2.25,local backup path playbook dir backup local rsync path playbook dir backup
