avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_authorized_key,num_block_error_handling,num_blocks,num_command_calls,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_regex,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_authorized_key,delta_num_block_error_handling,delta_num_blocks,delta_num_command_calls,delta_num_commands,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_file_exists,delta_num_file_mode,delta_num_file_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_parameters,delta_num_paths,delta_num_plays,delta_num_regex,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_uri,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,11.0,2.0,27.0,229.0,16.0,54.0,373d75a584c08f0c0804f75f1cba8063fbb2712c,14.0,1459444111.0,10.0,0.0,tasks/neutron_install.yml,36.12,20.0,228.0,18.0,264.0,19.0,55.0,35.0,2.0,6.0,2.5,5.0,0.0,0.0,0.0,1.0,1.0,14.0,27.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,2.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,6.0,0.0,3.0,43.0,9.0,0.0,0.0,0.0,0.0,2.0,20.0,573.0,20.0,1.0,0.0,10.0,tasks/neutron_install.yml,openstack/openstack-ansible-os_neutron,6.41,name check apt last updat file stat path varcacheapt regist apt cach stat tag neutronaptpackag name updat apt need apt updat cach ye ansibl date path apt cach path cach timeout tag neutronaptpackag name instal apt packag apt pkg item state latest regist instal packag instal packagessuccess retri delay item neutron apt packag tag neutroninstal neutronaptpackag name instal apt packag lbaa apt pkg item state latest regist instal packag instal packagessuccess retri delay item neutron lbaa apt packag inventori hostnam group neutron servic neutronlbaasag group neutron lbaa bool neutron lbaasv bool tag neutroninstal neutronaptpackag name remov specif apt packag apt pkg item state absent regist remov packag remov packagessuccess retri delay item neutron apt remov packag tag neutroninstal neutronaptpackag name creat develop mode constraint file copi dest path content item neutron develop constraint item endfor neutron develop mode bool tag neutroninstal neutronpippackag name clone requir git repositori git repo neutron requir git repo dest optrequir clone ye updat ye version neutron requir git instal branch neutron develop mode bool tag neutroninstal neutronpippackag name add constraint pip instal option fact develop mode set fact pip instal option fact pip instal optionsdefault constraint path constraint path neutron develop mode bool tag neutroninstal neutronpippackag name set pip instal option fact develop mode set fact pip instal option fact pip instal optionsdefault neutron develop mode bool tag neutroninstal neutronpippackag name instal requir pip packag pip name item state present extra arg pip instal option fact regist instal packag instal packagessuccess retri delay item neutron requir pip packag tag neutroninstal neutronpippackag name get local venv checksum stat path varcach neutron venv download url basenam get neutron develop mode bool neutron venv enabl bool regist local venv stat tag neutroninstal neutronpippackag name get remot venv checksum uri url neutron venv download url replac tgz checksum return content neutron develop mode bool neutron venv enabl bool regist remot venv checksum tag neutroninstal neutronpippackag name attempt venv download get url url neutron venv download url dest varcach neutron venv download url basenam forc ye ignor error regist get venv neutron develop mode bool neutron venv enabl bool local venv path local venv path defin local venv path remot venv path trim tag neutroninstal neutronpippackag name set neutron get venv fact set fact neutron get venv get venv neutron venv enabl bool tag neutroninstal neutronpippackag name remov exist venv file path neutron venv bin dirnam state absent neutron venv enabl bool neutron get venv chang tag neutroninstal neutronpippackag name creat neutron venv dir file path neutron venv bin dirnam state directori neutron develop mode bool neutron venv enabl bool neutron get venv chang tag neutroninstal neutronpippackag name unarch prebuilt venv unarch src varcach neutron venv download url basenam dest neutron venv bin dirnam copi neutron develop mode bool neutron venv enabl bool neutron get venv chang notifi restart neutron servic tag neutroninstal neutronpippackag name updat virtualenv path command virtualenvtool updatepathauto neutron venv bin dirnam neutron develop mode bool neutron venv enabl bool neutron get venv success tag neutroninstal neutronpippackag name instal pip packag venv pip name item state present virtualenv neutron venv bin dirnam virtualenv site packag extra arg pip instal option fact regist instal packag instal packagessuccess retri delay item neutron pip packag neutron venv enabl bool neutron get venv fail neutron develop mode bool notifi restart neutron servic tag neutroninstal neutronpippackag name instal pip packag venv pip name item state present extra arg pip instal option fact regist instal packag instal packagessuccess retri delay item neutron pip packag neutron develop mode bool neutron venv enabl bool notifi restart neutron servic tag neutroninstal neutronpippackag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,8.0,2.0,27.0,23.0,23.0,23.0,373d75a584c08f0c0804f75f1cba8063fbb2712c,1.0,1459444111.0,1.0,0.0,tasks/neutron_check.yml,100.0,1.0,8.0,10.0,23.0,23.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,1.0,0.0,0.0,0.0,tasks/neutron_check.yml,openstack/openstack-ansible-os_neutron,4.83,name ensur lbaa enabl simultan fail messag lbaa enabl time verifi neutron plugin base variabl correct neutron lbaa bool neutron lbaasv bool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,26.0,2.0,27.0,6.0,2.0,3.0,373d75a584c08f0c0804f75f1cba8063fbb2712c,3.0,1459444111.0,3.0,0.0,meta/main.yml,64.29,1.0,26.0,10.0,10.0,3.0,6.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,43.0,1.0,0.0,0.0,0.0,meta/main.yml,openstack/openstack-ansible-os_neutron,5.15,galaxi info author rcbop descript instal setup neutron compani rackspac licens apach min ansibl version platform name ubuntu version trusti categori cloud python neutron develop openstack depend role pip lock neutron develop mode bool role pip instal neutron develop mode bool apt packag pin galera client openstack openrc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,2.0,27.0,49.0,16.0,35.0,373d75a584c08f0c0804f75f1cba8063fbb2712c,3.0,1459444111.0,3.0,0.0,tasks/neutron_lbaas.yml,55.56,5.0,24.0,15.0,56.0,19.0,35.0,7.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,90.0,6.0,0.0,0.0,2.0,tasks/neutron_lbaas.yml,openstack/openstack-ansible-os_neutron,4.79,name check lbaa agent upstart script exist neutron plugin base stat path regist neutron lbaa upstart neutron lbaasv bool name check lbaa agent upstart script exist neutron plugin base stat path regist neutron lbaasv upstart neutron lbaa bool name ensur lbaa agent stop neutron plugin base servic name neutronlbaasag enabl state stop neutron lbaasv bool neutron lbaa path name ensur lbaa agent stop neutron plugin base servic name neutronlbaasvag enabl state stop neutron lbaa bool neutron lbaasv path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,14.0,2.0,27.0,28.0,7.0,14.0,373d75a584c08f0c0804f75f1cba8063fbb2712c,4.0,1459444111.0,4.0,1.0,tasks/neutron_upstart_init.yml,58.82,8.0,104.0,10.0,65.0,16.0,30.0,37.0,9.0,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,288.0,0.0,0.0,0.0,48.0,tasks/neutron_upstart_init.yml,openstack/openstack-ansible-os_neutron,4.63,includ neutron upstart common path var program name neutron servic neutronserv path name program config option neutron servic neutronserv path option servic name neutron servic name system user neutron system user name system group neutron system group name servic home neutron system home folder inventori hostnam group neutron servic neutronserv group neutron servic neutronserv path bool tag upstartinit includ neutron upstart common path var program name neutron servic neutrondhcpag path name program config option neutron servic neutrondhcpag path option servic name neutron servic name system user neutron system user name system group neutron system group name servic home neutron system home folder inventori hostnam group neutron servic neutrondhcpag group neutron servic neutrondhcpag path bool tag upstartinit includ neutron upstart common path var program name neutron servic neutronlag path name program config option neutron servic neutronlag path option servic name neutron servic name system user neutron system user name system group neutron system group name servic home neutron system home folder inventori hostnam group neutron servic neutronlag group neutron servic neutronlag path bool tag upstartinit includ neutron upstart common path var program name neutron servic neutronlinuxbridgeag path name program config option neutron servic neutronlinuxbridgeag path option servic name neutron servic name system user neutron system user name system group neutron system group name servic home neutron system home folder inventori hostnam group neutron servic neutronlinuxbridgeag group neutron servic neutronlinuxbridgeag path bool tag upstartinit includ neutron upstart common path var program name neutron servic neutronmetadataag path name program config option neutron servic neutronmetadataag path option servic name neutron servic name system user neutron system user name system group neutron system group name servic home neutron system home folder inventori hostnam group neutron servic neutronmetadataag group neutron servic neutronmetadataag path bool tag upstartinit includ neutron upstart common path var program name neutron servic neutronmeteringag path name program config option neutron servic neutronmeteringag path option servic name neutron servic name system user neutron system user name system group neutron system group name servic home neutron system home folder inventori hostnam group neutron servic neutronmeteringag group neutron servic neutronmeteringag path bool tag upstartinit includ neutron upstart common path var program name neutron servic neutronlbaasag path name program config option neutron servic neutronlbaasag path option servic name neutron servic name system user neutron system user name system group neutron system group name servic home neutron system home folder inventori hostnam group neutron servic neutronlbaasag group neutron servic neutronlbaasag path bool tag upstartinit includ neutron upstart common path var program name neutron servic neutronlbaasvag path name program config option neutron servic neutronlbaasvag path option servic name neutron servic name system user neutron system user name system group neutron system group name servic home neutron system home folder inventori hostnam group neutron servic neutronlbaasvag group neutron servic neutronlbaasag path bool tag upstartinit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,11.0,2.0,27.0,53.0,5.0,28.0,373d75a584c08f0c0804f75f1cba8063fbb2712c,10.0,1459444111.0,6.0,0.0,tasks/neutron_db_setup.yml,62.56,9.0,103.0,13.0,140.0,14.0,41.0,87.0,9.0,33.0,4.0,3.0,0.0,0.0,0.0,3.0,3.0,11.0,8.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,3.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,284.0,11.0,0.0,0.0,0.0,tasks/neutron_db_setup.yml,openstack/openstack-ansible-os_neutron,5.87,name creat servic mysql login user galera root user login password galera root password login host neutron galera address name neutron galera databas state present tag neutrondbsetup name grant access servic mysql user login user galera root user login password galera root password login host neutron galera address name neutron galera user password neutron contain mysql password host item state present priv neutron galera databas item localhost tag neutrondbsetup name get neutron migrat fact neutron migrat fact releas mitaka librari path neutron lib dir bin path neutron bin neutron plugin type tag neutrondbsetup neutronupgrad name print neutron migrat fact debug var neutron migrat neutron plugin type tag neutrondbsetup neutronupgrad name perform neutron onlin upgrad expand command neutron bin neutrondbmanag configfil neutron config configfil neutron plugin upgrad expand becom ye becom user neutron system user name neutron migrat defin neutron migrat run expand bool neutron plugin type tag neutrondbsetup neutronupgrad name stop neutron server servic name neutronserv state stop pattern neutronserv deleg item item group neutron servic neutronserv group neutron migrat defin neutron migrat run contract bool neutron plugin type tag neutrondbsetup neutronupgrad name perform neutron offlin upgrad contract command neutron bin neutrondbmanag configfil neutron config configfil neutron plugin upgrad contract becom ye becom user neutron system user name neutron migrat defin neutron migrat run contract bool neutron plugin type tag neutrondbsetup neutronupgrad name perform neutron offlin upgrad head command neutron bin neutrondbmanag configfil neutron config configfil neutron plugin upgrad head becom ye becom user neutron system user name neutron plugin type tag neutrondbsetup neutronupgrad name start neutron server servic name neutronserv state start pattern neutronserv deleg item item group neutron servic neutronserv group neutron migrat defin neutron migrat run contract bool neutron plugin type tag neutrondbsetup neutronupgrad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,15.0,2.0,27.0,113.0,13.0,42.0,373d75a584c08f0c0804f75f1cba8063fbb2712c,9.0,1459444111.0,4.0,0.0,tasks/plumgrid_config.yml,68.35,6.0,94.0,9.0,126.0,14.0,42.0,13.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,4.0,0.0,4.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,225.0,6.0,0.0,0.0,4.0,tasks/plumgrid_config.yml,openstack/openstack-ansible-os_neutron,5.76,name setup plumlib neutron config config templat src path dest path owner neutron system user name group neutron system group name config overrid neutron plumlib ini overrid config type ini tag neutron config name place pgrc file templat src pluginsplumgridpgrc dest etcneutronpluginsplumgridpgrc owner neutron system user name group neutron system group name tag neutron config name instal plumgrid pip packag venv pip name item state present virtualenv neutron venv bin dirnam virtualenv site packag extra arg pip instal optionsdefault regist instal packag instal packagessuccess ignor error retri delay item neutron option plumgrid pip packag neutron venv enabl bool inventori hostnam group neutron servic neutronserv group tag neutroninstal neutronpippackag name instal plumgrid pip packag fall back venv pip name item state present virtualenv neutron venv bin dirnam virtualenv site packag extra arg isol instal packagesfail regist instal packag fall back instal packag fall backsuccess retri delay item neutron option plumgrid pip packag neutron venv enabl bool inventori hostnam group neutron servic neutronserv group tag neutroninstal neutronpippackag name instal plumgrid pip packag venv pip name item state present extra arg pip instal optionsdefault regist instal packag instal packagessuccess retri delay ignor error item neutron option plumgrid pip packag neutron venv enabl bool inventori hostnam group neutron servic neutronserv group tag neutroninstal neutronpippackag name instal plumgrid pip packag fall back venv pip name item state present extra arg isol instal packagesfail regist instal packag fall back instal packag fall backsuccess retri delay item neutron option plumgrid pip packag neutron venv enabl bool inventori hostnam group neutron servic neutronserv group tag neutroninstal neutronpippackag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,8.0,2.0,27.0,1.0,1.0,1.0,373d75a584c08f0c0804f75f1cba8063fbb2712c,1.0,1459444111.0,1.0,0.0,handlers/main.yml,100.0,1.0,8.0,10.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,2.0,0.0,0.0,0.0,handlers/main.yml,openstack/openstack-ansible-os_neutron,4.1,name restart neutron servic servic name path name state restart pattern path name dict neutron servic fail path bool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,14.0,2.0,27.0,68.0,4.0,23.0,373d75a584c08f0c0804f75f1cba8063fbb2712c,16.0,1459444111.0,8.0,0.0,tasks/neutron_post_install.yml,52.65,11.0,149.0,10.0,223.0,14.0,49.0,155.0,10.0,32.0,2.0,5.0,0.0,0.0,0.0,2.0,2.0,9.0,5.0,0.0,0.0,8.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,130.0,0.0,4.0,0.0,0.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,11.0,381.0,11.0,0.0,0.0,1.0,tasks/neutron_post_install.yml,openstack/openstack-ansible-os_neutron,6.22,name copi neutron config config templat src path dest path owner path neutron system user name group path neutron system group name mode config overrid path overrid config type path type item src path dest path config overrid neutron neutron conf overrid config type ini src neutron plugin neutron plugin type path ini path dest etcneutron neutron plugin neutron plugin type path ini config overrid neutron plugin neutron plugin type path conf ini overrid config type ini src path dest path config overrid neutron api past ini overrid config type ini src path dest path owner root group root config overrid neutron rootwrap conf overrid config type ini src path dest path config overrid neutron polici overrid config type json notifi restart neutron servic tag neutronconfig name gener neutron dnsmasq config config templat src path dest path owner neutron system user name group neutron system group name mode config overrid neutron dnsmasq neutron conf overrid config type ini notifi restart neutron servic inventori hostnam group neutron servic neutrondhcpag group tag neutronconfig name gener neutron agent config config templat src path conf path dest etcneutron path conf owner neutron system user name group neutron system group name mode config overrid path overrid config type path type dict neutron servic notifi restart neutron servic path bool path conf defin inventori hostnam group path tag neutronconfig name drop neutron rootwrap filter copi src path dest path owner root group root item src path dest path src path dest path src path dest path src path dest path src path dest path src path dest path src path dest path src path dest path src path dest path notifi restart neutron servic tag neutronconfig name drop neutron agent rootwrap filter copi src path rootwrap dest etcneutron path rootwrap owner root group root dict neutron servic path bool path rootwrap defin notifi restart neutron servic tag neutron config name drop iptabl checksum fix copi src postupchecksumrul dest path owner root group root mode inventori hostnam group neutron servic neutronlinuxbridgeag group tag neutronconfig neutronchecksumfix name run iptabl checksum fix command path inventori hostnam group neutron servic neutronlinuxbridgeag group tag neutronconfig neutronchecksumfix name setup plumgrid config includ plumgrid path neutron plugin type plumgrid name get neutron command path command neutron regist neutron command path neutron venv enabl bool tag neutroncommandbin name set neutron command path set fact neutron bin neutron command path dirnam neutron venv enabl bool tag neutroncommandbin name drop sudoer file templat src path dest path neutron system user name sudoer mode owner root group root tag sudoer neutronsudo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,14.0,2.0,27.0,-1.0,0.0,0.0,373d75a584c08f0c0804f75f1cba8063fbb2712c,2.0,1459444111.0,2.0,0.0,tasks/neutron_service_setup.yml,66.67,1.0,14.0,10.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.0,0.0,0.0,0.0,10.0,tasks/neutron_service_setup.yml,openstack/openstack-ansible-os_neutron,4.02,includ neutron servic path var servic user name neutron servic user name servic tenant name neutron servic project name servic name neutron servic name servic type neutron servic type servic region neutron servic region servic descript neutron servic descript servic password neutron servic password servic publicurl neutron servic publicurl servic internalurl neutron servic internalurl servic adminurl neutron servic adminurl tag neutronserv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
