avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_authorized_key,num_block_error_handling,num_blocks,num_command_calls,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_regex,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_authorized_key,delta_num_block_error_handling,delta_num_blocks,delta_num_command_calls,delta_num_commands,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_file_exists,delta_num_file_mode,delta_num_file_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_parameters,delta_num_paths,delta_num_plays,delta_num_regex,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_uri,delta_num_user_interaction,delta_num_vars,delta_text_entropy
89.0,88.0,3.0,39.0,308.0,62.0,159.0,4f7059d5315b49888fad7b215f307496ecbf1534,5.0,1490889747.0,1.0,0.0,playbooks/openstack/terminate.yml,100.0,44.0,253.0,8.0,337.0,67.0,159.0,29.0,6.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,46.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1193.0,33.0,0.0,4.0,22.0,openstack-deprovision.yml,redhat-cop/casl-ansible,7.53,host localhost gather fact var ansibl ssh user cloudus max instanc min env length realli realli sure dri run forc prompt uuid regex alnum alnum alnum alnum alnum newlin task name set env uuid regex overrid request set fact env uuid regex env defin env none env idtrim realli realli sure name verifi environ set fail msg env set refus delet instanc volum pleas provid string match via env overrid realli realli suretru env defin env none env idtrim realli realli sure name verifi environ suffici length fail msg env short env idlength charact risk delet mani instanc overrid min env length realli realli suretru env idlength min env lengthint realli realli sure name verifi connect open stack command nova credenti regist nova result fail nova path name determin number match instanc shell nova list grep error grep env awk print sed regist instanc delet debug var instanc delet dri run name set instanc count fact set fact instanc count instanc path length name fix instanc count list empti set fact instanc count instanc path trim name determin match instanc fail msg env match instanc instanc count realli realli sure name verifi environ match mani instanc fail msg env match instanc countint instanc risk delet mani instanc overrid max instanc realli realli suretru instanc countint max instancesint realli realli sure name determin instanc name delet shell nova list grep error grep env awk print sed regist name delet debug var name delet dri run name queri neutron servic command neutron agentlist regist neutron ignor error name check neutron servic failur assum legaci network nova network set fact neutron use path name determin list public ip shell nova list grep error grep env awk print sed sed regist ip delet name set count fact set fact count ip path length name fix count list empti set fact count ip path trim debug var ip delet dri run name determin list neutron float id delet shell floatingip echo ip path sed read echo done neutron floatingiplist awk floatingip print done sed regist floatingip delet neutron use defin debug var floatingip delet dri run name determin list volum shell instanc echo instanc path sed read echo done nova volumelist grep inus awk instanc print done sed regist volum delet debug var volum delet dri run name set volum count fact set fact volum count volum path length name fix volum count list empti set fact volum count volum path trim name determin imag use instanc shell instanc echo instanc path sed read echo done nova show instanc awk imag print done sed regist imag delet debug var imag delet dri run name initi imag fact first imag found set fact imag imag path name determin instanc use differ imag set fact imag differ item imag item imag path name set neutron port fact set fact floatingip delet stdout neutron use neutron use undefin name warn imag uniqu paus prompt newlin warn imag use match instanc uniqu possibl differ user requir ssh base imag use lead termin task subscriptionmanag execut success recommend environ delet batch match imag newlin proceed caution newlin newlin uniqu imag imag path uniqu join newlin newlin press enter continu ctrlc cancel imag differ defin prompt name build group contain instanc ip add host hostnam item ansibl ssh host item ansibl ssh user ansibl ssh user group instanc ip item ip path item defin item none itemtrim name set env fact display purpos overrid request set fact env realli realli sure env uuid regex name paus confirm normal run paus prompt newlin warn delet follow object match environ env newlin instanc countint instanc countint ip volum countint attach volum newlin newlin instanc id instanc path newlin newlin instanc name name path newlin newlin instanc ip ip path newlin newlin float id floatingip path newlin newlin attach volum volum path newlin newlin uniqu imag imag path uniqu join newlin newlin press enter delet ctrlc cancel dri run prompt name paus confirm dri run paus prompt newlin note normal run would delet follow object match environ env newlin instanc countint instanc countint ip volum countint attach volum newlin newlin instanc id instanc path newlin newlin instanc name name path newlin newlin instanc ip ip path newlin newlin float id floatingip path newlin newlin attach volum volum path newlin newlin uniqu imag imag path uniqu join newlin newlin press enter view task skip ctrlc cancel dri run prompt host instanc ip gather fact var ansibl sudo dri run unregist task debug var hostvar inventori hostnam dri run name attempt unregist subscript manag command subscriptionmanag unregist ignor error ye dri run unregist host localhost gather fact var dri run task name delet instanc command nova delet item ignor error ye item instanc path dri run item defin item none itemtrim name wait instanc delet volum detach shell nova volumelist awk item print regist volum check volum path inus retri delay item volum path dri run item defin item none itemtrim name delet volum command nova volumedelet item ignor error ye item volum path dri run item defin item none itemtrim name releas neutron float command neutron floatingipdelet item ignor error ye item floatingip path dri run neutron use defin item defin item none itemtrim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,3.0,39.0,8.0,8.0,8.0,4f7059d5315b49888fad7b215f307496ecbf1534,1.0,1490889747.0,1.0,0.0,playbooks/openshift/dns_records.yml,100.0,1.0,6.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,0.0,0.0,0.0,playbooks/openshift/dns_records.yml,redhat-cop/casl-ansible,3.7,name creat dn record templat dest path src path forc ye deleg localhost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,3.0,3.0,39.0,12.0,6.0,12.0,4f7059d5315b49888fad7b215f307496ecbf1534,2.0,1490889747.0,1.0,0.0,playbooks/openshift/post-install.yml,100.0,3.0,8.0,0.0,13.0,6.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0,playbooks/openshift/post-install.yaml,redhat-cop/casl-ansible,3.62,includ playsconfigur host path host cluster host role role synckey key url openshift author key url host master role role creat user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,8.0,3.0,39.0,19.0,19.0,19.0,4f7059d5315b49888fad7b215f307496ecbf1534,1.0,1490889747.0,1.0,0.0,roles/nagios-target/tasks/nrpe_disk.yml,100.0,4.0,14.0,0.0,19.0,19.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,47.0,2.0,0.0,0.0,0.0,roles/nagios-target/tasks/nrpe_disk.yml,redhat-cop/casl-ansible,5.2,name ensur check path file exist file path path path state touch mode name add check root disk lineinfil dest path path regexp path root path disk line command check root disk usrlibnagiospluginscheck disk path state present item ansibl mount path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,11.0,3.0,39.0,47.0,16.0,43.0,4f7059d5315b49888fad7b215f307496ecbf1534,3.0,1490889747.0,2.0,0.0,playbooks/openshift/provision-openstack.yml,95.92,4.0,42.0,0.0,48.0,16.0,43.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,127.0,3.0,0.0,0.0,0.0,playbooks/openshift/provision-openstack.yml,redhat-cop/casl-ansible,5.51,host localhost pre task includ rolescommonpr taskspr path role role openstackstack stack name env dn domain openstack dn domain dn nameserv openstack nameserv subnet prefix openstack subnet prefix ssh public key openstack ssh public key openstack imag openstack default imag name etcd flavor openstack default flavor master flavor openstack default flavor node flavor openstack default flavor infra flavor openstack default flavor dn flavor openstack dn flavor default path extern network openstack extern network name num etcd num master num node openstack num node num infra openstack num infra num dn master volum size docker volum size app volum size docker volum size infra volum size docker volum size name refresh server inventori host localhost connect local gather fact task meta refresh inventori includ playsconfigur host path host cluster host gather fact task name debug hostvar debug msg hostvar inventori hostnam verbos name wait server come back local action wait host hostvar inventori hostnam ansibl ssh host port delay timeout becom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,4.0,3.0,39.0,11.0,11.0,11.0,4f7059d5315b49888fad7b215f307496ecbf1534,1.0,1490889747.0,1.0,0.0,playbooks/nagios/setup_nagios.yml,100.0,2.0,8.0,0.0,11.0,11.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,21.0,2.0,0.0,0.0,0.0,playbooks/nagios/setup_nagios.yml,redhat-cop/casl-ansible,3.73,name set nagio target host nagiostarget role role nagiostarget name set nagio server host nagiosserv role role nagiosserv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,3.0,39.0,6.0,6.0,6.0,4f7059d5315b49888fad7b215f307496ecbf1534,1.0,1490889747.0,1.0,0.0,roles/nagios-target/tasks/enable-repos.yml,100.0,1.0,4.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,0.0,0.0,0.0,roles/nagios-target/tasks/enable-repos.yml,redhat-cop/casl-ansible,3.7,name enabl rhelserveroptionalrpm repo command usrbinsubscriptionmanag repo enabl item item rhelserveroptionalrpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,3.0,39.0,14.0,14.0,14.0,4f7059d5315b49888fad7b215f307496ecbf1534,1.0,1490889747.0,1.0,0.0,roles/cicd/tasks/maven.yml,100.0,2.0,11.0,0.0,14.0,14.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,3.0,0.0,0.0,0.0,roles/cicd/tasks/maven.yml,redhat-cop/casl-ansible,4.02,name instal maven yum name maven enablerepo rhelserveroptionalrpm state present tag maven name copi maven set file copi src path dest usrsharemavenconf tag maven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,3.0,39.0,43.0,43.0,43.0,4f7059d5315b49888fad7b215f307496ecbf1534,1.0,1490889747.0,1.0,0.0,roles/cicd/tasks/docker.yml,100.0,6.0,36.0,0.0,43.0,43.0,43.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,88.0,6.0,0.0,0.0,1.0,roles/cicd/tasks/docker.yml,redhat-cop/casl-ansible,5.23,name instal docker yum name docker state present tag docker name docker configur file lineinfil dest etcsysconfigdock regexp option line option selinuxen insecureregistri tag docker name docker storag setup configur file copi content dev cicd storag disk volum vgdocker dest etcsysconfigdockerstoragesetup regist docker storag setup tag docker name run docker storag setup command dockerstoragesetup docker storag path notifi restart docker tag docker name extend command lvextend devdock vgdockerpool docker storag path notifi restart docker tag docker name enabl docker servic servic name docker enabl tag docker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,3.0,39.0,4.0,1.0,9.0,4f7059d5315b49888fad7b215f307496ecbf1534,4.0,1490889747.0,2.0,0.0,roles/openstack-create/defaults/main.yml,87.5,0.0,3.0,0.0,14.0,4.0,9.0,10.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,roles/openstack-create/defaults/main.yml,redhat-cop/casl-ansible,2.0,default secur group name default rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
