avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,fixing_commit,fixing_filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,release_end,release_start,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
6.0,6.0,5.0,62.0,8.0,8.0,8.0,5be721801f826d5d06830b726fe65f01f9987a91,1.0,1513180742.0,1.0,no,playbooks/manage-users/add-users.yml,3e8a830bb525d818ed2aa2cdb10c8589e5e2ceba,playbooks/manage-users/add-users.yml,100.0,1.0,6.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,17.0,1.0,0.0,0.0,5be721801f826d5d06830b726fe65f01f9987a91,52ac70067206cb0a9382d2cea7da0ab1a7284ced,redhat-cop/infra-ansible,4.09,name import user data csv doc file name creat user host localhost role populateus manageus manageuserpasswd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,5.0,62.0,19.0,10.0,19.0,5be721801f826d5d06830b726fe65f01f9987a91,2.0,1513180742.0,2.0,yes,roles/manage-users/tasks/main.yml,3e8a830bb525d818ed2aa2cdb10c8589e5e2ceba,roles/user-management/manage-idm-users/tasks/main.yml,100.0,4.0,6.0,0.0,19.0,10.0,19.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,5be721801f826d5d06830b726fe65f01f9987a91,52ac70067206cb0a9382d2cea7da0ab1a7284ced,redhat-cop/infra-ansible,3.33,includ creat path includ creat path includ add user path item user group loop control loop var group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5.0,62.0,14.0,5.0,14.0,5be721801f826d5d06830b726fe65f01f9987a91,3.0,1513180742.0,2.0,yes,roles/manage-atlassian-users/tasks/add_user_to_groups.yml,ce705a0324c6923baea60e85dddbf400463f7379,roles/user-management/manage-atlassian-users/tasks/add_user_to_groups.yml,100.0,,,,14.0,5.0,14.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5be721801f826d5d06830b726fe65f01f9987a91,52ac70067206cb0a9382d2cea7da0ab1a7284ced,redhat-cop/infra-ansible,,name add user group uri url atlassian url restapigroupus groupnam item method post user atlassian usernam password atlassian password forc basic auth ye statu code bodi format json bodi name atlassian path first password atlassian path email address atlassian path display name atlassian path atlassian path return content ye item atlassian path atlassian path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5.0,62.0,13.0,4.0,13.0,5be721801f826d5d06830b726fe65f01f9987a91,3.0,1513180742.0,2.0,yes,roles/manage-atlassian-users/tasks/create_atlassian_users.yml,ce705a0324c6923baea60e85dddbf400463f7379,roles/user-management/manage-atlassian-users/tasks/create_atlassian_users.yml,100.0,,,,13.0,4.0,13.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5be721801f826d5d06830b726fe65f01f9987a91,52ac70067206cb0a9382d2cea7da0ab1a7284ced,redhat-cop/infra-ansible,,name creat user uri url atlassian url restapius method post user atlassian usernam password atlassian password forc basic auth ye statu code bodi format json bodi name atlassian path first password atlassian path email address atlassian path display name atlassian path atlassian path return content ye regist user data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,8.0,5.0,62.0,30.0,30.0,30.0,5be721801f826d5d06830b726fe65f01f9987a91,1.0,1513180742.0,1.0,no,roles/config-vnc-server/tasks/prereq.yml,1f1f23cbb8e64951e4c50f46e1566b37d18b4ff3,roles/config-vnc-server/tasks/prereq.yml,100.0,4.0,25.0,0.0,30.0,30.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,50.0,5.0,0.0,0.0,5be721801f826d5d06830b726fe65f01f9987a91,52ac70067206cb0a9382d2cea7da0ab1a7284ced,redhat-cop/infra-ansible,4.86,name instal requir packag packag name item state instal item firewalld pythonfirewal name ensur firewalld run servic name firewalld state start enabl ye name open firewal nf use firewalld port item perman ye state enabl immedi ye item tcp tcp tcp tcp tcp tcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.0,5.0,62.0,15.0,15.0,15.0,5be721801f826d5d06830b726fe65f01f9987a91,1.0,1513180742.0,1.0,yes,playbooks/osp/install-osp-cluster.yml,b322b4a612717a42586f301a10154ea4c3020aa6,playbooks/osp/install-osp-cluster.yml,100.0,5.0,9.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,16.0,0.0,0.0,0.0,5be721801f826d5d06830b726fe65f01f9987a91,52ac70067206cb0a9382d2cea7da0ab1a7284ced,redhat-cop/infra-ansible,3.33,import playbook path host infra osp host role role configsoftwaresrc host infra osp host role role osppackstackinstal role osppackstackpost import playbook path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,11.0,5.0,62.0,14.0,14.0,14.0,5be721801f826d5d06830b726fe65f01f9987a91,1.0,1513180742.0,1.0,yes,playbooks/osp/update-osp-cluster-admin.yml,b322b4a612717a42586f301a10154ea4c3020aa6,playbooks/osp/update-osp-cluster-admin.yml,100.0,2.0,11.0,0.0,14.0,14.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,5be721801f826d5d06830b726fe65f01f9987a91,52ac70067206cb0a9382d2cea7da0ab1a7284ced,redhat-cop/infra-ansible,3.03,host infra osp host role role configsoftwaresrc role ospadminkeystonedomain role ospadminnetwork role ospadminvolumetyp role ospadminnovaservic role ospadminnovaflavor role ospadminimag role ospadminproject role ospadminus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,5.0,62.0,6.0,6.0,6.0,5be721801f826d5d06830b726fe65f01f9987a91,1.0,1513180742.0,1.0,yes,roles/config-bonding/tasks/main.yml,b322b4a612717a42586f301a10154ea4c3020aa6,roles/config-bonding/tasks/main.yml,100.0,3.0,2.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,5be721801f826d5d06830b726fe65f01f9987a91,52ac70067206cb0a9382d2cea7da0ab1a7284ced,redhat-cop/infra-ansible,1.5,includ path includ path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,5.0,62.0,7.0,4.0,6.0,5be721801f826d5d06830b726fe65f01f9987a91,2.0,1513180742.0,1.0,yes,roles/config-iscsi-client/tasks/iscsi.yml,b322b4a612717a42586f301a10154ea4c3020aa6,roles/config-iscsi-client/tasks/iscsi.yml,100.0,1.0,5.0,0.0,7.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,5be721801f826d5d06830b726fe65f01f9987a91,52ac70067206cb0a9382d2cea7da0ab1a7284ced,redhat-cop/infra-ansible,2.16,includ path includ path includ path includ path includ path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,5.0,62.0,6.0,6.0,6.0,5be721801f826d5d06830b726fe65f01f9987a91,1.0,1513180742.0,1.0,yes,roles/config-iscsi-client/tasks/main.yml,b322b4a612717a42586f301a10154ea4c3020aa6,roles/config-iscsi-client/tasks/main.yml,100.0,1.0,4.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,5be721801f826d5d06830b726fe65f01f9987a91,52ac70067206cb0a9382d2cea7da0ab1a7284ced,redhat-cop/infra-ansible,3.17,includ path iscsi target defin iscsi targettrim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
