avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,8.0,3.0,55.0,9.0,9.0,9.0,397dcb59d6687ace84b8a844b1341704c23b342f,1.0,1537448395.0,1.0,no,ansible-wazuh-manager/vars/cdb_lists.yml,100.0,0.0,8.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,ansible-wazuh-manager/vars/cdb_lists.yml,wazuh/wazuh-ansible,3.17,cdb list name auditkey content auditwazuhw write auditwazuhr read auditwazuha attribut auditwazuhx execut auditwazuhc command,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,5.0,3.0,55.0,5.0,1.0,6.0,397dcb59d6687ace84b8a844b1341704c23b342f,4.0,1537448395.0,4.0,no,ansible-role-elasticsearch/tasks/RMRedHat.yml,46.15,0.0,4.0,0.0,9.0,2.0,6.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,2.0,0.0,0.0,ansible-role-elasticsearch/tasks/RMRedHat.yml,wazuh/wazuh-ansible,3.88,name red hatcent osfedora remov elasticsearch repositori clean leftov metadata yum repositori name elast repo state absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,4.0,3.0,55.0,5.0,1.0,6.0,397dcb59d6687ace84b8a844b1341704c23b342f,4.0,1537448395.0,4.0,no,ansible-role-filebeat/tasks/RMRedHat.yml,46.15,0.0,4.0,0.0,9.0,2.0,6.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,2.0,0.0,0.0,ansible-role-filebeat/tasks/RMRedHat.yml,wazuh/wazuh-ansible,3.88,name red hatcent osfedora remov filebeat repositori clean leftov metadata yum repositori name elast repo state absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,3.0,55.0,0.0,0.0,0.0,397dcb59d6687ace84b8a844b1341704c23b342f,0.0,1537448395.0,0.0,no,ansible-role-filebeat/handlers/main.yml,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,ansible-role-filebeat/handlers/main.yml,wazuh/wazuh-ansible,2.58,name restart filebeat servic namefilebeat staterestart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,27.0,3.0,55.0,3.0,1.0,3.0,397dcb59d6687ace84b8a844b1341704c23b342f,3.0,1537448395.0,2.0,no,ansible-role-filebeat/meta/main.yml,84.62,1.0,27.0,0.0,8.0,3.0,4.0,5.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0,4.0,0.0,0.0,ansible-role-filebeat/meta/main.yml,wazuh/wazuh-ansible,4.92,depend galaxi info author wazuh descript instal maintain filebeat server compani path licens licens gplv min ansibl version platform name version name fedora version name debian version jessi name ubuntu version precis trusti xenial galaxi tag web system monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,7.0,3.0,55.0,64.0,6.0,47.0,397dcb59d6687ace84b8a844b1341704c23b342f,11.0,1537448395.0,5.0,no,ansible-role-logstash/tasks/Debian.yml,36.57,8.0,55.0,0.0,99.0,9.0,47.0,35.0,3.0,15.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,153.0,12.0,0.0,1.0,ansible-role-kibana/vars/main.yml,wazuh/wazuh-ansible,5.95,name debianubuntu instal apttransporthttp cacertif apt name item state present cach valid time item apttransporthttp cacertif name debianubuntu set webupd repositori apt repositori repo ppa webupdteamjava codenam xenial logstash instal java block name debianubuntu accept oracl java licens debconf name oraclejavainstal question sharedacceptedoraclelicensev valu vtype boolean name debianubuntu oracl java instal apt name oraclejavainstal state present cach valid time tag instal name debianubuntu add elasticsearch gpg key apt key url http path state present name debianubuntu instal elasticsearch repo apt repositori repo deb http path stabl main state present filenam elast repo name debianubuntu instal logstash apt name logstash elast stack version state present updat cach ye tag instal name debianubuntu check wazuhmanag instal command dpkg wazuhmanag regist wazuh manag check deb logstash input beat arg warn name debianubuntu add user logstash group ossec user name logstash group ossec append ye logstash input beat wazuh manag check path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,7.0,3.0,55.0,44.0,4.0,33.0,397dcb59d6687ace84b8a844b1341704c23b342f,10.0,1537448395.0,3.0,no,ansible-wazuh-manager/tasks/Debian.yml,69.05,11.0,81.0,0.0,85.0,8.0,34.0,41.0,4.0,20.0,1.5,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,12.0,227.0,12.0,0.0,2.0,ansible-wazuh-server/tasks/Debian.yml,wazuh/wazuh-ansible,6.11,name debianubuntu instal apttransporthttp cacertif apt name item state present cach valid time item apttransporthttp cacertif name debianubuntu instal wazuh repositori key apt key urlhttp path name debianubuntu add wazuh repositori apt repositori repo deb http path stabl main state present updat cach ye name debianubuntu instal node repositori key apt key urlhttp path name debianubuntu add node sourc repositori path apt repositori repo deb http path path ansibl distribut releas main state present updat cach ye name debianubuntu set distribut ci filenam debianubuntu set fact ci distribut filenam ci debian linux path name debianubuntu set webupd repositori apt repositori repo ppa webupdteamjava codenam xenial updat cach ye wazuh manag path path wazuh manag path path java ye tag init name debianubuntu accept oracl java licens debconf name oraclejavainstal question sharedacceptedoraclelicensev valu vtype boolean wazuh manag path path wazuh manag path path java ye tag init name debianubuntu oracl java instal apt name oraclejavainstal state present cach valid time wazuh manag path path wazuh manag path path java ye tag init name debianubuntu instal open scap packag name item state present cach valid time wazuh manag path item libopenscap xsltproc tag init name debianubuntu get open scap instal version shell dpkgqueri showformat version show libopenscap wazuh manag path regist openscap version chang tag config name debianubuntu check open scap version shell dpkg comparevers openscap path echo wazuh manag path regist openscap version valid chang tag config,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,3.0,55.0,3.0,3.0,3.0,397dcb59d6687ace84b8a844b1341704c23b342f,1.0,1537448395.0,1.0,no,ansible-role-kibana/handlers/main.yml,100.0,0.0,2.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,ansible-role-kibana/handlers/main.yml,wazuh/wazuh-ansible,2.58,name restart kibana servic namekibana staterestart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,26.0,3.0,55.0,29.0,29.0,29.0,397dcb59d6687ace84b8a844b1341704c23b342f,1.0,1537448395.0,1.0,no,meta/main.yml,100.0,2.0,26.0,0.0,29.0,29.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0,4.0,0.0,0.0,ansible-role-elasticsearch/templates/wazuh-elastic6-template-monitoring.json.j2,wazuh/wazuh-ansible,4.63,depend galaxi info author wazuh categori monitor compani path descript instal deploy configur wazuh manag galaxi tag monitor system web licens licens gplv min ansibl version platform name debian version name version name fedora version name ubuntu version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,6.0,3.0,55.0,6.0,1.0,3.0,397dcb59d6687ace84b8a844b1341704c23b342f,5.0,1537448395.0,4.0,no,ansible-role-filebeat/tasks/Debian.yml,59.09,2.0,17.0,0.0,14.0,3.0,7.0,8.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,47.0,4.0,0.0,0.0,ansible-role-filebeat/tasks/setup-Debian.yml,wazuh/wazuh-ansible,4.81,name debianubuntu instal apttransporthttp cacertif apt name item state present cach valid time item apttransporthttp cacertif name debianubuntu add elasticsearch apt key apt key url http path state present name debianubuntu add filebeat repositori apt repositori repo deb http path stabl main state present updat cach ye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
