author,repository,link
willshersystems,ansible-sshd,https://github.com/willshersystems/ansible-sshd
UnderGreen,ansible-role-mongodb,https://github.com/UnderGreen/ansible-role-mongodb
threatstack,threatstack-ansible,https://github.com/threatstack/threatstack-ansible
nusenu,ansible-relayor,https://github.com/nusenu/ansible-relayor
awailly,cis-ubuntu-ansible,https://github.com/awailly/cis-ubuntu-ansible
Capgemini,Apollo,https://github.com/Capgemini/Apollo
ansiblebit,oracle-java,https://github.com/ansiblebit/oracle-java
mikolak-net,ansible-raspi-config,https://github.com/mikolak-net/ansible-raspi-config
StackStorm,ansible-st2,https://github.com/StackStorm/ansible-st2
sensu,sensu-ansible,https://github.com/sensu/sensu-ansible
brianshumate,ansible-consul,https://github.com/brianshumate/ansible-consul
arknoll,ansible-role-selenium,https://github.com/arknoll/ansible-role-selenium
HanXHX,ansible-mysql,https://github.com/HanXHX/ansible-mysql
inkatze,wildfly,https://github.com/inkatze/wildfly
fubarhouse,ansible-role-nodejs,https://github.com/fubarhouse/ansible-role-nodejs
CSCfi,fgci-ansible,https://github.com/CSCfi/fgci-ansible
CSCfi,ansible-role-slurm,https://github.com/CSCfi/ansible-role-slurm
mrlesmithjr,ansible-manage-lvm,https://github.com/mrlesmithjr/ansible-manage-lvm
infOpen,ansible-role-jenkins,https://github.com/infOpen/ansible-role-jenkins
CSCfi,ansible-role-cuda,https://github.com/CSCfi/ansible-role-cuda
rocknsm,rock,https://github.com/rocknsm/rock
RocketChat,Rocket.Chat.Ansible,https://github.com/RocketChat/Rocket.Chat.Ansible
antoiner77,caddy-ansible,https://github.com/antoiner77/caddy-ansible
openwisp,ansible-openwisp2,https://github.com/openwisp/ansible-openwisp2
openshift,openshift-ansible-contrib,https://github.com/openshift/openshift-ansible-contrib
ahelal,ansible-concourse,https://github.com/ahelal/ansible-concourse
trailofbits,algo,https://github.com/trailofbits/algo
ahuffman,ansible-aide,https://github.com/ahuffman/ansible-aide
rhevm-qe-automation,ovirt-ansible,https://github.com/rhevm-qe-automation/ovirt-ansible
gantsign,ansible-role-oh-my-zsh,https://github.com/gantsign/ansible-role-oh-my-zsh
aalaesar,install_nextcloud,https://github.com/aalaesar/install_nextcloud
lae,ansible-role-proxmox,https://github.com/lae/ansible-role-proxmox
redhat-cop,casl-ansible,https://github.com/redhat-cop/casl-ansible
gantsign,ansible-role-golang,https://github.com/gantsign/ansible-role-golang
fubarhouse,ansible-role-golang,https://github.com/fubarhouse/ansible-role-golang
viasite-ansible,ansible-role-zsh,https://github.com/viasite-ansible/ansible-role-zsh
haxorof,ansible-role-docker-ce,https://github.com/haxorof/ansible-role-docker-ce
redhat-cop,infra-ansible,https://github.com/redhat-cop/infra-ansible
stone-payments,ansible-mongodb,https://github.com/stone-payments/ansible-mongodb
freeipa,ansible-freeipa,https://github.com/freeipa/ansible-freeipa
HewlettPackard,Docker-SimpliVity,https://github.com/HewlettPackard/Docker-SimpliVity
kubevirt,kubevirt-ansible,https://github.com/kubevirt/kubevirt-ansible
oVirt,ovirt-ansible-infra,https://github.com/oVirt/ovirt-ansible-infra
ansible-ThoTeam,nexus3-oss,https://github.com/ansible-ThoTeam/nexus3-oss
cloudalchemy,ansible-fluentd,https://github.com/cloudalchemy/ansible-fluentd
florianutz,Ubuntu1604-CIS,https://github.com/florianutz/Ubuntu1604-CIS
nginxinc,ansible-role-nginx,https://github.com/nginxinc/ansible-role-nginx
cytopia,ansible-role-cloudformation,https://github.com/cytopia/ansible-role-cloudformation
Icinga,ansible-icinga2,https://github.com/Icinga/ansible-icinga2
NVIDIA,deepops,https://github.com/NVIDIA/deepops
lean-delivery,ansible-role-java,https://github.com/lean-delivery/ansible-role-java
oVirt,ovirt-ansible-hosted-engine-setup,https://github.com/oVirt/ovirt-ansible-hosted-engine-setup
lean-delivery,ansible-role-sonarqube,https://github.com/lean-delivery/ansible-role-sonarqube
RedHat-EMEA-SSA-Team,stc,https://github.com/RedHat-EMEA-SSA-Team/stc
anthcourtney,ansible-role-cis-amazon-linux,https://github.com/anthcourtney/ansible-role-cis-amazon-linux
roots,trellis,https://github.com/roots/trellis
Oefenweb,ansible-wordpress,https://github.com/Oefenweb/ansible-wordpress
Oefenweb,ansible-postfix,https://github.com/Oefenweb/ansible-postfix
geerlingguy,ansible-role-php-xdebug,https://github.com/geerlingguy/ansible-role-php-xdebug
geerlingguy,ansible-role-security,https://github.com/geerlingguy/ansible-role-security
geerlingguy,ansible-role-solr,https://github.com/geerlingguy/ansible-role-solr
jloh,nagios-nrpe-server,https://github.com/jloh/nagios-nrpe-server
weareinteractive,ansible-environment,https://github.com/weareinteractive/ansible-environment
jdauphant,ansible-role-ssl-certs,https://github.com/jdauphant/ansible-role-ssl-certs
zzet,ansible-rbenv-role,https://github.com/zzet/ansible-rbenv-role
angstwad,docker.ubuntu,https://github.com/angstwad/docker.ubuntu
openwisp,ansible-openwisp2-imagegenerator,https://github.com/openwisp/ansible-openwisp2-imagegenerator
PeterMosmans,ansible-role-virtualbox-guest,https://github.com/PeterMosmans/ansible-role-virtualbox-guest
elastic,ansible-elasticsearch,https://github.com/elastic/ansible-elasticsearch
HanXHX,ansible-nginx,https://github.com/HanXHX/ansible-nginx
iiab,iiab,https://github.com/iiab/iiab
dev-sec,ansible-ssh-hardening,https://github.com/dev-sec/ansible-ssh-hardening
dev-sec,ansible-os-hardening,https://github.com/dev-sec/ansible-os-hardening
